country_code,country,gleam_region,fbs_item_code,fbs_item,system,footprint_type,footprint,source
4,Algeria,Near East and North Africa,2731,Bovine Meat,All systems,kg_co2_luc_feed_soy,0.6405168502193974,"FAO, 2017. GLEAM-i v2.0 revision 3."
4,Algeria,Near East and North Africa,2731,Bovine Meat,All systems,kg_co2e_excl_luc,18.991478121328537,"FAO, 2017. GLEAM-i v2.0 revision 3."
4,Algeria,Near East and North Africa,2732,Mutton & Goat Meat,All systems,kg_co2e_excl_luc,11.575119985983939,"FAO, 2017. GLEAM-i v2.0 revision 3."
4,Algeria,Near East and North Africa,2734,Poultry Meat,All systems,kg_co2_luc_feed_soy,4.063474587400593,"FAO, 2017. GLEAM-i v2.0 revision 3."
4,Algeria,Near East and North Africa,2734,Poultry Meat,All systems,kg_co2e_excl_luc,2.0987977347284716,"FAO, 2017. GLEAM-i v2.0 revision 3."
4,Algeria,Near East and North Africa,2744,Eggs,All systems,kg_co2_luc_feed_soy,5.390979629173086,"FAO, 2017. GLEAM-i v2.0 revision 3."
4,Algeria,Near East and North Africa,2744,Eggs,All systems,kg_co2e_excl_luc,2.7844583718471707,"FAO, 2017. GLEAM-i v2.0 revision 3."
4,Algeria,Near East and North Africa,2848,Milk - Excluding Butter,All systems,kg_co2_luc_feed_palm,0.0009785689050823127,"FAO, 2017. GLEAM-i v2.0 revision 3."
4,Algeria,Near East and North Africa,2848,Milk - Excluding Butter,All systems,kg_co2_luc_feed_soy,0.04268426984311381,"FAO, 2017. GLEAM-i v2.0 revision 3."
4,Algeria,Near East and North Africa,2848,Milk - Excluding Butter,All systems,kg_co2e_excl_luc,3.2043723475622743,"FAO, 2017. GLEAM-i v2.0 revision 3."
6,Andorra,Western Europe,2734,Poultry Meat,All systems,kg_co2_luc_feed_soy,0.05642585547510609,"FAO, 2017. GLEAM-i v2.0 revision 3."
6,Andorra,Western Europe,2734,Poultry Meat,All systems,kg_co2e_excl_luc,0.9887385895998374,"FAO, 2017. GLEAM-i v2.0 revision 3."
6,Andorra,Western Europe,2744,Eggs,All systems,kg_co2_luc_feed_soy,0.17134568140577566,"FAO, 2017. GLEAM-i v2.0 revision 3."
