gleam_crop,item_code,item,gleam_country,mt_co2/ha,source,note,country_code,country,gleam_region,hg/ha,processed_item_code,processed_item,fbs_item_code,fbs_item,product_fraction,value_fraction,kg/ha,kg_co2/ha,kg_co2/kg,footprint_type,footprint
Soy,236,Soybeans,Cambodia,12.21,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,115,Cambodia,East Asia and Southeast Asia,16289.0,236,Soybeans,2555,Soyabeans,1.0,1.0,1628.9,12210.0,7.495856099208054,kg_co2_luc_human_palm_soy,7.495856099208054
Soy,236,Soybeans,Cambodia,12.21,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,115,Cambodia,East Asia and Southeast Asia,16289.0,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,1628.9,12210.0,14.158839298504105,kg_co2_luc_human_palm_soy,14.158839298504105
Soy,236,Soybeans,Cameroon,19.23,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,32,Cameroon,Sub-Saharan Africa,11828.0,236,Soybeans,2555,Soyabeans,1.0,1.0,1182.8,19230.0,16.258031788975313,kg_co2_luc_human_palm_soy,16.258031788975313
Soy,236,Soybeans,Cameroon,19.23,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,32,Cameroon,Sub-Saharan Africa,11828.0,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,1182.8,19230.0,30.709615601397815,kg_co2_luc_human_palm_soy,30.709615601397815
Soy,236,Soybeans,Canada,0.02,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,33,Canada,North America,28878.0,236,Soybeans,2555,Soyabeans,1.0,1.0,2887.8,20.0,0.006925687374471916,kg_co2_luc_human_palm_soy,0.006925687374471916
Soy,236,Soybeans,Canada,0.02,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,33,Canada,North America,28878.0,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,2887.8,20.0,0.013081853929558065,kg_co2_luc_human_palm_soy,0.013081853929558065
Soy,236,Soybeans,Croatia,0.87,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,98,Croatia,Western Europe,22162.0,236,Soybeans,2555,Soyabeans,1.0,1.0,2216.2,870.0,0.39256384802815636,kg_co2_luc_human_palm_soy,0.39256384802815636
Soy,236,Soybeans,Croatia,0.87,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,98,Croatia,Western Europe,22162.0,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,2216.2,870.0,0.7415094907198511,kg_co2_luc_human_palm_soy,0.7415094907198511
Soy,236,Soybeans,Czechia,0.31,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.","Manually edited GLEAM country name to match GLEAM-i country name, for consistency and ease of matching",167,Czechia,Eastern Europe,22416.333333333332,236,Soybeans,2555,Soyabeans,1.0,1.0,2241.633333333333,310.0,0.1382920192121816,kg_co2_luc_human_palm_soy,0.1382920192121816
Soy,236,Soybeans,Czechia,0.31,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.","Manually edited GLEAM country name to match GLEAM-i country name, for consistency and ease of matching",167,Czechia,Eastern Europe,22416.333333333332,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,2241.633333333333,310.0,0.26121825851189856,kg_co2_luc_human_palm_soy,0.26121825851189856
Soy,236,Soybeans,Democratic Republic of the Congo,1.75,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,250,Democratic Republic of the Congo,Sub-Saharan Africa,4929.0,236,Soybeans,2555,Soyabeans,1.0,1.0,492.9,1750.0,3.5504159058632583,kg_co2_luc_human_palm_soy,3.5504159058632583
Soy,236,Soybeans,Democratic Republic of the Congo,1.75,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,250,Democratic Republic of the Congo,Sub-Saharan Africa,4929.0,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,492.9,1750.0,6.706341155519488,kg_co2_luc_human_palm_soy,6.706341155519488
Soy,236,Soybeans,El Salvador,1.39,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,60,El Salvador,Latin America and the Caribbean,19212.333333333332,236,Soybeans,2555,Soyabeans,1.0,1.0,1921.2333333333331,1390.0,0.7234935891875012,kg_co2_luc_human_palm_soy,0.7234935891875012
Soy,236,Soybeans,El Salvador,1.39,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",,60,El Salvador,Latin America and the Caribbean,19212.333333333332,237,"Oil, soybean",2571,Soyabean Oil,0.18,0.34,1921.2333333333331,1390.0,1.3665990017986134,kg_co2_luc_human_palm_soy,1.3665990017986134
