country_code,country,gleam_region,fbs_item_code,fbs_item,footprint_type,footprint,source
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_streptomycin,0.2197003073059173,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_tetracycline,0.022484958755334693,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_oxytetracycline,0.0019383196464914385,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_streptomycin,0.002565285125188182,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_oxytetracycline,3.7504382783978694e-06,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_streptomycin,0.0016162870741612857,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2733,Pigmeat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2733,Pigmeat,mg_abx_oxytetracycline,2.0074877689727563e-06,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2733,Pigmeat,mg_abx_streptomycin,0.0008651459620643646,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2733,Pigmeat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_oxytetracycline,2.470008034104256e-05,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_streptomycin,0.010644734727650717,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_tetracycline,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_kasugamycin,0.0,Adapted from Wieben C.M. (2021) and FAO (2017) GLEAM-i v2.0 revision 3.
