country_iso_code,system,footprint_type,mg/kg_lw,source,fbs_item_code,fbs_item,ko%,mg/kg_cw
COG,,mg_abx_tetracyclines,12.70543067,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,25.41086134
COK,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
CRI,,mg_abx_tetracyclines,22.52496718,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,45.04993436
HRV,,mg_abx_tetracyclines,11.53029161,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,23.06058322
CUB,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
CYP,,mg_abx_tetracyclines,69.91753504,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,139.83507008
CZE,,mg_abx_tetracyclines,6.525680734,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,13.051361468
PRK,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
COD,,mg_abx_tetracyclines,13.59781171,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.19562342
DNK,,mg_abx_tetracyclines,1.842843332,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,3.685686664
DJI,,mg_abx_tetracyclines,13.62488081,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.24976162
DMA,,mg_abx_tetracyclines,19.11250843,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,38.22501686
DOM,,mg_abx_tetracyclines,21.03581497,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,42.07162994
ECU,,mg_abx_tetracyclines,23.26222215,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,46.5244443
EGY,,mg_abx_tetracyclines,7.813984927,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,15.627969854
SLV,,mg_abx_tetracyclines,18.60871469,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,37.21742938
GNQ,,mg_abx_tetracyclines,11.27996773,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,22.55993546
ERI,,mg_abx_tetracyclines,13.62488081,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.24976162
EST,,mg_abx_tetracyclines,5.644028044,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,11.288056088
ETH,,mg_abx_tetracyclines,11.49827563,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,22.99655126
FLK,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
FRO,,mg_abx_tetracyclines,22.15960878,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,44.31921756
FJI,,mg_abx_tetracyclines,57.78756889,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,115.57513778
FIN,,mg_abx_tetracyclines,1.547491627,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,3.094983254
FRA,,mg_abx_tetracyclines,4.741296736,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,9.482593472
GUF,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
PYF,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
GAB,,mg_abx_tetracyclines,12.71288279,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,25.42576558
GMB,,mg_abx_tetracyclines,12.85205151,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,25.70410302
GEO,,mg_abx_tetracyclines,21.85642692,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.71285384
DEU,,mg_abx_tetracyclines,6.052749874,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,12.105499748
GHA,,mg_abx_tetracyclines,14.31412072,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,28.62824144
GBZ,,mg_abx_tetracyclines,22.15960878,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,44.31921756
GRC,,mg_abx_tetracyclines,48.32689218,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,96.65378436
GRL,,mg_abx_tetracyclines,22.15960878,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,44.31921756
GRD,,mg_abx_tetracyclines,17.77762852,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,35.55525704
GLP,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
GUM,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
GTM,,mg_abx_tetracyclines,23.07012288,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,46.14024576
GIN,,mg_abx_tetracyclines,11.41529304,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,22.83058608
GNB,,mg_abx_tetracyclines,13.60768759,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.21537518
GUY,,mg_abx_tetracyclines,14.28661041,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,28.57322082
HTI,,mg_abx_tetracyclines,22.43508074,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,44.87016148
VAT,,mg_abx_tetracyclines,22.15960878,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,44.31921756
HND,,mg_abx_tetracyclines,20.04430594,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,40.08861188
HUN,,mg_abx_tetracyclines,19.60799416,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,39.21598832
ISL,,mg_abx_tetracyclines,0.378646073,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,0.757292146
IND,,mg_abx_tetracyclines,73.84217721,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,147.68435442
IDN,,mg_abx_tetracyclines,68.50594637,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.01189274
IRN,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
IRQ,,mg_abx_tetracyclines,31.03760162,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,62.07520324
IRL,,mg_abx_tetracyclines,7.454366049,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,14.908732098
ISR,,mg_abx_tetracyclines,19.71549733,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,39.43099466
ITA,,mg_abx_tetracyclines,18.46122035,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,36.9224407
JAM,,mg_abx_tetracyclines,18.32393636,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,36.64787272
JPN,,mg_abx_tetracyclines,23.2548616,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,46.5097232
JOR,,mg_abx_tetracyclines,31.03760162,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,62.07520324
KAZ,,mg_abx_tetracyclines,24.23057545,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,48.4611509
KEN,,mg_abx_tetracyclines,14.80110188,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,29.60220376
KIR,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
KWT,,mg_abx_tetracyclines,31.03760162,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,62.07520324
KGZ,,mg_abx_tetracyclines,22.07117925,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,44.1423585
LAO,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
LVA,,mg_abx_tetracyclines,3.55805124,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,7.11610248
LBN,,mg_abx_tetracyclines,19.43662521,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,38.87325042
LSO,,mg_abx_tetracyclines,13.29351046,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,26.58702092
LBR,,mg_abx_tetracyclines,11.66586535,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,23.3317307
LBY,,mg_abx_tetracyclines,13.62488081,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.24976162
LIE,,mg_abx_tetracyclines,22.15960878,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,44.31921756
LTU,,mg_abx_tetracyclines,1.139186718,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,2.278373436
LUX,,mg_abx_tetracyclines,3.797489982,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,7.594979964
MDG,,mg_abx_tetracyclines,14.94101319,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,29.88202638
MWI,,mg_abx_tetracyclines,14.15451899,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,28.30903798
MYS,,mg_abx_tetracyclines,68.92438845,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.8487769
MDV,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
MLI,,mg_abx_tetracyclines,13.08395633,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,26.16791266
MLT,,mg_abx_tetracyclines,19.61293276,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,39.22586552
MHL,,mg_abx_tetracyclines,68.86475318,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,137.72950636
MTQ,,mg_abx_tetracyclines,21.6555291,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,43.3110582
MRT,,mg_abx_tetracyclines,13.62488081,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,27.24976162
MUS,,mg_abx_tetracyclines,7.835943244,Mulchandani et al. 2023.,2731,Bovine Meat,0.5,15.671886488
