country_code,country,gleam_region,fbs_item_code,fbs_item,system,footprint_type,footprint,source
7,Angola,Sub-Saharan Africa,2731,Bovine Meat,All systems,kg_co2e_excl_luc,98.00778860026537,"FAO, 2017. GLEAM-i v2.0 revision 3."
7,Angola,Sub-Saharan Africa,2732,Mutton & Goat Meat,All systems,kg_co2e_excl_luc,43.87777594762932,"FAO, 2017. GLEAM-i v2.0 revision 3."
7,Angola,Sub-Saharan Africa,2744,Eggs,All systems,kg_co2_luc_feed_soy,1.0656378322663056,"FAO, 2017. GLEAM-i v2.0 revision 3."
7,Angola,Sub-Saharan Africa,2744,Eggs,All systems,kg_co2e_excl_luc,5.219097347455823,"FAO, 2017. GLEAM-i v2.0 revision 3."
7,Angola,Sub-Saharan Africa,2848,Milk - Excluding Butter,All systems,kg_co2_luc_feed_palm,0.0008993319022495223,"FAO, 2017. GLEAM-i v2.0 revision 3."
7,Angola,Sub-Saharan Africa,2848,Milk - Excluding Butter,All systems,kg_co2_luc_feed_soy,0.003421455247381302,"FAO, 2017. GLEAM-i v2.0 revision 3."
7,Angola,Sub-Saharan Africa,2848,Milk - Excluding Butter,All systems,kg_co2e_excl_luc,7.211267876648465,"FAO, 2017. GLEAM-i v2.0 revision 3."
8,Antigua and Barbuda,Latin America and the Caribbean,2731,Bovine Meat,All systems,kg_co2_luc_feed_palm,0.00944391293768086,"FAO, 2017. GLEAM-i v2.0 revision 3."
8,Antigua and Barbuda,Latin America and the Caribbean,2731,Bovine Meat,All systems,kg_co2_luc_feed_soy,0.03475368674323443,"FAO, 2017. GLEAM-i v2.0 revision 3."
8,Antigua and Barbuda,Latin America and the Caribbean,2731,Bovine Meat,All systems,kg_co2e_excl_luc,11.658429617998372,"FAO, 2017. GLEAM-i v2.0 revision 3."
8,Antigua and Barbuda,Latin America and the Caribbean,2732,Mutton & Goat Meat,All systems,kg_co2e_excl_luc,22.989247717093953,"FAO, 2017. GLEAM-i v2.0 revision 3."
8,Antigua and Barbuda,Latin America and the Caribbean,2744,Eggs,All systems,kg_co2_luc_feed_soy,0.19749354472068315,"FAO, 2017. GLEAM-i v2.0 revision 3."
8,Antigua and Barbuda,Latin America and the Caribbean,2744,Eggs,All systems,kg_co2e_excl_luc,2.9771799155662637,"FAO, 2017. GLEAM-i v2.0 revision 3."
8,Antigua and Barbuda,Latin America and the Caribbean,2848,Milk - Excluding Butter,All systems,kg_co2_luc_feed_palm,0.002613083637591884,"FAO, 2017. GLEAM-i v2.0 revision 3."
