country_code,country,gleam_region,fbs_item_code,fbs_item,footprint_type,meat_feed,footprint
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_cephalosporins_3_4,meat,0.0
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_kasugamycin,feed,0.0116302564773368
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_lincosamides,meat,2.6850885625000003
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_macrolides,meat,7.879106966666667
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_other_antibiotics,meat,0.0
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_oxytetracycline,feed,0.8531998024740574
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_penicillins,meat,14.536568347222222
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_pleuromutilins,meat,0.0
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_polymixins,meat,1.4921455000000001
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_quinolones,meat,1.823339466666667
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_streptomycin,feed,0.799806339707405
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_sulfonamides,meat,7.210053798611111
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_tetracycline,feed,0.0
1,Armenia,Near East and North Africa,2734,Poultry Meat,mg_abx_tetracyclines,meat,14.636466625
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_aminoglycosides,meat,6.035363228
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_amphenicols,meat,6.43307797
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_cephalosporins_1_2,meat,0.754425182
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_cephalosporins_3_4,meat,0.008501032
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_kasugamycin,feed,0.0
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_lincosamides,meat,0.450153188
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_macrolides,meat,4.324490896
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_other_antibiotics,meat,1.622827148
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_oxytetracycline,feed,0.0019323671497584
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_penicillins,meat,13.856841944
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_pleuromutilins,meat,0.0
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_polymixins,meat,0.107072504
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_quinolones,meat,2.08435855
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_streptomycin,feed,0.0
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_sulfonamides,meat,5.826509382
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_tetracycline,feed,0.0
2,Afghanistan,South Asia,2731,Bovine Meat,mg_abx_tetracyclines,meat,62.07520324
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_aminoglycosides,meat,9.16114323962264
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_amphenicols,meat,8.058602256603773
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_cephalosporins_1_2,meat,0.19825655471698111
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_cephalosporins_3_4,meat,0.9318789830188678
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_kasugamycin,feed,0.0
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_lincosamides,meat,5.657056003773585
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_macrolides,meat,13.122289371698113
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_other_antibiotics,meat,26.77124896226415
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_oxytetracycline,feed,0.0
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_penicillins,meat,32.89150281132075
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_pleuromutilins,meat,7.137079728301886
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_polymixins,meat,19.93889679245283
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_quinolones,meat,8.488993045283019
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_streptomycin,feed,0.0
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_sulfonamides,meat,11.837620064150943
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_tetracycline,feed,0.0
2,Afghanistan,South Asia,2732,Mutton & Goat Meat,mg_abx_tetracyclines,meat,65.53938449056604
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_aminoglycosides,meat,7.317499344000001
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_amphenicols,meat,0.7462325373333334
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_cephalosporins_1_2,meat,0.00449434
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_cephalosporins_3_4,meat,0.0007681973333333332
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_kasugamycin,feed,0.0
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_lincosamides,meat,3.831544382666667
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_macrolides,meat,11.125662293333333
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_other_antibiotics,meat,20.421639786666667
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_oxytetracycline,feed,0.0
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_penicillins,meat,17.1415026
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_pleuromutilins,meat,1.0309368266666665
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_polymixins,meat,7.3845621973333335
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_quinolones,meat,1.527527116
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_streptomycin,feed,0.0
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_sulfonamides,meat,7.193925106666666
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_tetracycline,feed,0.0
2,Afghanistan,South Asia,2733,Pigmeat,mg_abx_tetracyclines,meat,77.92221302666667
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_aminoglycosides,meat,0.718136075
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_amphenicols,meat,0.019669825000000002
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_cephalosporins_1_2,meat,0.0
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_cephalosporins_3_4,meat,0.0
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_kasugamycin,feed,0.0
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_lincosamides,meat,0.5125072486111111
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_macrolides,meat,5.5398406499999995
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_other_antibiotics,meat,0.0
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_oxytetracycline,feed,1.384660286219378e-06
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_penicillins,meat,5.33807215
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_pleuromutilins,meat,0.0
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_polymixins,meat,0.8227987930555556
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_quinolones,meat,1.3029641319444445
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_streptomycin,feed,0.2197003073059173
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_sulfonamides,meat,3.556369684722222
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_tetracycline,feed,0.0224849587553346
2,Afghanistan,South Asia,2734,Poultry Meat,mg_abx_tetracyclines,meat,19.871383569444447
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_aminoglycosides,meat,16.795555546
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_amphenicols,meat,9.270098458
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_cephalosporins_1_2,meat,2.384594732
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_cephalosporins_3_4,meat,0.0
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_kasugamycin,feed,0.0
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_lincosamides,meat,2.402232422
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_macrolides,meat,6.264851812
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_other_antibiotics,meat,0.153225242
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_oxytetracycline,feed,0.0019383196464914
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_penicillins,meat,38.43596686
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_pleuromutilins,meat,0.0
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_polymixins,meat,0.197784192
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_quinolones,meat,2.971006434
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_streptomycin,feed,0.0025652851251881
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_sulfonamides,meat,12.031953576
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_tetracycline,feed,0.0
3,Albania,Western Europe,2731,Bovine Meat,mg_abx_tetracyclines,meat,44.31921756
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_aminoglycosides,meat,25.49415575471698
