country_code,country,gleam_region,fbs_item_code,fbs_item,footprint_type,meat_feed,footprint
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_amphenicols,meat,11.612487316981131
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_cephalosporins_1_2,meat,0.6266513188679245
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_cephalosporins_3_4,meat,0.0
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_kasugamycin,feed,0.0
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_lincosamides,meat,30.188752905660376
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_macrolides,meat,19.0101448490566
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_other_antibiotics,meat,2.5277067245283016
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_oxytetracycline,feed,3.7504382783978686e-06
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_penicillins,meat,91.23411507547169
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_pleuromutilins,meat,42.96856337735849
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_polymixins,meat,36.831104679245286
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_quinolones,meat,12.100054928301887
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_streptomycin,feed,0.0016162870741612
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_sulfonamides,meat,24.445115547169813
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_tetracycline,feed,0.0
3,Albania,Western Europe,2732,Mutton & Goat Meat,mg_abx_tetracyclines,meat,46.79250471698113
3,Albania,Western Europe,2733,Pigmeat,mg_abx_aminoglycosides,meat,18.261505348057888
3,Albania,Western Europe,2733,Pigmeat,mg_abx_amphenicols,meat,0.9643232422338593
3,Albania,Western Europe,2733,Pigmeat,mg_abx_cephalosporins_1_2,meat,0.012739350020708135
3,Albania,Western Europe,2733,Pigmeat,mg_abx_cephalosporins_3_4,meat,0.0
3,Albania,Western Europe,2733,Pigmeat,mg_abx_kasugamycin,feed,0.0
3,Albania,Western Europe,2733,Pigmeat,mg_abx_lincosamides,meat,18.336290329986188
3,Albania,Western Europe,2733,Pigmeat,mg_abx_macrolides,meat,14.453885525029008
3,Albania,Western Europe,2733,Pigmeat,mg_abx_other_antibiotics,meat,1.7291456807470773
3,Albania,Western Europe,2733,Pigmeat,mg_abx_oxytetracycline,feed,2.0074877689727563e-06
3,Albania,Western Europe,2733,Pigmeat,mg_abx_penicillins,meat,42.638837696633566
3,Albania,Western Europe,2733,Pigmeat,mg_abx_pleuromutilins,meat,5.566026381945424
3,Albania,Western Europe,2733,Pigmeat,mg_abx_polymixins,meat,12.232670955709963
3,Albania,Western Europe,2733,Pigmeat,mg_abx_quinolones,meat,1.9525538228822095
3,Albania,Western Europe,2733,Pigmeat,mg_abx_streptomycin,feed,0.0008651459620643
3,Albania,Western Europe,2733,Pigmeat,mg_abx_sulfonamides,meat,13.322217859912332
3,Albania,Western Europe,2733,Pigmeat,mg_abx_tetracycline,feed,0.0
3,Albania,Western Europe,2733,Pigmeat,mg_abx_tetracyclines,meat,49.89053191906143
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_aminoglycosides,meat,1.1990821965277778
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_amphenicols,meat,0.017006591666666668
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_cephalosporins_1_2,meat,0.0
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_cephalosporins_3_4,meat,0.0
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_kasugamycin,feed,0.0
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_lincosamides,meat,1.640990084722222
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_macrolides,meat,4.815310968055556
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_other_antibiotics,meat,0.0
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_oxytetracycline,feed,2.470008034104256e-05
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_penicillins,meat,8.884014050694445
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_pleuromutilins,meat,0.0
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_polymixins,meat,0.9119237277777776
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_quinolones,meat,1.1143326993055556
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_streptomycin,feed,0.0106447347276507
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_sulfonamides,meat,4.406419570833333
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_tetracycline,feed,0.0
3,Albania,Western Europe,2734,Poultry Meat,mg_abx_tetracyclines,meat,8.512424858333334
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_aminoglycosides,meat,1.737982114
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_amphenicols,meat,1.191145884
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_cephalosporins_1_2,meat,0.0
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_cephalosporins_3_4,meat,0.0
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_kasugamycin,feed,0.0
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_lincosamides,meat,0.0239394
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_macrolides,meat,2.60906891
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_other_antibiotics,meat,2.206806562
4,Algeria,Near East and North Africa,2731,Bovine Meat,mg_abx_oxytetracycline,feed,0.0019326041519194
