item_index,item,footprint,footprint_type
Canada,Mutton & Goat Meat,30.203556335143446,kg_co2e
Canada,Pigmeat,3.685173054573277,kg_co2e
Canada,Poultry Meat,1.5543300273322485,kg_co2e
Cayman Islands,Mutton & Goat Meat,26.475590999961945,kg_co2e
Central African Republic,Bovine Meat,105.34377882713814,kg_co2e
Central African Republic,Mutton & Goat Meat,55.216204684437336,kg_co2e
Central African Republic,Pigmeat,6.098138305277141,kg_co2e
Central African Republic,Poultry Meat,2.1572435440933653,kg_co2e
Chad,Bovine Meat,81.93971754461596,kg_co2e
Chad,Mutton & Goat Meat,31.54926105086918,kg_co2e
Chad,Pigmeat,8.026225809077474,kg_co2e
Chad,Poultry Meat,8.544235871161938,kg_co2e
Channel Islands,Poultry Meat,1.2359225702534118,kg_co2e
Chile,Bovine Meat,194.4582713641315,kg_co2e
Chile,Mutton & Goat Meat,29.280305672199216,kg_co2e
Chile,Pigmeat,5.828552859922304,kg_co2e
Chile,Poultry Meat,3.2827429617885695,kg_co2e
"China, Hong Kong SAR",Mutton & Goat Meat,19.443669622643224,kg_co2e
"China, Hong Kong SAR",Poultry Meat,8.98895101629521,kg_co2e
"China, Taiwan Province of",Bovine Meat,44.169103557747775,kg_co2e
"China, Taiwan Province of",Mutton & Goat Meat,25.186861016772138,kg_co2e
"China, Taiwan Province of",Pigmeat,7.006369634283771,kg_co2e
"China, Taiwan Province of",Poultry Meat,6.418951577482826,kg_co2e
"China, mainland",Bovine Meat,44.169103557747775,kg_co2e
"China, mainland",Mutton & Goat Meat,25.186861016772138,kg_co2e
"China, mainland",Pigmeat,7.006369634283771,kg_co2e
"China, mainland",Poultry Meat,6.418951577482826,kg_co2e
Colombia,Bovine Meat,47.37344471228598,kg_co2e
Colombia,Mutton & Goat Meat,37.00867479525684,kg_co2e
Colombia,Pigmeat,5.336420027345231,kg_co2e
Colombia,Poultry Meat,3.8645955563713996,kg_co2e
Comoros,Bovine Meat,33.39347846271727,kg_co2e
Comoros,Mutton & Goat Meat,26.19590959057683,kg_co2e
