item_index,item,footprint,footprint_type
Cabo Verde,Mutton & Goat Meat,97.87473400377357,abx
Cabo Verde,Pigmeat,15.204944618938281,abx
Cabo Verde,Poultry Meat,13.682854371337221,abx
Cambodia,Bovine Meat,223.23585807387795,abx
Cambodia,Mutton & Goat Meat,681.5694554056603,abx
Cambodia,Pigmeat,170.0540326332362,abx
Cambodia,Poultry Meat,47.08212458225431,abx
Cameroon,Bovine Meat,58.38537117914976,abx
Cameroon,Mutton & Goat Meat,174.9134406698113,abx
Cameroon,Pigmeat,49.011860697275054,abx
Cameroon,Poultry Meat,15.528448894673833,abx
Canada,Bovine Meat,91.6744681551843,abx
Canada,Mutton & Goat Meat,197.98381067909074,abx
Canada,Pigmeat,160.6301306147355,abx
Canada,Poultry Meat,37.18002122627385,abx
Central African Republic,Bovine Meat,42.58339738914976,abx
Central African Republic,Mutton & Goat Meat,97.87473400377357,abx
Central African Republic,Pigmeat,21.66938925453781,abx
Central African Republic,Poultry Meat,7.308759655060063,abx
Chad,Bovine Meat,43.22342175914976,abx
Chad,Mutton & Goat Meat,97.87473400377357,abx
Chad,Pigmeat,14.736327592148584,abx
Chad,Poultry Meat,3.719210031396412,abx
Chile,Bovine Meat,442.52283093427,abx
Chile,Mutton & Goat Meat,1039.3845324113208,abx
Chile,Pigmeat,181.7886306582594,abx
Chile,Poultry Meat,30.140530673456208,abx
"China, Hong Kong SAR",Bovine Meat,222.11566369599998,abx
"China, Hong Kong SAR",Mutton & Goat Meat,681.5694554056603,abx
"China, Hong Kong SAR",Pigmeat,470.1360526897287,abx
"China, Hong Kong SAR",Poultry Meat,89.10213199595432,abx
"China, Macao SAR",Bovine Meat,222.11566369599998,abx
"China, Macao SAR",Mutton & Goat Meat,681.5694554056603,abx
"China, Macao SAR",Pigmeat,470.37688772100887,abx
"China, Macao SAR",Poultry Meat,89.06897633098203,abx
"China, Taiwan Province of",Bovine Meat,222.69349167966826,abx
"China, Taiwan Province of",Mutton & Goat Meat,681.7018640710066,abx
"China, mainland",Bovine Meat,377.69843827831124,abx
"China, mainland",Mutton & Goat Meat,999.3080903759814,abx
"China, mainland",Pigmeat,368.0221496847488,abx
"China, mainland",Poultry Meat,115.99593234069471,abx
Colombia,Bovine Meat,102.02738457434435,abx
Colombia,Mutton & Goat Meat,777.3906488,abx
Colombia,Pigmeat,215.60779893752624,abx
Colombia,Poultry Meat,47.335026079090625,abx
Comoros,Bovine Meat,42.5930987408978,abx
Comoros,Mutton & Goat Meat,97.87473400377357,abx
Comoros,Pigmeat,73.30152828799999,abx
Comoros,Poultry Meat,8.299961023818991,abx
Congo,Bovine Meat,40.81951566514976,abx
Congo,Mutton & Goat Meat,97.87473400377357,abx
Congo,Pigmeat,26.54052718859156,abx
Congo,Poultry Meat,10.964977794356383,abx
Cook Islands,Bovine Meat,222.11759606314973,abx
Cook Islands,Mutton & Goat Meat,681.5694554056603,abx
Costa Rica,Bovine Meat,102.31769647632998,abx
Costa Rica,Mutton & Goat Meat,777.3906488,abx
Costa Rica,Pigmeat,344.5272408695146,abx
Costa Rica,Poultry Meat,48.57471487183891,abx
Croatia,Bovine Meat,58.465561504,abx
Croatia,Mutton & Goat Meat,136.89095983396226,abx
Croatia,Pigmeat,61.14065210197333,abx
Croatia,Poultry Meat,23.211026260243443,abx
Cuba,Bovine Meat,103.35055546570788,abx
Cuba,Mutton & Goat Meat,777.3906488,abx
Cyprus,Bovine Meat,292.10688055,abx
Cyprus,Mutton & Goat Meat,973.5877091207548,abx
Cyprus,Pigmeat,476.049565926896,abx
Cyprus,Poultry Meat,140.85572356282063,abx
Czechia,Bovine Meat,42.120160388,abx
Czechia,Mutton & Goat Meat,163.587049045283,abx
Czechia,Pigmeat,59.13849451726933,abx
Czechia,Poultry Meat,17.835010546180555,abx
Côte d'Ivoire,Bovine Meat,42.27441744934917,abx
Côte d'Ivoire,Mutton & Goat Meat,97.87473400377357,abx
Côte d'Ivoire,Pigmeat,41.822126844014164,abx
Côte d'Ivoire,Poultry Meat,13.876243099303942,abx
Democratic People's Republic of Korea,Bovine Meat,222.50420667378927,abx
Democratic People's Republic of Korea,Mutton & Goat Meat,681.5694554056603,abx
Democratic Republic of the Congo,Bovine Meat,41.82072011114976,abx
Democratic Republic of the Congo,Mutton & Goat Meat,97.87473400377357,abx
Democratic Republic of the Congo,Pigmeat,35.30846535187744,abx
Democratic Republic of the Congo,Poultry Meat,5.892802963239232,abx
Denmark,Bovine Meat,28.959786718,abx
Denmark,Mutton & Goat Meat,2998.644080373585,abx
Denmark,Pigmeat,26.964401144,abx
Denmark,Poultry Meat,7.908195778138889,abx
Djibouti,Bovine Meat,41.85109021114976,abx
Djibouti,Mutton & Goat Meat,97.87473400377357,abx
Djibouti,Pigmeat,73.30152828799999,abx
Djibouti,Poultry Meat,13.124917244963674,abx
Dominica,Bovine Meat,103.13395352295449,abx
Dominica,Mutton & Goat Meat,777.3906488,abx
Dominica,Pigmeat,328.90888910665234,abx
Dominica,Poultry Meat,47.6421105137875,abx
Dominican Republic,Bovine Meat,102.76586737523743,abx
Dominican Republic,Mutton & Goat Meat,777.3906488,abx
Dominican Republic,Pigmeat,366.1596935320555,abx
Dominican Republic,Poultry Meat,48.842687297314455,abx
Ecuador,Bovine Meat,102.13477754661196,abx
Ecuador,Mutton & Goat Meat,777.3906488,abx
Ecuador,Pigmeat,294.9041977699417,abx
Ecuador,Poultry Meat,46.324978863627635,abx
Egypt,Bovine Meat,35.33157159314976,abx
