fbs_item_code,fbs_item,footprint_type,country_code,country,gleam_region,country_footprint,region_footprint,world_footprint,footprint,geographic_resolution,approved,feed_1000_mt,feed_kg,footprint_mg_country_total
2533,Sweet potatoes,mg_abx_oxytetracycline,222,Tunisia,Near East and North Africa,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_streptomycin,222,Tunisia,Near East and North Africa,,,0.0009490644299979,0.0009490644299979,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_kasugamycin,223,Turkey,Near East and North Africa,,,0.0,0.0,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,223,Turkey,Near East and North Africa,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_streptomycin,223,Turkey,Near East and North Africa,,,0.0009490644299979,0.0009490644299979,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_kasugamycin,225,United Arab Emirates,Near East and North Africa,,,0.0,0.0,world,n.d.,0.25,250000.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,225,United Arab Emirates,Near East and North Africa,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,0.25,250000.0,1.0481109110966125
2533,Sweet potatoes,mg_abx_streptomycin,225,United Arab Emirates,Near East and North Africa,,,0.0009490644299979,0.0009490644299979,world,n.d.,0.25,250000.0,237.266107499475
2533,Sweet potatoes,mg_abx_kasugamycin,226,Uganda,Sub-Saharan Africa,,,0.0,0.0,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,226,Uganda,Sub-Saharan Africa,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_streptomycin,226,Uganda,Sub-Saharan Africa,,,0.0009490644299979,0.0009490644299979,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_kasugamycin,229,United Kingdom of Great Britain and Northern Ireland,Western Europe,,,0.0,0.0,world,n.d.,136.75,136750000.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,229,United Kingdom of Great Britain and Northern Ireland,Western Europe,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,136.75,136750000.0,573.316668369847
2533,Sweet potatoes,mg_abx_streptomycin,229,United Kingdom of Great Britain and Northern Ireland,Western Europe,,,0.0009490644299979,0.0009490644299979,world,n.d.,136.75,136750000.0,129784.56080221283
2533,Sweet potatoes,mg_abx_kasugamycin,230,Ukraine,Eastern Europe,,,0.0,0.0,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,230,Ukraine,Eastern Europe,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_streptomycin,230,Ukraine,Eastern Europe,,,0.0009490644299979,0.0009490644299979,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_kasugamycin,231,United States of America,North America,0.0,0.0,0.0,0.0,country,n.d.,67.25,67250000.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,231,United States of America,North America,4.19244364438645e-06,4.19244364438645e-06,4.19244364438645e-06,4.19244364438645e-06,country,n.d.,67.25,67250000.0,281.9418350849887
2533,Sweet potatoes,mg_abx_streptomycin,231,United States of America,North America,0.0009490644299979,0.0009490644299979,0.0009490644299979,0.0009490644299979,country,n.d.,67.25,67250000.0,63824.58291735878
2533,Sweet potatoes,mg_abx_kasugamycin,233,Burkina Faso,Sub-Saharan Africa,,,0.0,0.0,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,233,Burkina Faso,Sub-Saharan Africa,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_streptomycin,233,Burkina Faso,Sub-Saharan Africa,,,0.0009490644299979,0.0009490644299979,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_kasugamycin,234,Uruguay,Latin America and the Caribbean,,,0.0,0.0,world,n.d.,10.25,10250000.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,234,Uruguay,Latin America and the Caribbean,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,10.25,10250000.0,42.97254735496111
2533,Sweet potatoes,mg_abx_streptomycin,234,Uruguay,Latin America and the Caribbean,,,0.0009490644299979,0.0009490644299979,world,n.d.,10.25,10250000.0,9727.910407478475
2533,Sweet potatoes,mg_abx_kasugamycin,235,Uzbekistan,Near East and North Africa,,,0.0,0.0,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,235,Uzbekistan,Near East and North Africa,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_streptomycin,235,Uzbekistan,Near East and North Africa,,,0.0009490644299979,0.0009490644299979,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_kasugamycin,236,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,,,0.0,0.0,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,236,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_streptomycin,236,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,,,0.0009490644299979,0.0009490644299979,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_kasugamycin,237,Viet Nam,East Asia and Southeast Asia,,,0.0,0.0,world,n.d.,769.75,769750000.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,237,Viet Nam,East Asia and Southeast Asia,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,769.75,769750000.0,3227.1334952664697
2533,Sweet potatoes,mg_abx_streptomycin,237,Viet Nam,East Asia and Southeast Asia,,,0.0009490644299979,0.0009490644299979,world,n.d.,769.75,769750000.0,730542.3449908836
2533,Sweet potatoes,mg_abx_kasugamycin,238,Ethiopia,Sub-Saharan Africa,,,0.0,0.0,world,n.d.,54.5,54500000.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,238,Ethiopia,Sub-Saharan Africa,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,54.5,54500000.0,228.4881786190615
2533,Sweet potatoes,mg_abx_streptomycin,238,Ethiopia,Sub-Saharan Africa,,,0.0009490644299979,0.0009490644299979,world,n.d.,54.5,54500000.0,51724.01143488555
2533,Sweet potatoes,mg_abx_kasugamycin,244,Samoa,Oceania,,,0.0,0.0,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,244,Samoa,Oceania,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_streptomycin,244,Samoa,Oceania,,,0.0009490644299979,0.0009490644299979,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_kasugamycin,249,Yemen,Near East and North Africa,,,0.0,0.0,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,249,Yemen,Near East and North Africa,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_streptomycin,249,Yemen,Near East and North Africa,,,0.0009490644299979,0.0009490644299979,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_kasugamycin,250,Democratic Republic of the Congo,Sub-Saharan Africa,,,0.0,0.0,world,n.d.,14.25,14250000.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,250,Democratic Republic of the Congo,Sub-Saharan Africa,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,14.25,14250000.0,59.74232193250691
2533,Sweet potatoes,mg_abx_streptomycin,250,Democratic Republic of the Congo,Sub-Saharan Africa,,,0.0009490644299979,0.0009490644299979,world,n.d.,14.25,14250000.0,13524.168127470075
2533,Sweet potatoes,mg_abx_kasugamycin,251,Zambia,Sub-Saharan Africa,,,0.0,0.0,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,251,Zambia,Sub-Saharan Africa,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_streptomycin,251,Zambia,Sub-Saharan Africa,,,0.0009490644299979,0.0009490644299979,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_kasugamycin,255,Belgium,Western Europe,,,0.0,0.0,world,no,25.0,25000000.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,255,Belgium,Western Europe,,,4.19244364438645e-06,0.0,world,no,25.0,25000000.0,0.0
2533,Sweet potatoes,mg_abx_streptomycin,255,Belgium,Western Europe,,,0.0009490644299979,0.0,world,no,25.0,25000000.0,0.0
2533,Sweet potatoes,mg_abx_kasugamycin,256,Luxembourg,Western Europe,,,0.0,0.0,world,no,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,256,Luxembourg,Western Europe,,,4.19244364438645e-06,0.0,world,no,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_streptomycin,256,Luxembourg,Western Europe,,,0.0009490644299979,0.0,world,no,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_kasugamycin,272,Serbia,Western Europe,,,0.0,0.0,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,272,Serbia,Western Europe,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_streptomycin,272,Serbia,Western Europe,,,0.0009490644299979,0.0009490644299979,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_kasugamycin,273,Montenegro,Western Europe,,,0.0,0.0,world,n.d.,0.0,0.0,0.0
2533,Sweet potatoes,mg_abx_oxytetracycline,273,Montenegro,Western Europe,,,4.19244364438645e-06,4.19244364438645e-06,world,n.d.,0.0,0.0,0.0
