country_code,country,fbs_item_code,fbs_item,schar_freshwater_item,Aquaculture production (brackishwater),Aquaculture production (freshwater),Aquaculture production (marine),Capture production,mt_production_aqua,mt_production_total
17,Bermuda,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,102.0,0.0,102.0
17,Bermuda,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,237.0,0.0,237.0
17,Bermuda,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,6.0,0.0,6.0
17,Bermuda,2765.0,Crustaceans,non_freshwater,0.0,0.0,0.0,40.0,0.0,40.0
17,Bermuda,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
18,Bhutan,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
18,Bhutan,2761.0,Freshwater Fish,diadromous_avg,0.0,8.54,0.0,0.0,8.54,8.54
18,Bhutan,2761.0,Freshwater Fish,non_freshwater,0.0,200.73000000000002,0.0,15.0,200.73000000000002,215.73000000000002
19,Bolivia (Plurinational State of),2761.0,Freshwater Fish,catfish,0.0,1725.0,0.0,7900.0,1725.0,9625.0
19,Bolivia (Plurinational State of),2761.0,Freshwater Fish,diadromous_avg,0.0,1600.0,0.0,0.0,1600.0,1600.0
19,Bolivia (Plurinational State of),2761.0,Freshwater Fish,non_freshwater,0.0,150.0,0.0,0.0,150.0,150.0
19,Bolivia (Plurinational State of),2761.0,Freshwater Fish,tilapia,0.0,50.0,0.0,0.0,50.0,50.0
19,Bolivia (Plurinational State of),2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
20,Botswana,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,3.0,0.0,3.0
20,Botswana,2761.0,Freshwater Fish,tilapia,0.0,35.0,0.0,35.0,35.0,70.0
21,Brazil,2761.0,Freshwater Fish,catfish,0.0,185736.84,0.0,195762.0,185736.84,381498.83999999997
21,Brazil,2761.0,Freshwater Fish,diadromous_avg,0.0,2032.14,0.0,0.0,2032.14,2032.14
21,Brazil,2761.0,Freshwater Fish,non_freshwater,0.0,18048.76,0.0,463.0,18048.76,18511.76
21,Brazil,2761.0,Freshwater Fish,tilapia,0.0,323805.86,0.0,22770.0,323805.86,346575.86
21,Brazil,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,222971.0,0.0,222971.0
21,Brazil,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,171172.39,0.0,171172.39
21,Brazil,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,20.0,29400.0,20.0,29420.0
21,Brazil,2765.0,Crustaceans,non_freshwater,54335.72,150.0,0.0,56460.0,54485.72,110945.72
21,Brazil,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,3020.0,0.0,3020.0
21,Brazil,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,15215.78,8355.0,15215.78,23570.78
21,Brazil,2768.0,"Meat, Aquatic Mammals",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
21,Brazil,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,205.0,0.0,0.0,205.0,205.0
21,Brazil,2775.0,Aquatic Plants,non_freshwater,0.0,0.0,730.0,0.0,730.0,730.0
22,Aruba,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
22,Aruba,2761.0,Freshwater Fish,tilapia,0.0,0.0,0.0,0.0,0.0,0.0
22,Aruba,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,68.0,0.0,68.0
22,Aruba,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,45.0,0.0,45.0
22,Aruba,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,50.0,0.0,50.0
23,Belize,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
23,Belize,2761.0,Freshwater Fish,tilapia,0.0,60.0,0.0,0.0,60.0,60.0
23,Belize,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,2402.2,0.0,2402.2
23,Belize,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,197143.32,0.0,197143.32
23,Belize,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,9306.79,0.0,9306.79
23,Belize,2765.0,Crustaceans,non_freshwater,500.0,0.0,0.0,0.0,500.0,500.0
23,Belize,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,2.29,0.0,2.29
23,Belize,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,0.0,4288.0,0.0,4288.0
23,Belize,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
23,Belize,2775.0,Aquatic Plants,non_freshwater,0.0,0.0,3.0,0.0,3.0,3.0
25,Solomon Islands,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
25,Solomon Islands,2761.0,Freshwater Fish,tilapia,0.0,1.0,0.0,0.0,1.0,1.0
25,Solomon Islands,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,54.0,0.0,54.0
25,Solomon Islands,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,68953.0,0.0,68953.0
25,Solomon Islands,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,298.0,0.0,298.0
25,Solomon Islands,2765.0,Crustaceans,non_freshwater,0.0,0.0,0.0,15.0,0.0,15.0
25,Solomon Islands,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,0.0,5.0,0.0,5.0
25,Solomon Islands,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,0.0,100.0,0.0,100.0
25,Solomon Islands,2775.0,Aquatic Plants,non_freshwater,0.0,0.0,5600.0,0.0,5600.0,5600.0
26,Brunei Darussalam,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
26,Brunei Darussalam,2761.0,Freshwater Fish,non_freshwater,0.0,0.0,108.14999999999999,795.0,108.14999999999999,903.15
26,Brunei Darussalam,2761.0,Freshwater Fish,tilapia,0.0,5.0,0.0,0.0,5.0,5.0
26,Brunei Darussalam,2762.0,Demersal Fish,non_freshwater,0.0,0.0,167.9,1469.6399999999999,167.9,1637.54
26,Brunei Darussalam,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,59.93000000000001,5210.5,59.93000000000001,5270.43
26,Brunei Darussalam,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,3608.24,0.0,3608.24
26,Brunei Darussalam,2765.0,Crustaceans,non_freshwater,590.91,1.29,0.0,2516.19,592.1999999999999,3108.39
26,Brunei Darussalam,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,90.82,0.0,90.82
26,Brunei Darussalam,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
26,Brunei Darussalam,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
27,Bulgaria,2761.0,Freshwater Fish,catfish,0.0,599.7,0.0,9.0,599.7,608.7
27,Bulgaria,2761.0,Freshwater Fish,diadromous_avg,0.0,4237.91,0.0,0.0,4237.91,4237.91
27,Bulgaria,2761.0,Freshwater Fish,non_freshwater,0.0,8730.24,0.0,77.0,8730.24,8807.24
27,Bulgaria,2761.0,Freshwater Fish,tilapia,0.0,3.23,0.0,0.0,3.23,3.23
27,Bulgaria,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,689.0,0.0,689.0
27,Bulgaria,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,4799.0,0.0,4799.0
27,Bulgaria,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
27,Bulgaria,2765.0,Crustaceans,non_freshwater,0.0,7.45,0.0,0.0,7.45,7.45
27,Bulgaria,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
27,Bulgaria,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,2932.41,4756.0,2932.41,7688.41
27,Bulgaria,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
27,Bulgaria,2775.0,Aquatic Plants,non_freshwater,0.0,2.6500000000000004,0.0,0.0,2.6500000000000004,2.6500000000000004
28,Myanmar,2761.0,Freshwater Fish,catfish,0.0,53704.44,0.0,887450.0,53704.44,941154.44
28,Myanmar,2761.0,Freshwater Fish,non_freshwater,0.0,896618.34,76.45,0.0,896694.7899999999,896694.7899999999
28,Myanmar,2761.0,Freshwater Fish,tilapia,0.0,69472.16,0.0,0.0,69472.16,69472.16
28,Myanmar,2762.0,Demersal Fish,non_freshwater,0.0,0.0,14.83,0.0,14.83,14.83
28,Myanmar,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,10761.0,0.0,10761.0
28,Myanmar,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,1025505.0,0.0,1025505.0
28,Myanmar,2765.0,Crustaceans,non_freshwater,52638.47,9509.07,107.61,25674.0,62255.15,87929.15
28,Myanmar,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,0.0,1730.0,0.0,1730.0
28,Myanmar,2775.0,Aquatic Plants,non_freshwater,0.0,0.0,11.42,0.0,11.42,11.42
29,Burundi,2761.0,Freshwater Fish,catfish,0.0,80.0,0.0,20043.0,80.0,20123.0
29,Burundi,2761.0,Freshwater Fish,non_freshwater,0.0,15.0,0.0,0.0,15.0,15.0
29,Burundi,2761.0,Freshwater Fish,tilapia,0.0,1460.0,0.0,329.0,1460.0,1789.0
32,Cameroon,2761.0,Freshwater Fish,catfish,0.0,1165.7,0.0,30985.0,1165.7,32150.7
32,Cameroon,2761.0,Freshwater Fish,non_freshwater,0.0,24.0,0.0,530.0,24.0,554.0
32,Cameroon,2761.0,Freshwater Fish,tilapia,0.0,1310.3,0.0,0.0,1310.3,1310.3
32,Cameroon,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,85249.86,0.0,85249.86
32,Cameroon,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,123437.43,0.0,123437.43
32,Cameroon,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,12871.5,0.0,12871.5
32,Cameroon,2765.0,Crustaceans,non_freshwater,0.0,0.0,0.0,43879.86,0.0,43879.86
32,Cameroon,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,0.17,0.0,0.17
32,Cameroon,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
33,Canada,2761.0,Freshwater Fish,catfish,0.0,1432.0,0.0,16605.34,1432.0,18037.34
33,Canada,2761.0,Freshwater Fish,diadromous_avg,0.0,8971.0,132797.0,10779.24,141768.0,152547.24
33,Canada,2761.0,Freshwater Fish,non_freshwater,0.0,0.0,0.0,5433.2,0.0,5433.2
33,Canada,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,182565.16,0.0,182565.16
33,Canada,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,154517.68,0.0,154517.68
33,Canada,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,821.0,7764.0,821.0,8585.0
33,Canada,2765.0,Crustaceans,non_freshwater,0.0,0.0,14.0,251828.0,14.0,251842.0
33,Canada,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,85.0,0.0,85.0
33,Canada,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,43191.0,112485.0,43191.0,155676.0
33,Canada,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,0.0,15942.0,0.0,15942.0
33,Canada,2775.0,Aquatic Plants,non_freshwater,0.0,0.0,0.0,12655.0,0.0,12655.0
35,Cabo Verde,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
35,Cabo Verde,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,3.0,0.0,3.0
35,Cabo Verde,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,16761.0,0.0,16761.0
35,Cabo Verde,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,295.0,0.0,295.0
35,Cabo Verde,2765.0,Crustaceans,non_freshwater,5.0,0.0,0.0,2.0,5.0,7.0
35,Cabo Verde,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,10.0,0.0,10.0
35,Cabo Verde,2767.0,"Molluscs, Other",non_freshwater,0.0,0.0,0.0,13.0,0.0,13.0
35,Cabo Verde,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
36,Cayman Islands,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
36,Cayman Islands,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
36,Cayman Islands,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,125.0,0.0,125.0
36,Cayman Islands,2765.0,Crustaceans,non_freshwater,0.0,0.0,0.0,0.0,0.0,0.0
37,Central African Republic,2761.0,Freshwater Fish,catfish,0.0,20.0,0.0,29000.0,20.0,29020.0
37,Central African Republic,2761.0,Freshwater Fish,non_freshwater,0.0,20.0,0.0,0.0,20.0,20.0
37,Central African Republic,2761.0,Freshwater Fish,tilapia,0.0,100.0,0.0,0.0,100.0,100.0
37,Central African Republic,2775.0,Aquatic Plants,non_freshwater,0.0,50.0,0.0,0.0,50.0,50.0
38,Sri Lanka,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,36205.0,0.0,36205.0
38,Sri Lanka,2761.0,Freshwater Fish,non_freshwater,107.17,9552.0,144.12,0.0,9803.29,9803.29
38,Sri Lanka,2761.0,Freshwater Fish,tilapia,294.4,17350.0,0.0,54135.0,17644.4,71779.4
38,Sri Lanka,2762.0,Demersal Fish,non_freshwater,0.0,0.0,0.0,7144.900000000001,0.0,7144.900000000001
38,Sri Lanka,2763.0,Pelagic Fish,non_freshwater,0.0,0.0,0.0,324399.89999999997,0.0,324399.89999999997
38,Sri Lanka,2764.0,"Marine Fish, Other",non_freshwater,0.0,0.0,0.0,38435.3,0.0,38435.3
38,Sri Lanka,2765.0,Crustaceans,non_freshwater,5928.87,169.0,0.0,31000.0,6097.87,37097.87
38,Sri Lanka,2766.0,Cephalopods,non_freshwater,0.0,0.0,0.0,10570.0,0.0,10570.0
38,Sri Lanka,2767.0,"Molluscs, Other",non_freshwater,15.0,0.0,0.0,1590.0,15.0,1605.0
38,Sri Lanka,2769.0,"Aquatic Animals, Others",non_freshwater,0.0,0.0,280.13,2625.1,280.13,2905.23
38,Sri Lanka,2775.0,Aquatic Plants,non_freshwater,246.8,0.0,0.0,0.0,246.8,246.8
39,Chad,2761.0,Freshwater Fish,catfish,0.0,20.0,0.0,107000.0,20.0,107020.0
39,Chad,2761.0,Freshwater Fish,tilapia,0.0,65.0,0.0,0.0,65.0,65.0
39,Chad,2775.0,Aquatic Plants,non_freshwater,0.0,20.0,0.0,0.0,20.0,20.0
40,Chile,2761.0,Freshwater Fish,catfish,0.0,0.0,0.0,0.0,0.0,0.0
40,Chile,2761.0,Freshwater Fish,diadromous_avg,0.0,1291.0,988255.0,0.0,989546.0,989546.0
