country_code,country,fbs_item_code,fbs_item,mt_production_aqua,mt_production_total,%_production_aqua
1,Armenia,2761.0,Freshwater Fish,17560.0,17627.34,0.9961797979729216
1,Armenia,2765.0,Crustaceans,0.0,642.66,0.0
2,Afghanistan,2761.0,Freshwater Fish,8000.0,10100.0,0.7920792079207921
3,Albania,2761.0,Freshwater Fish,1759.0,4272.0,0.41175093632958804
3,Albania,2762.0,Demersal Fish,3470.0,5235.0,0.6628462273161414
3,Albania,2763.0,Pelagic Fish,0.0,2450.0,0.0
3,Albania,2764.0,"Marine Fish, Other",0.0,44.0,0.0
3,Albania,2765.0,Crustaceans,0.0,1519.0,0.0
3,Albania,2766.0,Cephalopods,0.0,415.0,0.0
3,Albania,2767.0,"Molluscs, Other",1071.0,1075.0,0.9962790697674418
3,Albania,2769.0,"Aquatic Animals, Others",0.0,0.0,0.0
4,Algeria,2761.0,Freshwater Fish,2514.6099999999997,2514.6099999999997,1.0
4,Algeria,2762.0,Demersal Fish,1657.54,7677.46,0.21589692424317417
4,Algeria,2763.0,Pelagic Fish,0.0,75918.86,0.0
4,Algeria,2764.0,"Marine Fish, Other",0.0,15176.77,0.0
4,Algeria,2765.0,Crustaceans,0.0,2141.98,0.0
4,Algeria,2766.0,Cephalopods,0.0,884.91,0.0
4,Algeria,2767.0,"Molluscs, Other",563.0500000000001,569.69,0.9883445382576489
4,Algeria,2769.0,"Aquatic Animals, Others",0.0,0.0,0.0
5,American Samoa,2761.0,Freshwater Fish,20.0,20.0,1.0
5,American Samoa,2762.0,Demersal Fish,0.0,28.0,0.0
5,American Samoa,2763.0,Pelagic Fish,0.0,3289.0,0.0
5,American Samoa,2764.0,"Marine Fish, Other",0.0,9.0,0.0
5,American Samoa,2765.0,Crustaceans,0.0,1.0,0.0
5,American Samoa,2766.0,Cephalopods,0.0,0.0,0.0
5,American Samoa,2767.0,"Molluscs, Other",0.0,0.0,0.0
6,Andorra,2761.0,Freshwater Fish,0.0,0.0,0.0
7,Angola,2761.0,Freshwater Fish,1925.0,25425.0,0.07571288102261553
7,Angola,2762.0,Demersal Fish,0.0,60480.0,0.0
7,Angola,2763.0,Pelagic Fish,0.0,288073.0,0.0
7,Angola,2764.0,"Marine Fish, Other",0.0,32855.0,0.0
7,Angola,2765.0,Crustaceans,0.0,2626.0,0.0
7,Angola,2766.0,Cephalopods,0.0,1728.0,0.0
8,Antigua and Barbuda,2761.0,Freshwater Fish,10.0,10.0,1.0
8,Antigua and Barbuda,2762.0,Demersal Fish,0.0,1027.0,0.0
8,Antigua and Barbuda,2763.0,Pelagic Fish,0.0,80.0,0.0
8,Antigua and Barbuda,2764.0,"Marine Fish, Other",0.0,197.0,0.0
8,Antigua and Barbuda,2765.0,Crustaceans,0.0,278.0,0.0
8,Antigua and Barbuda,2767.0,"Molluscs, Other",0.0,1583.0,0.0
9,Argentina,2761.0,Freshwater Fish,2564.09,28048.09,0.09141763307234112
9,Argentina,2762.0,Demersal Fish,0.0,439647.0,0.0
9,Argentina,2763.0,Pelagic Fish,0.0,23471.0,0.0
9,Argentina,2764.0,"Marine Fish, Other",0.0,559.0,0.0
9,Argentina,2765.0,Crustaceans,0.0,218096.0,0.0
9,Argentina,2766.0,Cephalopods,0.0,96295.0,0.0
9,Argentina,2767.0,"Molluscs, Other",19.5,22562.5,0.0008642659279778393
9,Argentina,2769.0,"Aquatic Animals, Others",8.6,8.6,1.0
9,Argentina,2775.0,Aquatic Plants,0.0,0.0,0.0
10,Australia,2761.0,Freshwater Fish,61504.81999999999,63332.95,0.9711346147621419
10,Australia,2762.0,Demersal Fish,0.0,31246.72,0.0
10,Australia,2763.0,Pelagic Fish,8252.0,86485.67,0.09541465077393746
10,Australia,2764.0,"Marine Fish, Other",2951.0,16361.58,0.18036155432421563
10,Australia,2765.0,Crustaceans,4867.410000000001,39039.520000000004,0.12467904318495719
10,Australia,2766.0,Cephalopods,0.0,2563.4300000000003,0.0
10,Australia,2767.0,"Molluscs, Other",11878.03,22566.14,0.5263651648000057
10,Australia,2769.0,"Aquatic Animals, Others",0.0,266.3,0.0
10,Australia,2775.0,Aquatic Plants,0.0,1923.0,0.0
11,Austria,2761.0,Freshwater Fish,4250.03,4600.03,0.9239135396943063
11,Austria,2765.0,Crustaceans,0.0,0.0,0.0
12,Bahamas,2761.0,Freshwater Fish,0.0,0.0,0.0
12,Bahamas,2762.0,Demersal Fish,0.0,483.63,0.0
12,Bahamas,2763.0,Pelagic Fish,0.0,43.14,0.0
12,Bahamas,2764.0,"Marine Fish, Other",0.0,3.32,0.0
12,Bahamas,2765.0,Crustaceans,5.0,6271.72,0.0007972294681522771
12,Bahamas,2766.0,Cephalopods,0.0,0.0,0.0
12,Bahamas,2767.0,"Molluscs, Other",0.0,3068.59,0.0
12,Bahamas,2769.0,"Aquatic Animals, Others",0.0,280.51,0.0
13,Bahrain,2761.0,Freshwater Fish,0.0,301.0,0.0
13,Bahrain,2762.0,Demersal Fish,5.5,5386.5,0.001021071196509793
13,Bahrain,2763.0,Pelagic Fish,0.0,1356.0,0.0
13,Bahrain,2764.0,"Marine Fish, Other",0.0,445.0,0.0
13,Bahrain,2765.0,Crustaceans,0.0,7454.0,0.0
13,Bahrain,2766.0,Cephalopods,0.0,190.0,0.0
13,Bahrain,2769.0,"Aquatic Animals, Others",0.0,0.0,0.0
14,Barbados,2761.0,Freshwater Fish,25.0,25.0,1.0
14,Barbados,2762.0,Demersal Fish,0.0,35.0,0.0
14,Barbados,2763.0,Pelagic Fish,0.0,1227.0,0.0
