country_iso_code,fbs_item,system,proportion_est
LMY,Poultry Meat,extensive,0.07116053399521109
LSO,Poultry Meat,extensive,0.5731517271984605
LTE,Poultry Meat,extensive,0.02763255549127884
LTU,Poultry Meat,extensive,0.006994593129640351
LUX,Poultry Meat,extensive,0.0009568725114666351
LVA,Poultry Meat,extensive,0.010148618248078882
MAC,Poultry Meat,extensive,0.0027881706558224957
MAR,Poultry Meat,extensive,0.11643884718049144
MDA,Poultry Meat,extensive,0.04527196345714971
MDG,Poultry Meat,extensive,0.7551602338334066
MDV,Poultry Meat,extensive,0.02688345482791
MEA,Poultry Meat,extensive,0.0366629696153695
MEX,Poultry Meat,extensive,0.02607562124286362
MHL,Poultry Meat,extensive,0.18700169468236424
MIC,Poultry Meat,extensive,0.060322738518396084
MKD,Poultry Meat,extensive,0.033975589867989556
MLI,Poultry Meat,extensive,0.6084904287779107
MLT,Poultry Meat,extensive,0.005532316087581107
MMR,Poultry Meat,extensive,0.3214792329907114
MNA,Poultry Meat,extensive,0.07573306278575728
MNE,Poultry Meat,extensive,0.02271743541827534
MNG,Poultry Meat,extensive,0.06233878344386588
MOZ,Poultry Meat,extensive,0.8104026608999871
MRT,Poultry Meat,extensive,0.22188079060063093
MUS,Poultry Meat,extensive,0.022006997680653808
MWI,Poultry Meat,extensive,0.7487418144881905
MYS,Poultry Meat,extensive,0.014553541681822917
NAC,Poultry Meat,extensive,0.0030205523883413098
NAM,Poultry Meat,extensive,0.09458097846852463
NER,Poultry Meat,extensive,0.819682345178402
NGA,Poultry Meat,extensive,0.24682980417478564
NIC,Poultry Meat,extensive,0.20316430144239084
NLD,Poultry Meat,extensive,0.003575197368073379
NOR,Poultry Meat,extensive,0.002720830034007218
NPL,Poultry Meat,extensive,0.3423962086106084
NRU,Poultry Meat,extensive,0.05983442665192326
NZL,Poultry Meat,extensive,0.005952321198723528
OED,Poultry Meat,extensive,0.005494158201471954
OMN,Poultry Meat,extensive,0.008981826344839999
OSS,Poultry Meat,extensive,0.020915798905494484
PAK,Poultry Meat,extensive,0.2264790480026672
PAN,Poultry Meat,extensive,0.012176660969092062
PER,Poultry Meat,extensive,0.055189366019543704
PHL,Poultry Meat,extensive,0.11558698253813685
PLW,Poultry Meat,extensive,0.046576258074557474
PNG,Poultry Meat,extensive,0.359721707869411
POL,Poultry Meat,extensive,0.0086914419690846
PRE,Poultry Meat,extensive,0.3998499316280061
PRI,Poultry Meat,extensive,0.009837012168470103
PRT,Poultry Meat,extensive,0.0092871297325286
PRY,Poultry Meat,extensive,0.0471637958470497
PSE,Poultry Meat,extensive,0.20293501029992186
PSS,Poultry Meat,extensive,0.18981585997574923
PST,Poultry Meat,extensive,0.0046507562143760835
QAT,Poultry Meat,extensive,0.001435614487847362
ROU,Poultry Meat,extensive,0.010949117706427751
RUS,Poultry Meat,extensive,0.013046939480167292
RWA,Poultry Meat,extensive,0.5843374793952144
SAS,Poultry Meat,extensive,0.17200629326577857
SAU,Poultry Meat,extensive,0.005605789598001012
SDN,Poultry Meat,extensive,0.3570019306676155
SEN,Poultry Meat,extensive,0.3816089495577289
SGP,Poultry Meat,extensive,0.0011238577623067885
SLB,Poultry Meat,extensive,0.5516942593247324
SLE,Poultry Meat,extensive,0.7200608198530183
SLV,Poultry Meat,extensive,0.09548377279647563
SOM,Poultry Meat,extensive,0.8311097415492957
SRB,Poultry Meat,extensive,0.024336833885051395
SSA,Poultry Meat,extensive,0.3554227773123262
SSF,Poultry Meat,extensive,0.3551833650896469
SST,Poultry Meat,extensive,0.024857402574023617
STP,Poultry Meat,extensive,0.31953764824703224
SUR,Poultry Meat,extensive,0.041246158461355924
SVK,Poultry Meat,extensive,0.010274490027763213
SVN,Poultry Meat,extensive,0.006761993961318783
SWE,Poultry Meat,extensive,0.0039527304378275075
SWZ,Poultry Meat,extensive,0.09964132099445416
SYC,Poultry Meat,extensive,0.012391952220954083
TCA,Poultry Meat,extensive,0.02754702717533712
TCD,Poultry Meat,extensive,0.7640697049914051
TEA,Poultry Meat,extensive,0.0376328509247719
TEC,Poultry Meat,extensive,0.01701574043374993
TGO,Poultry Meat,extensive,0.607622799225523
THA,Poultry Meat,extensive,0.03183770583031396
TJK,Poultry Meat,extensive,0.33475782777714835
TLA,Poultry Meat,extensive,0.03697688403043552
TLS,Poultry Meat,extensive,0.2393295529173345
TMN,Poultry Meat,extensive,0.075016572685068
TON,Poultry Meat,extensive,0.17874044748447085
TSA,Poultry Meat,extensive,0.17200629326577857
TSS,Poultry Meat,extensive,0.3551833650896469
TTO,Poultry Meat,extensive,0.018558468695142598
TUN,Poultry Meat,extensive,0.076017578378683
TUR,Poultry Meat,extensive,0.010514327055014233
TUV,Poultry Meat,extensive,0.24673247386344227
TZA,Poultry Meat,extensive,0.519322680231283
UGA,Poultry Meat,extensive,0.5828440038709356
UKR,Poultry Meat,extensive,0.05202969961671088
UMC,Poultry Meat,extensive,0.028422503059167704
URY,Poultry Meat,extensive,0.018909011089212384
USA,Poultry Meat,extensive,0.002879834927073719
UZB,Poultry Meat,extensive,0.12446102355415119
VCT,Poultry Meat,extensive,0.04711901747618315
VNM,Poultry Meat,extensive,0.07322215183389957
VUT,Poultry Meat,extensive,0.48463953673936716
WLD,Poultry Meat,extensive,0.032106018158477814
WSM,Poultry Meat,extensive,0.20882591782032597
XKX,Poultry Meat,extensive,0.060388432477229546
ZAF,Poultry Meat,extensive,0.04953041644868399
ZMB,Poultry Meat,extensive,0.4156523626659446
ZWE,Poultry Meat,extensive,0.609628934615518
ABW,Pigmeat,extensive,0.010843361280131698
AFE,Pigmeat,extensive,0.779381620432218
AFG,Pigmeat,extensive,0.8715557647384607
AFW,Pigmeat,extensive,0.7424123952243304
AGO,Pigmeat,extensive,0.5762665820349914
ALB,Pigmeat,extensive,0.12903272364336077
ARB,Pigmeat,extensive,0.15263164893070488
ARE,Pigmeat,extensive,0.0023088471575537263
ARG,Pigmeat,extensive,0.049945061091025436
ARM,Pigmeat,extensive,0.13583550566097408
ATG,Pigmeat,extensive,0.06704393260828166
AUS,Pigmeat,extensive,0.00564516617837917
AUT,Pigmeat,extensive,0.004522823192676202
AZE,Pigmeat,extensive,0.13081137002451756
BDI,Pigmeat,extensive,0.8823603821847441
BEL,Pigmeat,extensive,0.0050952897359848115
BEN,Pigmeat,extensive,0.792676604224951
BFA,Pigmeat,extensive,0.8520222393941799
BGD,Pigmeat,extensive,0.5760457346130486
BGR,Pigmeat,extensive,0.0363691384876905
BHR,Pigmeat,extensive,0.005762926634444149
BHS,Pigmeat,extensive,0.020963371657510322
BIH,Pigmeat,extensive,0.1082697652875094
BLR,Pigmeat,extensive,0.0619136141292795
BLZ,Pigmeat,extensive,0.35009091911847334
BMU,Pigmeat,extensive,0.0015885927413876167
BOL,Pigmeat,extensive,0.3986274519540014
BRA,Pigmeat,extensive,0.12755912205648884
BRB,Pigmeat,extensive,0.1457183170568445
BRN,Pigmeat,extensive,0.0034218246996062874
BTN,Pigmeat,extensive,0.23685115198107254
BWA,Pigmeat,extensive,0.12272814862287934
CAF,Pigmeat,extensive,0.8814094403674403
CAN,Pigmeat,extensive,0.006250800079040664
CEB,Pigmeat,extensive,0.015600569085043602
CHE,Pigmeat,extensive,0.0021983924413388877
CHL,Pigmeat,extensive,0.03264849081326001
CHN,Pigmeat,extensive,0.08206945350389834
CIV,Pigmeat,extensive,0.6292460609864485
CMR,Pigmeat,extensive,0.7662924983319863
COD,Pigmeat,extensive,0.8789945755943424
COG,Pigmeat,extensive,0.7983140710054536
COL,Pigmeat,extensive,0.12644518458126927
COM,Pigmeat,extensive,0.7986873796391077
CPV,Pigmeat,extensive,0.5577552610523967
CRI,Pigmeat,extensive,0.05190639657131583
CSS,Pigmeat,extensive,0.10663329281710746
CUW,Pigmeat,extensive,0.054546870028322966
CYM,Pigmeat,extensive,0.00251733364321737
CYP,Pigmeat,extensive,0.009008406725856122
CZE,Pigmeat,extensive,0.009578942896024949
DEU,Pigmeat,extensive,0.004738026012489566
DJI,Pigmeat,extensive,0.6662843675460214
DMA,Pigmeat,extensive,0.23811720154797228
DNK,Pigmeat,extensive,0.003771206595269022
DOM,Pigmeat,extensive,0.07153210340042691
DZA,Pigmeat,extensive,0.23134106372301338
EAP,Pigmeat,extensive,0.113055225100926
EAR,Pigmeat,extensive,0.31380285881449244
EAS,Pigmeat,extensive,0.07199137192999865
ECA,Pigmeat,extensive,0.04336124958922208
ECS,Pigmeat,extensive,0.013784896943297214
ECU,Pigmeat,extensive,0.24722312282202058
EGY,Pigmeat,extensive,0.2107960548856127
EMU,Pigmeat,extensive,0.00682992351425504
ESP,Pigmeat,extensive,0.011574881586034588
EST,Pigmeat,extensive,0.010953181780152688
ETH,Pigmeat,extensive,0.8465315350934101
EUU,Pigmeat,extensive,0.007755466789970005
FCS,Pigmeat,extensive,0.714438906330281
FIN,Pigmeat,extensive,0.0059633032826375155
FJI,Pigmeat,extensive,0.26142345769966147
FRA,Pigmeat,extensive,0.007372395261454081
FSM,Pigmeat,extensive,0.7930911823066459
GAB,Pigmeat,extensive,0.1443384342099603
GBR,Pigmeat,extensive,0.0073786341814507566
GEO,Pigmeat,extensive,0.11122539924961071
GHA,Pigmeat,extensive,0.6192416717011452
GIN,Pigmeat,extensive,0.8319795903454799
GMB,Pigmeat,extensive,0.8557736075046024
GNB,Pigmeat,extensive,0.8636146134968244
GNQ,Pigmeat,extensive,0.12667363267722895
GRC,Pigmeat,extensive,0.022205621823603694
GRD,Pigmeat,extensive,0.14729671819440024
GTM,Pigmeat,extensive,0.3397014183153804
GUY,Pigmeat,extensive,0.04769554893499363
HIC,Pigmeat,extensive,0.005542092393309348
HKG,Pigmeat,extensive,0.0034443992329158224
HND,Pigmeat,extensive,0.6067927691212236
HPC,Pigmeat,extensive,0.8377788916888385
HRV,Pigmeat,extensive,0.01859208533411621
HTI,Pigmeat,extensive,0.8199723781437948
HUN,Pigmeat,extensive,0.015894880870294267
IBD,Pigmeat,extensive,0.1437879803443236
IBT,Pigmeat,extensive,0.22642482425138905
IDA,Pigmeat,extensive,0.7611766760166099
IDB,Pigmeat,extensive,0.654985678702551
IDN,Pigmeat,extensive,0.20032073489075655
IDX,Pigmeat,extensive,0.8037182875843867
IND,Pigmeat,extensive,0.5155379388040858
IRL,Pigmeat,extensive,0.0008293515644653337
IRN,Pigmeat,extensive,0.11967200791616688
IRQ,Pigmeat,extensive,0.337481619597185
ISL,Pigmeat,extensive,0.004643422394195998
ISR,Pigmeat,extensive,0.008806847847519794
ITA,Pigmeat,extensive,0.008880017378651522
JAM,Pigmeat,extensive,0.3003994734373978
JOR,Pigmeat,extensive,0.32169879416628294
JPN,Pigmeat,extensive,0.009552125288267984
KAZ,Pigmeat,extensive,0.0305670291454545
KEN,Pigmeat,extensive,0.6812821441628143
KGZ,Pigmeat,extensive,0.6749940165514127
KHM,Pigmeat,extensive,0.7146675927552204
KIR,Pigmeat,extensive,0.8604169289324839
KNA,Pigmeat,extensive,0.029465281308220796
KOR,Pigmeat,extensive,0.007711962389730723
LAC,Pigmeat,extensive,0.11805414201280265
LAO,Pigmeat,extensive,0.4137171205796671
LBN,Pigmeat,extensive,0.16556734771741616
LBR,Pigmeat,extensive,0.8734643573132497
LBY,Pigmeat,extensive,0.04747709722890284
LCA,Pigmeat,extensive,0.1636824436627259
LCN,Pigmeat,extensive,0.10653948945705377
LDC,Pigmeat,extensive,0.8091176322934519
LIC,Pigmeat,extensive,0.859791241936548
LKA,Pigmeat,extensive,0.15472322555442677
LMC,Pigmeat,extensive,0.46091263837966373
LMY,Pigmeat,extensive,0.24117755957188608
LSO,Pigmeat,extensive,0.8475062775132394
LTE,Pigmeat,extensive,0.07291726664233843
LTU,Pigmeat,extensive,0.010527472037356541
LUX,Pigmeat,extensive,0.0006010174043700905
LVA,Pigmeat,extensive,0.017926117338077217
MAC,Pigmeat,extensive,0.002805830343388015
MAR,Pigmeat,extensive,0.3981775119168223
MDA,Pigmeat,extensive,0.13987578188957353
MDG,Pigmeat,extensive,0.8726595819052138
MDV,Pigmeat,extensive,0.07024003201828825
MEA,Pigmeat,extensive,0.10647186924216516
MEX,Pigmeat,extensive,0.06737564059029541
MHL,Pigmeat,extensive,0.5714571485601381
MIC,Pigmeat,extensive,0.19915990945705003
MKD,Pigmeat,extensive,0.09627689457061551
MLI,Pigmeat,extensive,0.8542054366335754
MLT,Pigmeat,extensive,0.007519050909815036
MMR,Pigmeat,extensive,0.7409180312165468
MNA,Pigmeat,extensive,0.2585266661999821
MNE,Pigmeat,extensive,0.055748403386379895
MNG,Pigmeat,extensive,0.20705211136567372
MOZ,Pigmeat,extensive,0.8768784727341858
MRT,Pigmeat,extensive,0.6308333482044517
MUS,Pigmeat,extensive,0.05335241604600771
MWI,Pigmeat,extensive,0.8720909731021815
MYS,Pigmeat,extensive,0.029906862550096808
NAC,Pigmeat,extensive,0.003148645961112585
NAM,Pigmeat,extensive,0.32678138202387763
NER,Pigmeat,extensive,0.8774784589221898
NGA,Pigmeat,extensive,0.6654502606338614
NIC,Pigmeat,extensive,0.6007402831618012
NLD,Pigmeat,extensive,0.004013446405853477
NOR,Pigmeat,extensive,0.0027087612245361783
NPL,Pigmeat,extensive,0.7564786842187752
NRU,Pigmeat,extensive,0.1972444046538503
NZL,Pigmeat,extensive,0.008352104516513418
OED,Pigmeat,extensive,0.007444673584372356
OMN,Pigmeat,extensive,0.015058160357949366
OSS,Pigmeat,extensive,0.04972027994622986
PAK,Pigmeat,extensive,0.6376581597445036
PAN,Pigmeat,extensive,0.02323182473759399
PER,Pigmeat,extensive,0.17896579015384373
PHL,Pigmeat,extensive,0.395560505361365
PLW,Pigmeat,extensive,0.14499974745342045
PNG,Pigmeat,extensive,0.7679764608238877
POL,Pigmeat,extensive,0.014367205439582871
PRE,Pigmeat,extensive,0.7905717929869217
PRI,Pigmeat,extensive,0.017146245937335193
PRT,Pigmeat,extensive,0.015794632664915677
PRY,Pigmeat,extensive,0.14731106272198172
PSE,Pigmeat,extensive,0.6003472062155457
PSS,Pigmeat,extensive,0.5767929028077398
PST,Pigmeat,extensive,0.005859121869531822
QAT,Pigmeat,extensive,0.0010783597704524257
ROU,Pigmeat,extensive,0.019973964466115525
RUS,Pigmeat,extensive,0.025622236331814145
RWA,Pigmeat,extensive,0.8497500636245255
SAS,Pigmeat,extensive,0.5412129044533789
SAU,Pigmeat,extensive,0.007662886173838639
SDN,Pigmeat,extensive,0.7662480895007067
SEN,Pigmeat,extensive,0.7809378563059495
SGP,Pigmeat,extensive,0.0007577944080440125
SLB,Pigmeat,extensive,0.8428487153227578
SLE,Pigmeat,extensive,0.8693255818662061
SLV,Pigmeat,extensive,0.3299025115496112
SOM,Pigmeat,extensive,0.8781779953306443
SRB,Pigmeat,extensive,0.06129602994421202
SSA,Pigmeat,extensive,0.7652318798922163
SSF,Pigmeat,extensive,0.7650769921931108
SST,Pigmeat,extensive,0.06310339116980104
STP,Pigmeat,extensive,0.7393711170209862
SUR,Pigmeat,extensive,0.12414486128218172
SVK,Pigmeat,extensive,0.018243933629281575
SVN,Pigmeat,extensive,0.010029194920249774
SWE,Pigmeat,extensive,0.004637169932229885
SWZ,Pigmeat,extensive,0.3440883688559836
SYC,Pigmeat,extensive,0.023817132952978562
TCA,Pigmeat,extensive,0.07261059875943564
TCD,Pigmeat,extensive,0.8734201884501082
TEA,Pigmeat,extensive,0.11018486290184216
TEC,Pigmeat,extensive,0.03727064421377628
TGO,Pigmeat,extensive,0.8540540728430276
THA,Pigmeat,extensive,0.08828034711209826
TJK,Pigmeat,extensive,0.7510220978197821
TLA,Pigmeat,extensive,0.10767183453536423
TLS,Pigmeat,extensive,0.6556456197772014
TMN,Pigmeat,extensive,0.25582589575416737
TON,Pigmeat,extensive,0.5551821456435388
TSA,Pigmeat,extensive,0.5412129044533789
TSS,Pigmeat,extensive,0.7650769921931108
TTO,Pigmeat,extensive,0.0420890792869056
TUN,Pigmeat,extensive,0.25959722049137013
TUR,Pigmeat,extensive,0.01885387628530763
TUV,Pigmeat,extensive,0.6653261363398659
TZA,Pigmeat,extensive,0.8348316857095368
UGA,Pigmeat,extensive,0.8494573869274564
UKR,Pigmeat,extensive,0.16649790368927406
UMC,Pigmeat,extensive,0.07576142501135039
URY,Pigmeat,extensive,0.043204076731616685
USA,Pigmeat,extensive,0.0029396184790330946
UZB,Pigmeat,extensive,0.42216235506296673
VCT,Pigmeat,extensive,0.14713484806075477
VNM,Pigmeat,extensive,0.24903241914099886
VUT,Pigmeat,extensive,0.8246794141737138
WLD,Pigmeat,extensive,0.08927775896750718
WSM,Pigmeat,extensive,0.6102525973112852
XKX,Pigmeat,extensive,0.19941749870753522
ZAF,Pigmeat,extensive,0.15663578469068729
ZMB,Pigmeat,extensive,0.7981613698314981
ZWE,Pigmeat,extensive,0.8544031168735376
ABW,Poultry Meat,intensive,0.9928596329561934
AFE,Poultry Meat,intensive,0.6211689159628336
AFG,Poultry Meat,intensive,0.25712383257133686
AFW,Poultry Meat,intensive,0.676623034501634
AGO,Poultry Meat,intensive,0.810464169258808
ALB,Poultry Meat,intensive,0.9574987415527173
ARB,Poultry Meat,intensive,0.9514852187532179
ARE,Poultry Meat,intensive,0.9975648156324107
ARG,Poultry Meat,intensive,0.9790161421606097
ARM,Poultry Meat,intensive,0.9557585430556275
ATG,Poultry Meat,intensive,0.974018376510831
AUS,Poultry Meat,intensive,0.9954680263542568
AUT,Poultry Meat,intensive,0.9961152714243195
AZE,Poultry Meat,intensive,0.9570430637955769
BDI,Poultry Meat,intensive,0.07752731835423654
BEL,Poultry Meat,intensive,0.9957797374957478
BEN,Poultry Meat,intensive,0.595904126126408
BFA,Poultry Meat,intensive,0.40369129267658965
BGD,Poultry Meat,intensive,0.8105815104912342
