country_iso_code,fbs_item,system,proportion_est,proportion_obs,proportion
HTI,Poultry Meat,extensive,0.4704248751296503,,0.4704248751296503
HUN,Poultry Meat,extensive,0.00932836649941633,,0.00932836649941633
IBD,Poultry Meat,extensive,0.04626803950491026,,0.04626803950491026
IBT,Poultry Meat,extensive,0.0673225975503847,,0.0673225975503847
IDA,Poultry Meat,extensive,0.34926300164608676,,0.34926300164608676
IDB,Poultry Meat,extensive,0.2388379526941304,,0.2388379526941304
IDN,Poultry Meat,extensive,0.06061884176381938,0.24,0.24
IDX,Poultry Meat,extensive,0.4281573554128424,,0.4281573554128424
IND,Poultry Meat,extensive,0.16038733815180406,0.43,0.43
IRL,Poultry Meat,extensive,0.0011964818687974239,0.02,0.02
IRN,Poultry Meat,extensive,0.04009348766941562,0.07,0.07
IRQ,Poultry Meat,extensive,0.09769372262410647,0.1,0.1
ISL,Poultry Meat,extensive,0.003956434049537882,,0.003956434049537882
ISR,Poultry Meat,extensive,0.00617628957522209,,0.00617628957522209
ITA,Poultry Meat,extensive,0.006212001620652811,0.01,0.01
JAM,Poultry Meat,extensive,0.08710673443161566,,0.08710673443161566
JOR,Poultry Meat,extensive,0.09311961708076741,0.05,0.05
JPN,Poultry Meat,extensive,0.0065360681818980365,,0.0065360681818980365
KAZ,Poultry Meat,extensive,0.014780327386862527,,0.014780327386862527
KEN,Poultry Meat,extensive,0.25978782029075315,0.7000000000000001,0.7000000000000001
KGZ,Poultry Meat,extensive,0.25450781773959,,0.25450781773959
KHM,Poultry Meat,extensive,0.2913267519807198,0.65,0.65
KIR,Poultry Meat,extensive,0.647550886480924,,0.647550886480924
KNA,Poultry Meat,extensive,0.014401099255364497,,0.014401099255364497
KOR,Poultry Meat,extensive,0.005630763997355928,0.01,0.01
LAC,Poultry Meat,extensive,0.039675471874000105,,0.039675471874000105
LAO,Poultry Meat,extensive,0.12159062628735655,0.84,0.84
LBN,Poultry Meat,extensive,0.051793941617618425,0.05,0.05
LBR,Poultry Meat,extensive,0.7645991227536487,,0.7645991227536487
LBY,Poultry Meat,extensive,0.02023254901638268,,0.02023254901638268
LCA,Poultry Meat,extensive,0.05131637894334208,,0.05131637894334208
LCN,Poultry Meat,extensive,0.036680671526553424,,0.036680671526553424
LDC,Poultry Meat,extensive,0.44117465055792704,,0.44117465055792704
LIC,Poultry Meat,extensive,0.643275553885354,,0.643275553885354
LKA,Poultry Meat,extensive,0.049045397875785046,0.15,0.15
LMC,Poultry Meat,extensive,0.13835079055465985,,0.13835079055465985
LMY,Poultry Meat,extensive,0.07116053399521109,,0.07116053399521109
LSO,Poultry Meat,extensive,0.5731517271984605,0.99,0.99
LTE,Poultry Meat,extensive,0.02763255549127884,,0.02763255549127884
LTU,Poultry Meat,extensive,0.006994593129640351,,0.006994593129640351
LUX,Poultry Meat,extensive,0.0009568725114666351,,0.0009568725114666351
LVA,Poultry Meat,extensive,0.010148618248078882,0.1,0.1
