country_code,country,diet,output_group,type,attribute,value
2,Afghanistan,eat_lancet,Pig meat,t_animal,kg/cap/yr,0.0087138150172509
2,Afghanistan,eat_lancet,Poultry,t_animal,kg/cap/yr,11.99754542685357
2,Afghanistan,eat_lancet,Pulses and soy,plant,kg/cap/yr,31.70216790805406
2,Afghanistan,eat_lancet,Sheep and goat meat,t_animal,kg/cap/yr,4.746918542702242
2,Afghanistan,eat_lancet,Starchy roots,plant,kg/cap/yr,23.810209680318643
2,Afghanistan,eat_lancet,Sugars,plant,kg/cap/yr,11.315
2,Afghanistan,eat_lancet,Vegetable oils,plant,kg/cap/yr,18.906999999999996
2,Afghanistan,eat_lancet,Vegetables,plant,kg/cap/yr,133.8980234119817
2,Afghanistan,high_income,Aquatic animals,a_animal,kg/cap/yr,4.299481132075472
2,Afghanistan,high_income,Bovine meat,t_animal,kg/cap/yr,14.908531589887088
2,Afghanistan,high_income,Dairy,t_animal,kg/cap/yr,145.88781627903344
2,Afghanistan,high_income,Eggs,t_animal,kg/cap/yr,11.887445059479193
2,Afghanistan,high_income,Fruits,plant,kg/cap/yr,86.60321898268154
2,Afghanistan,high_income,Grains,plant,kg/cap/yr,134.69652992861745
2,Afghanistan,high_income,Nuts and seeds,plant,kg/cap/yr,7.709022895553837
2,Afghanistan,high_income,Offals,t_animal,kg/cap/yr,3.712811919225196
2,Afghanistan,high_income,Pig meat,t_animal,kg/cap/yr,29.03076890954447
2,Afghanistan,high_income,Poultry,t_animal,kg/cap/yr,30.837684499504597
2,Afghanistan,high_income,Pulses and soy,plant,kg/cap/yr,5.777193867889983
2,Afghanistan,high_income,Sheep and goat meat,t_animal,kg/cap/yr,3.0456844602438884
2,Afghanistan,high_income,Starchy roots,plant,kg/cap/yr,51.69666344708082
2,Afghanistan,high_income,Sugars,plant,kg/cap/yr,60.39238440493954
2,Afghanistan,high_income,Vegetable oils,plant,kg/cap/yr,14.731992509083248
2,Afghanistan,high_income,Vegetables,plant,kg/cap/yr,114.14570058323407
3,Albania,baseline,Aquatic animals,a_animal,kg/cap/yr,8.7025
3,Albania,baseline,Bovine meat,t_animal,kg/cap/yr,13.5375
3,Albania,baseline,Dairy,t_animal,kg/cap/yr,347.0488646610022
3,Albania,baseline,Eggs,t_animal,kg/cap/yr,18.00940610369343
3,Albania,baseline,Fruits,plant,kg/cap/yr,189.75602479625456
3,Albania,baseline,Grains,plant,kg/cap/yr,171.62845760360676
3,Albania,baseline,Nuts and seeds,plant,kg/cap/yr,4.854300762961678
3,Albania,baseline,Offals,t_animal,kg/cap/yr,5.381800762961679
3,Albania,baseline,Pig meat,t_animal,kg/cap/yr,6.395
3,Albania,baseline,Poultry,t_animal,kg/cap/yr,11.545
3,Albania,baseline,Pulses and soy,plant,kg/cap/yr,7.8543055314721695
3,Albania,baseline,Sheep and goat meat,t_animal,kg/cap/yr,9.45
3,Albania,baseline,Starchy roots,plant,kg/cap/yr,53.21921449627189
3,Albania,baseline,Sugars,plant,kg/cap/yr,37.14690133518293
3,Albania,baseline,Vegetable oils,plant,kg/cap/yr,11.16
3,Albania,baseline,Vegetables,plant,kg/cap/yr,352.9904881220739
3,Albania,eat_lancet,Aquatic animals,a_animal,kg/cap/yr,11.450712862143396
3,Albania,eat_lancet,Bovine meat,t_animal,kg/cap/yr,3.5448939533197024
3,Albania,eat_lancet,Dairy,t_animal,kg/cap/yr,93.28037367756032
3,Albania,eat_lancet,Eggs,t_animal,kg/cap/yr,4.8661675725566615
3,Albania,eat_lancet,Fruits,plant,kg/cap/yr,81.52400388117957
3,Albania,eat_lancet,Grains,plant,kg/cap/yr,119.87437143150707
3,Albania,eat_lancet,Nuts and seeds,plant,kg/cap/yr,19.568832067898
3,Albania,eat_lancet,Pig meat,t_animal,kg/cap/yr,1.731678774094158
3,Albania,eat_lancet,Poultry,t_animal,kg/cap/yr,11.638825847539628
3,Albania,eat_lancet,Pulses and soy,plant,kg/cap/yr,29.37922428411785
3,Albania,eat_lancet,Sheep and goat meat,t_animal,kg/cap/yr,2.474552011735636
3,Albania,eat_lancet,Starchy roots,plant,kg/cap/yr,23.368425810281124
3,Albania,eat_lancet,Sugars,plant,kg/cap/yr,11.315
3,Albania,eat_lancet,Vegetable oils,plant,kg/cap/yr,14.599999999999998
3,Albania,eat_lancet,Vegetables,plant,kg/cap/yr,122.98237491928889
3,Albania,high_income,Aquatic animals,a_animal,kg/cap/yr,29.5025
3,Albania,high_income,Bovine meat,t_animal,kg/cap/yr,14.908531589887088
3,Albania,high_income,Dairy,t_animal,kg/cap/yr,145.88781627903344
3,Albania,high_income,Eggs,t_animal,kg/cap/yr,11.887445059479193
3,Albania,high_income,Fruits,plant,kg/cap/yr,86.60321898268154
3,Albania,high_income,Grains,plant,kg/cap/yr,134.69652992861745
3,Albania,high_income,Nuts and seeds,plant,kg/cap/yr,7.709022895553837
3,Albania,high_income,Offals,t_animal,kg/cap/yr,3.712811919225196
3,Albania,high_income,Pig meat,t_animal,kg/cap/yr,29.03076890954447
3,Albania,high_income,Poultry,t_animal,kg/cap/yr,30.837684499504597
3,Albania,high_income,Pulses and soy,plant,kg/cap/yr,5.777193867889983
3,Albania,high_income,Sheep and goat meat,t_animal,kg/cap/yr,3.0456844602438884
3,Albania,high_income,Starchy roots,plant,kg/cap/yr,51.486629284419436
3,Albania,high_income,Sugars,plant,kg/cap/yr,57.79262580450577
3,Albania,high_income,Vegetable oils,plant,kg/cap/yr,14.655742509083248
3,Albania,high_income,Vegetables,plant,kg/cap/yr,114.14570058323407
4,Algeria,baseline,Aquatic animals,a_animal,kg/cap/yr,3.812500000000001
4,Algeria,baseline,Bovine meat,t_animal,kg/cap/yr,4.7475
4,Algeria,baseline,Dairy,t_animal,kg/cap/yr,83.87154436344717
4,Algeria,baseline,Eggs,t_animal,kg/cap/yr,7.657286719371371
4,Algeria,baseline,Fruits,plant,kg/cap/yr,112.95866033572338
4,Algeria,baseline,Grains,plant,kg/cap/yr,236.21972824884432
4,Algeria,baseline,Nuts and seeds,plant,kg/cap/yr,2.2651419827653223
4,Algeria,baseline,Offals,t_animal,kg/cap/yr,1.6821022030725803
4,Algeria,baseline,Pig meat,t_animal,kg/cap/yr,0.0075
4,Algeria,baseline,Poultry,t_animal,kg/cap/yr,6.9
4,Algeria,baseline,Pulses and soy,plant,kg/cap/yr,7.306562423379838
4,Algeria,baseline,Sheep and goat meat,t_animal,kg/cap/yr,7.8475
4,Algeria,baseline,Starchy roots,plant,kg/cap/yr,100.10378760741771
4,Algeria,baseline,Sugars,plant,kg/cap/yr,30.215000000000003
4,Algeria,baseline,Vegetable oils,plant,kg/cap/yr,22.43
4,Algeria,baseline,Vegetables,plant,kg/cap/yr,213.75008841592862
4,Algeria,eat_lancet,Aquatic animals,a_animal,kg/cap/yr,11.883944221323047
4,Algeria,eat_lancet,Bovine meat,t_animal,kg/cap/yr,2.915645373420422
4,Algeria,eat_lancet,Dairy,t_animal,kg/cap/yr,107.13740287141545
4,Algeria,eat_lancet,Eggs,t_animal,kg/cap/yr,5.482152099970423
4,Algeria,eat_lancet,Fruits,plant,kg/cap/yr,99.10528804935701
4,Algeria,eat_lancet,Grains,plant,kg/cap/yr,123.07540937970914
4,Algeria,eat_lancet,Nuts and seeds,plant,kg/cap/yr,21.099664204191907
4,Algeria,eat_lancet,Pig meat,t_animal,kg/cap/yr,0.0047631361644446
4,Algeria,eat_lancet,Poultry,t_animal,kg/cap/yr,11.7519542243925
4,Algeria,eat_lancet,Pulses and soy,plant,kg/cap/yr,30.92080752746018
4,Algeria,eat_lancet,Sheep and goat meat,t_animal,kg/cap/yr,4.819489640424806
4,Algeria,eat_lancet,Starchy roots,plant,kg/cap/yr,21.48374823087893
4,Algeria,eat_lancet,Sugars,plant,kg/cap/yr,11.315
4,Algeria,eat_lancet,Vegetable oils,plant,kg/cap/yr,18.907000000000004
4,Algeria,eat_lancet,Vegetables,plant,kg/cap/yr,149.27926836035923
4,Algeria,high_income,Aquatic animals,a_animal,kg/cap/yr,29.5025
4,Algeria,high_income,Bovine meat,t_animal,kg/cap/yr,14.908531589887088
4,Algeria,high_income,Dairy,t_animal,kg/cap/yr,145.88781627903344
4,Algeria,high_income,Eggs,t_animal,kg/cap/yr,11.887445059479193
4,Algeria,high_income,Fruits,plant,kg/cap/yr,86.60321898268154
4,Algeria,high_income,Grains,plant,kg/cap/yr,134.69652992861745
4,Algeria,high_income,Nuts and seeds,plant,kg/cap/yr,7.709022895553837
4,Algeria,high_income,Offals,t_animal,kg/cap/yr,3.712811919225196
4,Algeria,high_income,Pig meat,t_animal,kg/cap/yr,29.03076890954447
4,Algeria,high_income,Poultry,t_animal,kg/cap/yr,30.837684499504597
4,Algeria,high_income,Pulses and soy,plant,kg/cap/yr,5.777193867889983
4,Algeria,high_income,Sheep and goat meat,t_animal,kg/cap/yr,3.0456844602438884
4,Algeria,high_income,Starchy roots,plant,kg/cap/yr,51.69666344708082
4,Algeria,high_income,Sugars,plant,kg/cap/yr,60.378384404939546
4,Algeria,high_income,Vegetable oils,plant,kg/cap/yr,14.655742509083248
4,Algeria,high_income,Vegetables,plant,kg/cap/yr,114.14570058323407
7,Angola,baseline,Aquatic animals,a_animal,kg/cap/yr,19.555
7,Angola,baseline,Bovine meat,t_animal,kg/cap/yr,4.0875
7,Angola,baseline,Dairy,t_animal,kg/cap/yr,7.680565609180998
7,Angola,baseline,Eggs,t_animal,kg/cap/yr,0.0875
7,Angola,baseline,Fruits,plant,kg/cap/yr,106.29079525780335
7,Angola,baseline,Grains,plant,kg/cap/yr,112.21793592428315
7,Angola,baseline,Nuts and seeds,plant,kg/cap/yr,4.298232682572922
7,Angola,baseline,Offals,t_animal,kg/cap/yr,1.9274443088693587
7,Angola,baseline,Pig meat,t_animal,kg/cap/yr,7.83
7,Angola,baseline,Poultry,t_animal,kg/cap/yr,10.5125
7,Angola,baseline,Pulses and soy,plant,kg/cap/yr,9.003599023859381
7,Angola,baseline,Sheep and goat meat,t_animal,kg/cap/yr,0.81
7,Angola,baseline,Starchy roots,plant,kg/cap/yr,318.07585828647746
7,Angola,baseline,Sugars,plant,kg/cap/yr,21.898264877075533
7,Angola,baseline,Vegetable oils,plant,kg/cap/yr,11.559999999999999
7,Angola,baseline,Vegetables,plant,kg/cap/yr,28.93432865599288
7,Angola,eat_lancet,Aquatic animals,a_animal,kg/cap/yr,12.747328693390205
7,Angola,eat_lancet,Bovine meat,t_animal,kg/cap/yr,2.546098817120064
7,Angola,eat_lancet,Dairy,t_animal,kg/cap/yr,111.17309934538976
7,Angola,eat_lancet,Eggs,t_animal,kg/cap/yr,4.896649226546134
7,Angola,eat_lancet,Fruits,plant,kg/cap/yr,96.73779800859444
7,Angola,eat_lancet,Grains,plant,kg/cap/yr,107.5131978917028
7,Angola,eat_lancet,Nuts and seeds,plant,kg/cap/yr,21.995957762669615
7,Angola,eat_lancet,Pig meat,t_animal,kg/cap/yr,5.0436072268367615
7,Angola,eat_lancet,Poultry,t_animal,kg/cap/yr,11.991990282041549
7,Angola,eat_lancet,Pulses and soy,plant,kg/cap/yr,32.688473496859494
7,Angola,eat_lancet,Sheep and goat meat,t_animal,kg/cap/yr,0.5045480224751686
7,Angola,eat_lancet,Starchy roots,plant,kg/cap/yr,24.956552334368475
7,Angola,eat_lancet,Sugars,plant,kg/cap/yr,11.315
7,Angola,eat_lancet,Vegetable oils,plant,kg/cap/yr,18.907
7,Angola,eat_lancet,Vegetables,plant,kg/cap/yr,143.84961113878146
7,Angola,high_income,Aquatic animals,a_animal,kg/cap/yr,29.5025
7,Angola,high_income,Bovine meat,t_animal,kg/cap/yr,14.908531589887088
7,Angola,high_income,Dairy,t_animal,kg/cap/yr,145.88781627903344
7,Angola,high_income,Eggs,t_animal,kg/cap/yr,11.887445059479193
7,Angola,high_income,Fruits,plant,kg/cap/yr,86.60321898268154
7,Angola,high_income,Grains,plant,kg/cap/yr,134.69652992861745
7,Angola,high_income,Nuts and seeds,plant,kg/cap/yr,7.709022895553837
7,Angola,high_income,Offals,t_animal,kg/cap/yr,3.712811919225196
