country_code,country,diet,kg/cap/yr,kcal/cap/day,g_pro/cap/day,loss_adj_kg/cap/yr,loss_adj_g_pro/cap/day,loss_adj_kcal/cap/day
1,Armenia,baseline,998.838230642015,3119.5505100791725,101.51733835656151,784.4665589538714,77.54358023172875,2429.64351743289
1,Armenia,eat_lancet,553.1952841717992,2625.779153453567,0.0,501.4203703333894,0.0,2407.0
1,Armenia,high_income,741.6799065729032,3120.693808395011,101.69523614231477,597.7199495636355,80.81801085537485,2574.2691521789475
2,Afghanistan,baseline,413.1459219295678,2440.3285260612215,62.756397903963354,342.8345873455843,53.05778952510021,2111.5842115446835
2,Afghanistan,eat_lancet,588.1747937556231,2819.5637891322667,0.0,498.2386218216735,0.0,2503.0
2,Afghanistan,high_income,719.3629304680738,3076.8271542220077,94.49237917860519,580.0315213827472,74.95599778318652,2539.3857820743256
3,Albania,baseline,1248.679764175481,3548.029364858101,125.72940554001707,989.3128368952794,99.27998448861824,2796.297593189416
3,Albania,eat_lancet,551.599437093222,2624.864478945065,0.0,500.0617073737593,0.0,2407.0
3,Albania,high_income,741.6799065729032,3120.693808395011,101.69523614231477,597.7199495636355,80.81801085537485,2574.2691521789475
4,Algeria,baseline,841.7749022999503,3714.807571262798,98.05061528790414,640.6051559609307,76.06220839758191,3025.801007269749
4,Algeria,eat_lancet,619.1815373190675,2846.5148523981043,0.0,505.8730598381191,0.0,2503.0
4,Algeria,high_income,744.4756993359983,3123.6908334672908,101.71412446162405,600.4589801956691,80.83446217447658,2577.1333993209887
7,Angola,baseline,664.7695246261151,2653.9399540236377,57.10386099461799,513.14444608347,47.28183734063604,2202.8066207321513
7,Angola,eat_lancet,606.8669122467759,2853.581255707584,0.0,496.53344338681467,0.0,2503.0
7,Angola,high_income,744.5659493359984,3125.765833467291,101.71412446162405,600.5492301956691,80.83446217447658,2579.208399320989
8,Antigua and Barbuda,baseline,545.705,2180.5,77.11,446.7272241914734,64.12541996067006,1866.743136032442
8,Antigua and Barbuda,eat_lancet,590.7383522477049,2671.903550759979,0.0,503.5984341385067,0.0,2407.0
8,Antigua and Barbuda,high_income,545.705,2180.5,77.11,446.7272241914734,64.12541996067006,1866.743136032442
9,Argentina,baseline,779.6631394440134,3433.6140565302144,114.71531662384704,622.5182725376823,92.83561329575572,2875.8622899151737
9,Argentina,eat_lancet,599.9078270480264,2758.788663764077,0.0,490.751364499879,0.0,2407.0
9,Argentina,high_income,744.265665173337,3123.197014025624,101.70524196368322,600.3057081640693,80.82801667674332,2576.77235780956
10,Australia,baseline,875.9714577459094,3403.007400358979,111.11078372387881,703.586132443018,85.58308851275542,2805.7283265534566
10,Australia,eat_lancet,553.0368475185329,2707.635057057167,0.0,503.97960760246366,0.0,2503.0
10,Australia,high_income,875.9714577459094,3403.007400358979,111.11078372387881,703.586132443018,85.58308851275542,2805.7283265534566
11,Austria,baseline,814.1248314884365,3453.108849132143,112.57563928465767,660.9321958170847,89.32279804826925,2861.6812884759684
11,Austria,eat_lancet,536.0464546742847,2607.0599516706616,0.0,494.30887333440813,0.0,2407.0
11,Austria,high_income,814.1248314884365,3453.108849132143,112.57563928465767,660.9321958170847,89.32279804826925,2861.6812884759684
12,Bahamas,baseline,588.8927687296417,2400.7854525721314,77.70543139835466,478.28106019123805,64.60171684575417,2071.9247333791686
12,Bahamas,eat_lancet,586.5298513208392,2768.8610224652903,0.0,496.98587773741224,0.0,2503.0
12,Bahamas,high_income,588.8927687296417,2400.7854525721314,77.70543139835466,478.28106019123805,64.60171684575417,2071.9247333791686
14,Barbados,baseline,550.5108115183245,2805.2023390545323,85.55930086561418,463.688357680752,71.27591001189239,2447.7079374205496
14,Barbados,eat_lancet,582.3282085370644,2766.7190435747425,0.0,500.24102431880414,0.0,2503.0
14,Barbados,high_income,550.5108115183245,2805.2023390545323,85.55930086561418,463.688357680752,71.27591001189239,2447.7079374205496
16,Bangladesh,baseline,506.99428340873874,2664.579942130095,61.990531246084466,426.60280278602403,53.019096533578406,2344.4356303160052
16,Bangladesh,eat_lancet,575.068036691431,2808.625017304272,0.0,485.6909310760354,0.0,2503.0
16,Bangladesh,high_income,744.5659493359984,3125.765833467291,101.71412446162405,600.5492301956691,80.83446217447658,2579.208399320989
19,Bolivia (Plurinational State of),baseline,677.057240192056,2474.030203961004,80.20183336155239,552.6184039028551,65.1672029717536,2049.1187081172448
19,Bolivia (Plurinational State of),eat_lancet,605.8929018703001,2823.651391203955,0.0,499.59473688780656,0.0,2503.0
19,Bolivia (Plurinational State of),high_income,744.5659493359984,3125.765833467291,101.71412446162405,600.5492301956691,80.83446217447658,2579.208399320989
20,Botswana,baseline,490.9541751653031,2483.0329989325433,66.08153904106958,415.98029209209244,57.25676295814067,2234.2840025836276
20,Botswana,eat_lancet,583.405767134081,2768.3723693300967,0.0,491.5715146510911,0.0,2503.0
20,Botswana,high_income,744.4756993359983,3123.6908334672908,101.71412446162405,600.4589801956691,80.83446217447658,2577.1333993209887
21,Brazil,baseline,1195.6992662453447,3905.623676979896,104.44404030019588,1039.275060104955,85.46094239608354,3362.1330803598507
21,Brazil,eat_lancet,602.1677960797109,2830.712731073487,0.0,495.1446680416526,0.0,2503.0
21,Brazil,high_income,744.5659493359984,3125.765833467291,101.71412446162405,600.5492301956691,80.83446217447658,2579.208399320989
23,Belize,baseline,784.5604268292683,2856.126166667447,74.64025889261713,679.7347993851474,61.52305850533899,2475.547568791667
23,Belize,eat_lancet,580.3515372510021,2685.1199448441444,0.0,492.1783585038255,0.0,2407.0
