country_code,country,diet,type,output_group,origin,kg/cap/yr_by_coo,loss_adj_kcal/cap/day_by_coo
1,Armenia,baseline,a_animal,Aquatic animals,domestic,4.7920095291479825,6.840967605354324
1,Armenia,baseline,a_animal,Aquatic animals,imported,1.2029904708520174,1.7671005853252097
1,Armenia,baseline,plant,Fruits,domestic,103.08998111432105,96.66248594993327
1,Armenia,baseline,plant,Fruits,imported,20.61991605300996,18.99332104226484
1,Armenia,baseline,plant,Grains,domestic,65.09455241466391,347.77915028416027
1,Armenia,baseline,plant,Grains,imported,95.56545224991076,516.845960018353
1,Armenia,baseline,plant,Nuts and seeds,domestic,1.0325000000000002,8.101643814
1,Armenia,baseline,plant,Nuts and seeds,imported,1.3675000000000004,13.711711266000002
1,Armenia,baseline,plant,Pulses and soy,domestic,1.3256009615384614,11.037059806286983
1,Armenia,baseline,plant,Pulses and soy,imported,0.9843990384615384,8.263606278328401
1,Armenia,baseline,plant,Starchy roots,domestic,56.74984464401813,71.47097755753943
1,Armenia,baseline,plant,Starchy roots,imported,0.500979501516586,0.6309355547011771
1,Armenia,baseline,plant,Sugars,domestic,21.976839534523894,70.9162360513471
1,Armenia,baseline,plant,Sugars,imported,33.845696297890655,249.63589647008175
1,Armenia,baseline,plant,Vegetable oils,domestic,0.4593014705882361,11.073529411764726
1,Armenia,baseline,plant,Vegetable oils,imported,9.288198529411764,215.17647058823528
1,Armenia,baseline,plant,Vegetables,domestic,281.77711820563616,121.51396184303076
1,Armenia,baseline,plant,Vegetables,imported,9.278383448167524,6.263173772230204
1,Armenia,baseline,t_animal,Bovine meat,domestic,21.689534972194295,105.33536686554267
1,Armenia,baseline,t_animal,Bovine meat,imported,1.3145172710420774,6.383961628214702
1,Armenia,baseline,t_animal,Dairy,domestic,217.19255249818974,339.99303781034587
1,Armenia,baseline,t_animal,Dairy,imported,5.412447501810279,32.22517473246097
1,Armenia,baseline,t_animal,Eggs,domestic,11.778208401669453,40.348015394636576
1,Armenia,baseline,t_animal,Eggs,imported,0.08353339291964079,0.28615613755061153
1,Armenia,baseline,t_animal,Offals,domestic,5.676622301265107,13.66655954214639
1,Armenia,baseline,t_animal,Offals,imported,0.7776194933239867,1.872131444129641
1,Armenia,baseline,t_animal,Pig meat,domestic,4.615274250642048,32.34684221351303
1,Armenia,baseline,t_animal,Pig meat,imported,3.0520361980052244,21.390653721839254
1,Armenia,baseline,t_animal,Poultry,domestic,3.902236451530828,10.626247460468797
1,Armenia,baseline,t_animal,Poultry,imported,11.367384445763717,30.95472086310476
1,Armenia,baseline,t_animal,Sheep and goat meat,domestic,3.025,17.530461719999998
2,Afghanistan,baseline,a_animal,Aquatic animals,domestic,0.24,0.0
2,Afghanistan,baseline,plant,Fruits,domestic,30.025615311558497,37.12063771773315
2,Afghanistan,baseline,plant,Fruits,imported,9.464262899111853,10.142111082113217
2,Afghanistan,baseline,plant,Grains,domestic,119.0721006855126,875.3036787026007
2,Afghanistan,baseline,plant,Grains,imported,83.46823745177103,615.274181695259
2,Afghanistan,baseline,plant,Nuts and seeds,domestic,1.1970321607046508,10.801332301605193
2,Afghanistan,baseline,plant,Nuts and seeds,imported,1.3981597476912566,12.495643775808537
2,Afghanistan,baseline,plant,Pulses and soy,domestic,1.0001665974552905,8.12307050745976
2,Afghanistan,baseline,plant,Pulses and soy,imported,1.840410165903072,15.754834817447378
2,Afghanistan,baseline,plant,Starchy roots,domestic,15.822000624940026,23.81837217416129
2,Afghanistan,baseline,plant,Starchy roots,imported,6.823881530778756,10.21618977571969
2,Afghanistan,baseline,plant,Sugars,domestic,0.0822896944456638,0.0395241356832746
2,Afghanistan,baseline,plant,Sugars,imported,15.108556363569354,141.25104931333675
2,Afghanistan,baseline,plant,Vegetable oils,domestic,0.22741349573257497,5.315071123755342
2,Afghanistan,baseline,plant,Vegetable oils,imported,6.502586504267424,157.43492887624464
2,Afghanistan,baseline,plant,Vegetables,domestic,60.25885170622488,26.32505982793056
2,Afghanistan,baseline,plant,Vegetables,imported,7.655092678463284,3.767616705854828
2,Afghanistan,baseline,t_animal,Bovine meat,domestic,2.6554915048543695,13.375594325379158
2,Afghanistan,baseline,t_animal,Bovine meat,imported,0.1570084951456311,0.7908449086985105
2,Afghanistan,baseline,t_animal,Dairy,domestic,40.08478922024806,103.64031081716278
2,Afghanistan,baseline,t_animal,Dairy,imported,1.0425910667635814,2.5094392656231426
2,Afghanistan,baseline,t_animal,Eggs,domestic,0.5553571331220076,2.0806303721896735
2,Afghanistan,baseline,t_animal,Eggs,imported,1.0519117462663907,3.9409587049710275
2,Afghanistan,baseline,t_animal,Offals,domestic,1.3196968065671983,3.313564523848373
2,Afghanistan,baseline,t_animal,Offals,imported,0.12991833847034584,0.32620583395398467
2,Afghanistan,baseline,t_animal,Pig meat,imported,0.0075,0.0
2,Afghanistan,baseline,t_animal,Poultry,domestic,0.8068774703557312,2.3701860020134666
2,Afghanistan,baseline,t_animal,Poultry,imported,0.9231225296442688,2.7116534768798135
2,Afghanistan,baseline,t_animal,Sheep and goat meat,domestic,4.225,22.62021516
3,Albania,baseline,a_animal,Aquatic animals,domestic,2.257516171999463,1.899226052511949
3,Albania,baseline,a_animal,Aquatic animals,imported,6.444983828000538,9.949472984347153
