item_index,item,footprint,footprint_type,edible_fraction,median
SUR,"Poultry Meat, extensive",11.023585708031401,mg_abx_bko,0.92,10.738713195954107
KEN,"Poultry Meat, extensive",3.6386620289855074,mg_abx_bko,0.92,10.738713195954107
Iraq,"Poultry Meat, extensive",10.7102246528525,kg_co2e_bko,0.92,10.245048139642776
CHL,"Poultry Meat, extensive",6.633063673007246,mg_abx_bko,0.92,10.738713195954107
SLV,"Poultry Meat, extensive",11.009028212560386,mg_abx_bko,0.92,10.738713195954107
SDN,"Poultry Meat, extensive",3.5576079740338162,mg_abx_bko,0.92,10.738713195954107
Mauritania,"Poultry Meat, extensive",24.76571310486752,kg_co2e_bko,0.92,10.245048139642776
KWT,"Poultry Meat, extensive",8.191683073671497,mg_abx_bko,0.92,10.738713195954107
SEN,"Poultry Meat, extensive",3.5316465277777773,mg_abx_bko,0.92,10.738713195954107
Mali,"Poultry Meat, extensive",26.003706138526848,kg_co2e_bko,0.92,10.245048139642776
BWA,"Poultry Meat, extensive",3.4284113526570046,mg_abx_bko,0.92,10.738713195954107
KOR,"Poultry Meat, extensive",24.627457703804346,mg_abx_bko,0.92,10.738713195954107
SGP,"Poultry Meat, extensive",19.406106971618357,mg_abx_bko,0.92,10.738713195954107
Malaysia,"Poultry Meat, extensive",12.457573776725644,kg_co2e_bko,0.92,10.245048139642776
Malawi,"Poultry Meat, extensive",7.038529577342484,kg_co2e_bko,0.92,10.245048139642776
CAF,"Poultry Meat, extensive",3.6025866455314,mg_abx_bko,0.92,10.738713195954107
Lebanon,"Poultry Meat, extensive",8.333058353591403,kg_co2e_bko,0.92,10.245048139642776
SHN,"Poultry Meat, extensive",3.5576079740338162,mg_abx_bko,0.92,10.738713195954107
KNA,"Poultry Meat, extensive",11.22083290307971,mg_abx_bko,0.92,10.738713195954107
CAN,"Poultry Meat, extensive",8.146370976751207,mg_abx_bko,0.92,10.738713195954107
SLB,"Poultry Meat, extensive",19.406106971618357,mg_abx_bko,0.92,10.738713195954107
Lithuania,"Poultry Meat, extensive",6.997735766419694,kg_co2e_bko,0.92,10.245048139642776
Liechtenstein,"Poultry Meat, extensive",4.9842040120974636,kg_co2e_bko,0.92,10.245048139642776
KIR,"Poultry Meat, extensive",19.406106971618357,mg_abx_bko,0.92,10.738713195954107
Libya,"Poultry Meat, extensive",8.426161812088676,kg_co2e_bko,0.92,10.245048139642776
SLE,"Poultry Meat, extensive",3.457588435990338,mg_abx_bko,0.92,10.738713195954107
Liberia,"Poultry Meat, extensive",24.70832206282348,kg_co2e_bko,0.92,10.245048139642776
CHE,"Poultry Meat, extensive",3.337560043780193,mg_abx_bko,0.92,10.738713195954107
Lesotho,"Poultry Meat, extensive",11.70170301091257,kg_co2e_bko,0.92,10.245048139642776
Madagascar,"Poultry Meat, extensive",8.370112415158683,kg_co2e_bko,0.92,10.245048139642776
Mexico,"Poultry Meat, extensive",11.353390968062095,kg_co2e_bko,0.92,10.245048139642776
JOR,"Poultry Meat, extensive",8.191683073671497,mg_abx_bko,0.92,10.738713195954107
SVK,"Poultry Meat, extensive",2.8401748445048307,mg_abx_bko,0.92,10.738713195954107
CUB,"Poultry Meat, extensive",10.801626260567632,mg_abx_bko,0.92,10.738713195954107
Ghana,"Poultry Meat, extensive",22.949652858307612,kg_co2e_bko,0.92,10.245048139642776
IRQ,"Poultry Meat, extensive",8.191683073671497,mg_abx_bko,0.92,10.738713195954107
TGO,"Poultry Meat, extensive",3.4588974214975843,mg_abx_bko,0.92,10.738713195954107
CYP,"Poultry Meat, extensive",30.775287980072463,mg_abx_bko,0.92,10.738713195954107
Georgia,"Poultry Meat, extensive",11.770397608053282,kg_co2e_bko,0.92,10.245048139642776
IRN,"Poultry Meat, extensive",19.406106971618357,mg_abx_bko,0.92,10.738713195954107
THA,"Poultry Meat, extensive",60.221856728562805,mg_abx_bko,0.92,10.738713195954107
Gambia,"Poultry Meat, extensive",25.353684010781638,kg_co2e_bko,0.92,10.245048139642776
CZE,"Poultry Meat, extensive",3.908443756038647,mg_abx_bko,0.92,10.738713195954107
Gabon,"Poultry Meat, extensive",11.869861169235156,kg_co2e_bko,0.92,10.245048139642776
TCD,"Poultry Meat, extensive",3.6418972629830915,mg_abx_bko,0.92,10.738713195954107
TJK,"Poultry Meat, extensive",12.331327346014492,mg_abx_bko,0.92,10.738713195954107
IRL,"Poultry Meat, extensive",3.034894791666666,mg_abx_bko,0.92,10.738713195954107
TKL,"Poultry Meat, extensive",19.406106971618357,mg_abx_bko,0.92,10.738713195954107
