country_code,country,fbs_item_code,fbs_item,mt_production
2,Afghanistan,2605,"Vegetables, Other",2106250.0
2,Afghanistan,2611,"Oranges, Mandarines",4500.0
2,Afghanistan,2612,"Lemons, Limes and products",0.0
2,Afghanistan,2613,Grapefruit and products,0.0
2,Afghanistan,2614,"Citrus, Other",23500.0
2,Afghanistan,2615,Bananas,0.0
2,Afghanistan,2616,Plantains,0.0
2,Afghanistan,2617,Apples and products,195750.0
2,Afghanistan,2618,Pineapples and products,0.0
2,Afghanistan,2619,Dates,0.0
2,Afghanistan,2620,Grapes and products (excl wine),978750.0
2,Afghanistan,2625,"Fruits, Other",325500.0
2,Afghanistan,2630,Coffee and products,0.0
2,Afghanistan,2633,Cocoa Beans and products,0.0
2,Afghanistan,2635,Tea (including mate),0.0
2,Afghanistan,2640,Pepper,0.0
2,Afghanistan,2641,Pimento,0.0
2,Afghanistan,2642,Cloves,0.0
2,Afghanistan,2645,"Spices, Other",18500.0
2,Afghanistan,2655,Wine,0.0
2,Afghanistan,2656,Beer,0.0
2,Afghanistan,2657,"Beverages, Fermented",0.0
2,Afghanistan,2658,"Beverages, Alcoholic",0.0
2,Afghanistan,2659,"Alcohol, Non-Food",0.0
2,Afghanistan,2680,Infant food,0.0
2,Afghanistan,2731,Bovine Meat,97000.0
2,Afghanistan,2732,Mutton & Goat Meat,151250.0
2,Afghanistan,2733,Pigmeat,0.0
2,Afghanistan,2734,Poultry Meat,27250.0
2,Afghanistan,2735,"Meat, Other",12000.0
2,Afghanistan,2736,"Offals, Edible",48000.0
2,Afghanistan,2737,"Fats, Animals, Raw",10500.0
2,Afghanistan,2740,"Butter, Ghee",37750.0
2,Afghanistan,2743,Cream,0.0
2,Afghanistan,2744,Eggs,21000.0
2,Afghanistan,2745,Honey,1250.0
2,Afghanistan,2761,Freshwater Fish,8762.5
2,Afghanistan,2805,Rice (Milled Equivalent),357500.0
2,Afghanistan,2848,Milk - Excluding Butter,2183000.0
2,Afghanistan,2899,Miscellaneous,0.0
2,Afghanistan,2535,Yams,0.0
2,Afghanistan,2536,Sugar cane,28250.0
2,Afghanistan,2541,Sugar non-centrifugal,0.0
2,Afghanistan,2562,Palm kernels,0.0
2,Afghanistan,2581,Ricebran Oil,0.0
3,Albania,2511,Wheat and products,255750.0
3,Albania,2513,Barley and products,9000.0
3,Albania,2514,Maize and products,385250.0
3,Albania,2515,Rye and products,2750.0
3,Albania,2516,Oats,33500.0
3,Albania,2517,Millet and products,0.0
3,Albania,2518,Sorghum and products,0.0
3,Albania,2520,"Cereals, Other",0.0
3,Albania,2531,Potatoes and products,251000.0
3,Albania,2532,Cassava and products,0.0
3,Albania,2533,Sweet potatoes,0.0
3,Albania,2534,"Roots, Other",0.0
3,Albania,2537,Sugar beet,30750.0
3,Albania,2542,Sugar (Raw Equivalent),3000.0
3,Albania,2543,"Sweeteners, Other",1000.0
3,Albania,2546,Beans,24000.0
3,Albania,2547,Peas,0.0
3,Albania,2549,"Pulses, Other and products",3000.0
3,Albania,2551,Nuts and products,13750.0
3,Albania,2555,Soyabeans,1000.0
3,Albania,2556,Groundnuts (Shelled Eq),0.0
