country_code,country,fao_item_code,fao_item,2016,2017,2018,2019,mt_production
1,Armenia,1242,"Margarine, short",15.0,15.0,75.0,78.0,45.75
2,Afghanistan,15,Wheat,4555110.0,4280776.0,3613300.0,4890000.0,4334796.5
2,Afghanistan,27,"Rice, paddy",356565.0,338420.0,352177.0,382500.0,357415.5
2,Afghanistan,30,"Rice, paddy (rice milled equivalent)",237829.0,225726.0,234902.0,255128.0,238396.25
2,Afghanistan,44,Barley,301856.0,94995.0,56781.0,123576.0,144302.0
2,Afghanistan,56,Maize,311646.0,173912.0,106670.0,184671.0,194224.75
2,Afghanistan,79,Millet,7518.0,6262.0,5263.0,2714.0,5439.25
2,Afghanistan,116,Potatoes,427917.0,513194.0,615684.0,921122.0,619479.25
2,Afghanistan,156,Sugar cane,17364.0,33725.0,25421.0,36538.0,28262.0
2,Afghanistan,157,Sugar beet,1582.0,2102.0,5363.0,9284.0,4582.75
2,Afghanistan,162,Sugar Raw Centrifugal,255.0,383.0,669.0,1111.0,604.5
2,Afghanistan,165,Molasses,124.0,187.0,322.0,534.0,291.75
2,Afghanistan,211,Pulses nes,81053.0,36304.0,41002.0,43645.0,50501.0
2,Afghanistan,221,"Almonds, with shell",32843.0,27291.0,34413.0,38205.0,33188.0
2,Afghanistan,222,"Walnuts, with shell",6515.0,7145.0,10804.0,14690.0,9788.5
2,Afghanistan,223,Pistachios,2759.0,2767.0,2755.0,2764.0,2761.25
2,Afghanistan,234,Nuts nes,1370.0,1446.0,1489.0,1435.0,1435.0
2,Afghanistan,260,Olives,8001.0,8432.0,8539.0,8402.0,8343.5
2,Afghanistan,261,"Oil, olive, virgin",741.0,763.0,812.0,837.0,788.25
2,Afghanistan,267,Sunflower seed,653.0,735.0,784.0,882.0,763.5
2,Afghanistan,268,"Oil, sunflower",1805.0,3167.0,3199.0,3066.0,2809.25
2,Afghanistan,289,Sesame seed,32000.0,32000.0,32000.0,33139.0,32284.75
2,Afghanistan,290,"Oil, sesame",1043.0,1108.0,1211.0,1438.0,1200.0
2,Afghanistan,328,Seed cotton,58996.0,36770.0,57450.0,73120.0,56584.0
2,Afghanistan,329,Cottonseed,38347.0,23900.0,37342.0,47528.0,36779.25
2,Afghanistan,331,"Oil, cottonseed",6626.0,4176.0,6520.0,8247.0,6392.25
2,Afghanistan,333,Linseed,219.0,20611.0,30324.0,55000.0,26538.5
2,Afghanistan,334,"Oil, linseed",18316.0,19698.0,25181.0,27186.0,22595.25
2,Afghanistan,403,"Onions, dry",141649.0,212000.0,154257.0,352725.0,215157.75
2,Afghanistan,463,"Vegetables, fresh nes",1324883.0,710563.0,732917.0,1048201.0,954141.0
2,Afghanistan,490,Oranges,5282.0,4483.0,5600.0,5783.0,5287.0
2,Afghanistan,512,"Fruit, citrus nes",16767.0,16075.0,16211.0,31479.0,20133.0
2,Afghanistan,515,Apples,140903.0,170443.0,217192.0,250324.0,194715.5
2,Afghanistan,521,Pears,5226.0,8103.0,8485.0,6966.0,7195.0
2,Afghanistan,526,Apricots,17894.0,131816.0,109086.0,129363.0,97039.75
2,Afghanistan,534,Peaches and nectarines,15306.0,62066.0,47935.0,61361.0,46667.0
2,Afghanistan,536,Plums and sloes,18504.0,32219.0,33695.0,38321.0,30684.75
2,Afghanistan,541,"Fruit, stone nes",47524.0,47999.0,48613.0,48045.0,48045.25
2,Afghanistan,558,Berries nes,22882.0,21552.0,29660.0,30620.0,26178.5
2,Afghanistan,560,Grapes,874541.0,923831.0,984081.0,1112927.0,973845.0
2,Afghanistan,567,Watermelons,862341.0,821975.0,344494.0,846990.0,718950.0
2,Afghanistan,568,"Melons, other (inc.cantaloupes)",506266.0,559477.0,373538.0,464230.0,475877.75
2,Afghanistan,569,Figs,3143.0,7963.0,9481.0,24319.0,11226.5
2,Afghanistan,619,"Fruit, fresh nes",61335.0,62793.0,62599.0,62242.0,62242.25
2,Afghanistan,711,"Anise, badian, fennel, coriander",17333.0,18944.0,18093.0,18123.0,18123.25
2,Afghanistan,723,Spices nes,6.0,2.0,3.0,4.0,3.75
2,Afghanistan,767,Cotton lint,19468.0,12134.0,18958.0,24129.0,18672.25
2,Afghanistan,867,"Meat, cattle",107533.0,114994.0,115788.0,98204.0,109129.75
2,Afghanistan,868,"Offals, edible, cattle",18869.0,20178.0,20318.0,17232.0,19149.25
2,Afghanistan,869,"Fat, cattle",2638.0,2821.0,2840.0,2409.0,2677.0
2,Afghanistan,882,"Milk, whole fresh cow",1848156.0,1771327.0,1827138.0,1817789.0,1816102.5
2,Afghanistan,886,"Butter, cow milk",37987.0,36450.0,37099.0,40218.0,37938.5
2,Afghanistan,888,"Milk, skimmed cow",714163.0,685262.0,697460.0,756094.0,713244.75
2,Afghanistan,919,"Hides, cattle, fresh",17652.0,18876.0,19007.0,16120.0,17913.75
2,Afghanistan,977,"Meat, sheep",107668.0,112585.0,110311.0,83649.0,103553.25
2,Afghanistan,978,"Offals, sheep,edible",21982.0,22986.0,22522.0,17078.0,21142.0
2,Afghanistan,979,"Fat, sheep",6056.0,6333.0,6205.0,4705.0,5824.75
2,Afghanistan,982,"Milk, whole fresh sheep",200501.0,206749.0,203997.0,169046.0,195073.25
2,Afghanistan,983,"Butter and ghee, sheep milk",4509.0,4652.0,4679.0,3866.0,4426.5
2,Afghanistan,984,"Cheese, sheep milk",12023.0,12405.0,12477.0,10308.0,11803.25
2,Afghanistan,987,"Wool, greasy",15074.0,14987.0,14800.0,14792.0,14913.25
2,Afghanistan,995,"Skins, sheep, fresh",17048.0,17826.0,17466.0,13244.0,16396.0
2,Afghanistan,1017,"Meat, goat",44456.0,45036.0,45672.0,46738.0,45475.5
2,Afghanistan,1018,"Offals, edible, goats",8619.0,8732.0,8855.0,9061.0,8816.75
2,Afghanistan,1019,"Fat, goats",1633.0,1654.0,1678.0,1717.0,1670.5
2,Afghanistan,1020,"Milk, whole fresh goat",112762.0,114335.0,115898.0,118134.0,115282.25
2,Afghanistan,1021,"Cheese, goat milk",10168.0,10312.0,10470.0,10677.0,10406.75
2,Afghanistan,1025,"Skins, goat, fresh",6714.0,6801.0,6897.0,7058.0,6867.5
2,Afghanistan,1058,"Meat, chicken",24298.0,27694.0,29336.0,28033.0,27340.25
2,Afghanistan,1062,"Eggs, hen, in shell",19884.0,20000.0,19906.0,19930.0,19930.0
2,Afghanistan,1127,"Meat, camel",3592.0,3649.0,3672.0,3644.0,3639.25
2,Afghanistan,1128,"Offals, edible, camels",539.0,547.0,551.0,547.0,546.0
2,Afghanistan,1129,"Fat, camels",251.0,255.0,257.0,255.0,254.5
2,Afghanistan,1130,"Milk, whole fresh camel",6834.0,6876.0,6877.0,6817.0,6851.0
2,Afghanistan,1163,"Meat, game",7989.0,7995.0,8001.0,8005.0,7997.5
2,Afghanistan,1182,"Honey, natural",1876.0,1835.0,1817.0,1842.0,1842.5
2,Afghanistan,1185,"Silk-worm cocoons, reelable",500.0,500.0,500.0,500.0,500.0
2,Afghanistan,1186,"Silk, raw",50.0,50.0,50.0,50.0,50.0
3,Albania,15,Wheat,275000.0,274877.0,240294.0,233218.0,255847.25
3,Albania,27,"Rice, paddy",,,,,
3,Albania,30,"Rice, paddy (rice milled equivalent)",,,,,
3,Albania,44,Barley,9000.0,9035.0,9655.0,7942.0,8908.0
3,Albania,51,Beer of barley,61000.0,62000.0,62500.0,62500.0,62000.0
3,Albania,56,Maize,379714.0,381059.0,391104.0,388951.0,385207.0
3,Albania,71,Rye,2713.0,2695.0,2250.0,2572.0,2557.5
3,Albania,75,Oats,32003.0,34068.0,34893.0,33382.0,33586.5
3,Albania,83,Sorghum,,,,,
3,Albania,116,Potatoes,238345.0,249804.0,254543.0,260661.0,250838.25
3,Albania,157,Sugar beet,33947.0,32470.0,27485.0,30705.0,31151.75
3,Albania,162,Sugar Raw Centrifugal,3160.0,2986.0,2873.0,2893.0,2978.0
3,Albania,165,Molasses,1232.0,1164.0,1120.0,1128.0,1161.0
3,Albania,176,"Beans, dry",24860.0,21200.0,24542.0,24782.0,23846.0
3,Albania,181,"Broad beans, horse beans, dry",208.0,208.0,207.0,207.0,207.5
3,Albania,205,Vetches,1987.0,1949.0,1944.0,1960.0,1960.0
3,Albania,211,Pulses nes,691.0,699.0,703.0,709.0,700.5
3,Albania,220,Chestnut,6040.0,6226.0,5242.0,5846.0,5838.5
