country_code,country,fbs_item_code,fbs_item,baseline_kg/cap/yr,baseline_kcal/cap/day,baseline_g_pro/cap/day,type,fbs_group,bootstrap_subgroup,output_group,food_loss_group,ignore_extraction_rate,include_in_model,note_x,g_protein/kg,kcal/kg,mcg_b12/kg,%_imported,food_loss_region,loss_%_production,loss_%_postharvest,loss_%_milling,%_unproc,loss_%_proc,loss_%_dist_unproc,loss_%_dist_proc,loss_%_cons_unproc,loss_%_cons_proc,note_y,%_proc,%_after_losses,%_after_losses_postharvest_to_home,baseline_mcg_b12/cap/day,baseline_loss_adj_kg/cap/yr,baseline_loss_adj_g_pro/cap/day,baseline_loss_adj_kcal/cap/day,baseline_loss_adj_mcg_b12/cap/day
1,Armenia,2547,Peas,0.0,0.0,0.0,plant,Pulses,,Pulses and soy,oilseeds_and_pulses,,yes,,,,,0.7142857142857143,europe_incl_russia,0.1,0.01,0.0,0.0,0.05,0.0,0.01,0.0,0.04,,1.0,0.9003003428571429,0.9378128571428571,0,0.0,0.0,0.0,0
1,Armenia,2549,"Pulses, Other and products",0.9525,9.0,0.6125,plant,Pulses,,Pulses and soy,oilseeds_and_pulses,,yes,,,,,0.8461538461538461,europe_incl_russia,0.1,0.01,0.0,0.0,0.05,0.0,0.01,0.0,0.04,,1.0,0.9014909538461539,0.9390530769230769,0,0.8586701335384616,0.5521632092307692,8.113418584615385,0
1,Armenia,2551,Nuts and products,1.8000000000000005,15.5,0.35,plant,Treenuts,,Nuts and seeds,oilseeds_and_pulses,,yes,,,,,0.45,europe_incl_russia,0.1,0.01,0.0,0.0,0.05,0.0,0.01,0.0,0.04,,1.0,0.89791416,0.93532725,0,1.6162454880000006,0.31426995599999996,13.91766948,0
1,Armenia,2555,Soyabeans,0.01,0.0,0.0,plant,Oilcrops,,Pulses and soy,oilseeds_and_pulses,,yes,,,,,1.0,europe_incl_russia,0.1,0.01,0.0,0.0,0.05,0.0,0.01,0.0,0.04,,1.0,0.90288,0.9405,0,0.0090288,0.0,0.0,0
1,Armenia,2556,Groundnuts (Shelled Eq),0.4975,7.5,0.335,plant,Oilcrops,,Nuts and seeds,oilseeds_and_pulses,,yes,"technically this is a legume, not a nut, so we should add a footnote",,,,1.0,europe_incl_russia,0.1,0.01,0.0,0.0,0.05,0.0,0.01,0.0,0.04,,1.0,0.90288,0.9405,0,0.4491828,0.30246480000000003,6.7716,0
1,Armenia,2557,Sunflower seed,0.0,0.0,0.0,plant,Oilcrops,,Nuts and seeds,oilseeds_and_pulses,,yes,,,,,1.0,europe_incl_russia,0.1,0.01,0.0,0.0,0.05,0.0,0.01,0.0,0.04,,1.0,0.90288,0.9405,0,0.0,0.0,0.0,0
1,Armenia,2560,Coconuts - Incl Copra,0.03,0.25,0.0025,plant,Oilcrops,,Nuts and seeds,oilseeds_and_pulses,,yes,,,,,1.0,europe_incl_russia,0.1,0.01,0.0,0.0,0.05,0.0,0.01,0.0,0.04,,1.0,0.90288,0.9405,0,0.0270864,0.0022572,0.22572,0
1,Armenia,2561,Sesame seed,0.03,0.5,0.015,plant,Oilcrops,,Nuts and seeds,oilseeds_and_pulses,,yes,,,,,1.0,europe_incl_russia,0.1,0.01,0.0,0.0,0.05,0.0,0.01,0.0,0.04,,1.0,0.90288,0.9405,0,0.0270864,0.0135432,0.45144,0
1,Armenia,2563,Olives (including preserved),0.915,2.75,0.0275,plant,Oilcrops,,Vegetables,oilseeds_and_pulses,,yes,,,,,1.0,europe_incl_russia,0.1,0.01,0.0,0.0,0.05,0.0,0.01,0.0,0.04,,1.0,0.90288,0.9405,0,0.8261352000000001,0.0248292,2.48292,0
1,Armenia,2570,"Oilcrops, Other",0.0424999999999999,0.5,0.02,plant,Oilcrops,,Nuts and seeds,oilseeds_and_pulses,,yes,,,,,0.0,europe_incl_russia,0.1,0.01,0.0,0.0,0.05,0.0,0.01,0.0,0.04,,1.0,0.8938512,0.931095,0,0.03798867599999991,0.017877024,0.4469256,0
1,Armenia,2571,Soyabean Oil,0.2125,5.0,0.0,plant,Vegetable Oils,,Vegetable oils,oils_and_sugars,yes,yes,,,,,0.75,europe_incl_russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not in original source; assume 0% losses,1.0,1.0,1.0,0,0.2125,0.0,5.0,0
1,Armenia,2572,Groundnut Oil,0.0,0.0,0.0,plant,Vegetable Oils,,Vegetable oils,oils_and_sugars,yes,yes,,,,,1.0,europe_incl_russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not in original source; assume 0% losses,1.0,1.0,1.0,0,0.0,0.0,0.0,0
1,Armenia,2573,Sunflowerseed Oil,6.904999999999999,167.0,0.0,plant,Vegetable Oils,,Vegetable oils,oils_and_sugars,yes,yes,,,,,0.9411764705882353,europe_incl_russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not in original source; assume 0% losses,1.0,1.0,1.0,0,6.904999999999999,0.0,167.0,0
1,Armenia,2574,Rape and Mustard Oil,0.0,0.0,0.0,plant,Vegetable Oils,,Vegetable oils,oils_and_sugars,yes,yes,,,,,1.0,europe_incl_russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not in original source; assume 0% losses,1.0,1.0,1.0,0,0.0,0.0,0.0,0
1,Armenia,2575,Cottonseed Oil,0.0,0.0,0.0,plant,Vegetable Oils,,Vegetable oils,oils_and_sugars,yes,yes,,,,,1.0,europe_incl_russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not in original source; assume 0% losses,1.0,1.0,1.0,0,0.0,0.0,0.0,0
1,Armenia,2576,Palmkernel Oil,0.0,0.0,0.0,plant,Vegetable Oils,,Vegetable oils,oils_and_sugars,yes,yes,,,,,1.0,europe_incl_russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not in original source; assume 0% losses,1.0,1.0,1.0,0,0.0,0.0,0.0,0
1,Armenia,2577,Palm Oil,0.0,0.0,0.0,plant,Vegetable Oils,,Vegetable oils,oils_and_sugars,yes,yes,,,,,1.0,europe_incl_russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not in original source; assume 0% losses,1.0,1.0,1.0,0,0.0,0.0,0.0,0
1,Armenia,2578,Coconut Oil,0.165,4.25,0.0,plant,Vegetable Oils,,Vegetable oils,oils_and_sugars,yes,yes,,,,,1.0,europe_incl_russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not in original source; assume 0% losses,1.0,1.0,1.0,0,0.165,0.0,4.25,0
