country_code,country,diet,fbs_item_code,fbs_item,output_group,type,kg/cap/yr_by_coo,%_from_coo
1,Armenia,eat_lancet,2561,Sesame seed,Nuts and seeds,plant,0.2511810325701283,0.9999999999999998
1,Armenia,eat_lancet,2571,Soyabean Oil,Vegetable oils,plant,0.4340678558936691,1.0
1,Armenia,eat_lancet,2573,Sunflowerseed Oil,Vegetable oils,plant,14.10465197621546,1.0
1,Armenia,eat_lancet,2580,Olive Oil,Vegetable oils,plant,0.0612801678908709,1.0
1,Armenia,eat_lancet,2601,Tomatoes and products,Vegetables,plant,25.84754088748576,1.0
1,Armenia,eat_lancet,2602,Onions,Vegetables,plant,7.1261143889160845,1.0
1,Armenia,eat_lancet,2605,"Vegetables, Other",Vegetables,plant,89.95268273488314,1.0
1,Armenia,eat_lancet,2611,"Oranges, Mandarines",Fruits,plant,3.890174509771713,1.0
1,Armenia,eat_lancet,2612,"Lemons, Limes and products",Fruits,plant,0.5656044088594545,1.0
1,Armenia,eat_lancet,2613,Grapefruit and products,Fruits,plant,0.350214357811232,1.0
1,Armenia,eat_lancet,2614,"Citrus, Other",Fruits,plant,0.009865193177781102,1.0000000000000002
1,Armenia,eat_lancet,2615,Bananas,Fruits,plant,3.735619816653141,1.0
1,Armenia,eat_lancet,2616,Plantains,Fruits,plant,0.0180861874925988,1.0
1,Armenia,eat_lancet,2617,Apples and products,Fruits,plant,13.000127787953696,1.0
1,Armenia,eat_lancet,2618,Pineapples and products,Fruits,plant,0.2400530339926754,0.9999999999999999
1,Armenia,eat_lancet,2619,Dates,Fruits,plant,0.16606408515931653,1.0
1,Armenia,eat_lancet,2620,Grapes and products (excl wine),Fruits,plant,13.049056195454146,1.0
1,Armenia,eat_lancet,2625,"Fruits, Other",Fruits,plant,46.336603327618626,1.0
1,Armenia,eat_lancet,2731,Bovine Meat,Bovine meat,t_animal,5.25144692923119,1.0
1,Armenia,eat_lancet,2732,Mutton & Goat Meat,Sheep and goat meat,t_animal,0.6905577675165918,1.0
1,Armenia,eat_lancet,2733,Pigmeat,Pig meat,t_animal,1.8100046501738039,1.0
1,Armenia,eat_lancet,2734,Poultry Meat,Poultry,t_animal,11.62715934528493,1.0
1,Armenia,eat_lancet,2744,Eggs,Eggs,t_animal,4.866167572556661,1.0
1,Armenia,eat_lancet,2745,Honey,Sugars,plant,0.1483646290204678,1.0
1,Armenia,eat_lancet,2761,Freshwater Fish,Aquatic animals,a_animal,8.690314985190291,1.0
1,Armenia,eat_lancet,2762,Demersal Fish,Aquatic animals,a_animal,0.2777070353394141,1.0
1,Armenia,eat_lancet,2763,Pelagic Fish,Aquatic animals,a_animal,1.3981112813639476,1.0
1,Armenia,eat_lancet,2764,"Marine Fish, Other",Aquatic animals,a_animal,0.3160114540069197,1.0
1,Armenia,eat_lancet,2765,Crustaceans,Aquatic animals,a_animal,0.7277839546826027,1.0
1,Armenia,eat_lancet,2766,Cephalopods,Aquatic animals,a_animal,0.0143641570003142,1.0
