fbs_item_code,fbs_item,bootstrap_subgroup,fbs_group,footprint_type,output_group,footprint,weight,distribution_group_level
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.34,0.002873563218390803,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.3445807770961145,0.03448275862068964,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.34700000000000003,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.35,0.002873563218390803,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.35,0.002873563218390803,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.35,0.002873563218390803,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.35100000000000003,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.353,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.359,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.36,0.002873563218390803,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.363,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.36558999999999997,0.006896551724137928,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.36738,0.006896551724137928,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.37,0.002873563218390803,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.38,0.002873563218390803,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.38377,0.004926108374384234,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.38710000000000006,0.006896551724137928,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.389,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.39,0.002873563218390803,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.392,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.41300000000000003,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.423,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.444,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.456,0.003448275862068964,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.45942000000000005,0.004926108374384234,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.46,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.4747,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.5,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.5083,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.518,0.003448275862068964,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.52,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.52,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.528,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.53655,0.03448275862068964,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.551,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.552,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.552,0.003448275862068964,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.56,0.004310344827586205,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.562,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.5670000000000001,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.57,0.011494252873563211,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.57,0.011494252873563211,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.5720000000000001,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.582,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.589,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.59,0.011494252873563211,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.59,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.59,0.01724137931034482,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.606,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.61,0.004310344827586205,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.611,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.62,0.0012771392081736901,fbs_item_code
2511,Wheat and products,,Cereals - Excluding Beer,kg_co2e_excl_luc,Grains,0.639,0.0012771392081736901,fbs_item_code
