species,system,item,attribute,country,value
Cattle,All systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Cattle,All systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Cattle,All systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Cattle,All systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Cattle,All systems,Cattle meat,kg_primary/year,Brunei Darussalam,0.0
Cattle,All systems,Cattle meat,kg_protein/year,Brunei Darussalam,0.0
Cattle,All systems,Cattle milk,kg_primary/year,Brunei Darussalam,0.0
Cattle,All systems,Cattle milk,kg_protein/year,Brunei Darussalam,0.0
Cattle,All systems,Cattle milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,All systems,Cattle meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,Grassland systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Cattle,Grassland systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Cattle,Grassland systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Cattle,Grassland systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Cattle,Grassland systems,Cattle meat,kg_primary/year,Brunei Darussalam,0.0
Cattle,Grassland systems,Cattle meat,kg_protein/year,Brunei Darussalam,0.0
Cattle,Grassland systems,Cattle milk,kg_primary/year,Brunei Darussalam,0.0
Cattle,Grassland systems,Cattle milk,kg_protein/year,Brunei Darussalam,0.0
Cattle,Grassland systems,Cattle milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,Grassland systems,Cattle meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,Mixed systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Cattle,Mixed systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Cattle,Mixed systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Cattle,Mixed systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Cattle,Mixed systems,Cattle meat,kg_primary/year,Brunei Darussalam,0.0
Cattle,Mixed systems,Cattle meat,kg_protein/year,Brunei Darussalam,0.0
Cattle,Mixed systems,Cattle milk,kg_primary/year,Brunei Darussalam,0.0
Cattle,Mixed systems,Cattle milk,kg_protein/year,Brunei Darussalam,0.0
Cattle,Mixed systems,Cattle milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,Mixed systems,Cattle meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,Feedlots,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Cattle,Feedlots,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Cattle,Feedlots,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Cattle,Feedlots,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Cattle,Feedlots,Cattle meat,kg_primary/year,Brunei Darussalam,0.0
Cattle,Feedlots,Cattle meat,kg_protein/year,Brunei Darussalam,0.0
Cattle,Feedlots,Cattle milk,kg_primary/year,Brunei Darussalam,0.0
Cattle,Feedlots,Cattle milk,kg_protein/year,Brunei Darussalam,0.0
Cattle,Feedlots,Cattle milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Cattle,Feedlots,Cattle meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Buffaloes,All systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Buffaloes,All systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Buffaloes,All systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Buffaloes,All systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Buffaloes,All systems,Buffalo meat,kg_primary/year,Brunei Darussalam,0.0
Buffaloes,All systems,Buffalo meat,kg_protein/year,Brunei Darussalam,0.0
Buffaloes,All systems,Buffalo milk,kg_primary/year,Brunei Darussalam,0.0
Buffaloes,All systems,Buffalo milk,kg_protein/year,Brunei Darussalam,0.0
Buffaloes,All systems,Buffalo milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Buffaloes,All systems,Buffalo meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Buffaloes,Grassland systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Buffaloes,Grassland systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Buffaloes,Grassland systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Buffaloes,Grassland systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Buffaloes,Grassland systems,Buffalo meat,kg_primary/year,Brunei Darussalam,0.0
Buffaloes,Grassland systems,Buffalo meat,kg_protein/year,Brunei Darussalam,0.0
Buffaloes,Grassland systems,Buffalo milk,kg_primary/year,Brunei Darussalam,0.0
Buffaloes,Grassland systems,Buffalo milk,kg_protein/year,Brunei Darussalam,0.0
Buffaloes,Grassland systems,Buffalo milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Buffaloes,Grassland systems,Buffalo meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Buffaloes,Mixed systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Buffaloes,Mixed systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Buffaloes,Mixed systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Buffaloes,Mixed systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Buffaloes,Mixed systems,Buffalo meat,kg_primary/year,Brunei Darussalam,0.0
Buffaloes,Mixed systems,Buffalo meat,kg_protein/year,Brunei Darussalam,0.0
Buffaloes,Mixed systems,Buffalo milk,kg_primary/year,Brunei Darussalam,0.0
Buffaloes,Mixed systems,Buffalo milk,kg_protein/year,Brunei Darussalam,0.0
Buffaloes,Mixed systems,Buffalo milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Buffaloes,Mixed systems,Buffalo meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Sheep,All systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Sheep,All systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Sheep,All systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Sheep,All systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Sheep,All systems,Sheep meat,kg_primary/year,Brunei Darussalam,0.0
Sheep,All systems,Sheep meat,kg_protein/year,Brunei Darussalam,0.0
Sheep,All systems,Sheep milk,kg_primary/year,Brunei Darussalam,0.0
Sheep,All systems,Sheep milk,kg_protein/year,Brunei Darussalam,0.0
Sheep,All systems,Sheep milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Sheep,All systems,Sheep meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Sheep,Grassland systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Sheep,Grassland systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Sheep,Grassland systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Sheep,Grassland systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Sheep,Grassland systems,Sheep meat,kg_primary/year,Brunei Darussalam,0.0
Sheep,Grassland systems,Sheep meat,kg_protein/year,Brunei Darussalam,0.0
Sheep,Grassland systems,Sheep milk,kg_primary/year,Brunei Darussalam,0.0
Sheep,Grassland systems,Sheep milk,kg_protein/year,Brunei Darussalam,0.0
Sheep,Grassland systems,Sheep milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Sheep,Grassland systems,Sheep meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Sheep,Mixed systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Sheep,Mixed systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Sheep,Mixed systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Sheep,Mixed systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Sheep,Mixed systems,Sheep meat,kg_primary/year,Brunei Darussalam,0.0
Sheep,Mixed systems,Sheep meat,kg_protein/year,Brunei Darussalam,0.0
Sheep,Mixed systems,Sheep milk,kg_primary/year,Brunei Darussalam,0.0
Sheep,Mixed systems,Sheep milk,kg_protein/year,Brunei Darussalam,0.0
Sheep,Mixed systems,Sheep milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Sheep,Mixed systems,Sheep meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Goats,All systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Goats,All systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Goats,All systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Goats,All systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Goats,All systems,Goat meat,kg_primary/year,Brunei Darussalam,0.0
Goats,All systems,Goat meat,kg_protein/year,Brunei Darussalam,0.0
Goats,All systems,Goat milk,kg_primary/year,Brunei Darussalam,0.0
Goats,All systems,Goat milk,kg_protein/year,Brunei Darussalam,0.0
Goats,All systems,Goat milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Goats,All systems,Goat meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Goats,Grassland systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Goats,Grassland systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Goats,Grassland systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Goats,Grassland systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Goats,Grassland systems,Goat meat,kg_primary/year,Brunei Darussalam,0.0
Goats,Grassland systems,Goat meat,kg_protein/year,Brunei Darussalam,0.0
Goats,Grassland systems,Goat milk,kg_primary/year,Brunei Darussalam,0.0
Goats,Grassland systems,Goat milk,kg_protein/year,Brunei Darussalam,0.0
Goats,Grassland systems,Goat milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Goats,Grassland systems,Goat meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Goats,Mixed systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Goats,Mixed systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Goats,Mixed systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Goats,Mixed systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Goats,Mixed systems,Goat meat,kg_primary/year,Brunei Darussalam,0.0
Goats,Mixed systems,Goat meat,kg_protein/year,Brunei Darussalam,0.0
Goats,Mixed systems,Goat milk,kg_primary/year,Brunei Darussalam,0.0
Goats,Mixed systems,Goat milk,kg_protein/year,Brunei Darussalam,0.0
Goats,Mixed systems,Goat milk,kg_co2e/kg_protein,Brunei Darussalam,0.0
Goats,Mixed systems,Goat meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Pigs,All systems,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Pigs,All systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Pigs,All systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Pigs,All systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Pigs,All systems,Pig meat,kg_primary/year,Brunei Darussalam,0.0
Pigs,All systems,Pig meat,kg_protein/year,Brunei Darussalam,0.0
Pigs,All systems,Pig meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Pigs,Backyard,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Pigs,Backyard,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Pigs,Backyard,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Pigs,Backyard,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Pigs,Backyard,Pig meat,kg_primary/year,Brunei Darussalam,0.0
Pigs,Backyard,Pig meat,kg_protein/year,Brunei Darussalam,0.0
Pigs,Backyard,Pig meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Pigs,Intermediate,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Pigs,Intermediate,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Pigs,Intermediate,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Pigs,Intermediate,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Pigs,Intermediate,Pig meat,kg_primary/year,Brunei Darussalam,0.0
Pigs,Intermediate,Pig meat,kg_protein/year,Brunei Darussalam,0.0
Pigs,Intermediate,Pig meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Pigs,Industrial,All items,system_kg_co2e_total,Brunei Darussalam,0.0
Pigs,Industrial,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Pigs,Industrial,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Pigs,Industrial,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Pigs,Industrial,Pig meat,kg_primary/year,Brunei Darussalam,0.0
Pigs,Industrial,Pig meat,kg_protein/year,Brunei Darussalam,0.0
Pigs,Industrial,Pig meat,kg_co2e/kg_protein,Brunei Darussalam,0.0
Chickens,All systems,All items,system_kg_co2e_total,Brunei Darussalam,486481083.8153583
Chickens,All systems,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,42508921.850775264
Chickens,All systems,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Chickens,All systems,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Chickens,All systems,Eggs,kg_primary/year,Brunei Darussalam,40134822.872353
Chickens,All systems,Eggs,kg_protein/year,Brunei Darussalam,4976718.036171772
Chickens,All systems,Chicken meat,kg_primary/year,Brunei Darussalam,106509566.75876217
Chickens,All systems,Chicken meat,kg_protein/year,Brunei Darussalam,15177613.26312361
Chickens,All systems,Eggs,kg_co2e/kg_protein,Brunei Darussalam,59.76588271411121
Chickens,All systems,Chicken meat,kg_co2e/kg_protein,Brunei Darussalam,19.597148859611284
Chickens,Backyard,All items,system_kg_co2e_total,Brunei Darussalam,1307046.0483092356
Chickens,Backyard,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,0.0
Chickens,Backyard,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Chickens,Backyard,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Chickens,Backyard,Eggs,kg_primary/year,Brunei Darussalam,100675.28879631356
Chickens,Backyard,Eggs,kg_protein/year,Brunei Darussalam,12483.73581074288
Chickens,Backyard,Chicken meat,kg_primary/year,Brunei Darussalam,25643.481860371867
Chickens,Backyard,Chicken meat,kg_protein/year,Brunei Darussalam,3654.196165102991
Chickens,Backyard,Eggs,kg_co2e/kg_protein,Brunei Darussalam,72.58906221755946
Chickens,Backyard,Chicken meat,kg_co2e/kg_protein,Brunei Darussalam,109.6994673312366
Chickens,Layers,All items,system_kg_co2e_total,Brunei Darussalam,150877566.84778935
Chickens,Layers,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,10326791.351436464
Chickens,Layers,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Chickens,Layers,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Chickens,Layers,Eggs,kg_primary/year,Brunei Darussalam,40034147.58355668
Chickens,Layers,Eggs,kg_protein/year,Brunei Darussalam,4964234.300361029
Chickens,Layers,Chicken meat,kg_primary/year,Brunei Darussalam,3047011.4280667435
Chickens,Layers,Chicken meat,kg_protein/year,Brunei Darussalam,434199.128499511
Chickens,Layers,Eggs,kg_co2e/kg_protein,Brunei Darussalam,26.336553401454992
Chickens,Layers,Chicken meat,kg_co2e/kg_protein,Brunei Darussalam,46.376751534680245
Chickens,Broilers,All items,system_kg_co2e_total,Brunei Darussalam,334296470.91925967
Chickens,Broilers,All items,system_kg_co2_luc_feed_soy,Brunei Darussalam,32182130.4993388
Chickens,Broilers,All items,system_kg_co2_luc_feed_palm,Brunei Darussalam,0.0
Chickens,Broilers,All items,system_kg_co2_luc_pasture,Brunei Darussalam,0.0
Chickens,Broilers,Eggs,kg_primary/year,Brunei Darussalam,0.0
Chickens,Broilers,Eggs,kg_protein/year,Brunei Darussalam,0.0
Chickens,Broilers,Chicken meat,kg_primary/year,Brunei Darussalam,103436911.84883504
Chickens,Broilers,Chicken meat,kg_protein/year,Brunei Darussalam,14739759.938458996
Chickens,Broilers,Eggs,kg_co2e/kg_protein,Brunei Darussalam,0.0
Chickens,Broilers,Chicken meat,kg_co2e/kg_protein,Brunei Darussalam,18.78594625253856
Cattle,All systems,All items,system_kg_co2e_total,Cambodia,6660670011.847676
Cattle,All systems,All items,system_kg_co2_luc_feed_soy,Cambodia,269859416.1773472
Cattle,All systems,All items,system_kg_co2_luc_feed_palm,Cambodia,1224233.2250824722
Cattle,All systems,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Cattle,All systems,Cattle meat,kg_primary/year,Cambodia,78564144.14103872
Cattle,All systems,Cattle meat,kg_protein/year,Cambodia,9745942.899104904
Cattle,All systems,Cattle milk,kg_primary/year,Cambodia,23190040.0
Cattle,All systems,Cattle milk,kg_protein/year,Cambodia,811651.3999999999
Cattle,All systems,Cattle milk,kg_co2e/kg_protein,Cambodia,349.03150909695296
Cattle,All systems,Cattle meat,kg_co2e/kg_protein,Cambodia,470.5662052724297
Cattle,Grassland systems,All items,system_kg_co2e_total,Cambodia,1532316253.1902246
Cattle,Grassland systems,All items,system_kg_co2_luc_feed_soy,Cambodia,87252925.35701507
Cattle,Grassland systems,All items,system_kg_co2_luc_feed_palm,Cambodia,357063.8650690387
Cattle,Grassland systems,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Cattle,Grassland systems,Cattle meat,kg_primary/year,Cambodia,22242618.56918461
Cattle,Grassland systems,Cattle meat,kg_protein/year,Cambodia,3524898.9777515307
Cattle,Grassland systems,Cattle milk,kg_primary/year,Cambodia,5099830.0
Cattle,Grassland systems,Cattle milk,kg_protein/year,Cambodia,178494.05
Cattle,Grassland systems,Cattle milk,kg_co2e/kg_protein,Cambodia,458.3806589834222
Cattle,Grassland systems,Cattle meat,kg_co2e/kg_protein,Cambodia,411.5005967779114
Cattle,Mixed systems,All items,system_kg_co2e_total,Cambodia,5128353758.657452
Cattle,Mixed systems,All items,system_kg_co2_luc_feed_soy,Cambodia,182606490.8203321
Cattle,Mixed systems,All items,system_kg_co2_luc_feed_palm,Cambodia,867169.3600134335
Cattle,Mixed systems,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Cattle,Mixed systems,Cattle meat,kg_primary/year,Cambodia,56321525.57185412
Cattle,Mixed systems,Cattle meat,kg_protein/year,Cambodia,6221043.921353375
Cattle,Mixed systems,Cattle milk,kg_primary/year,Cambodia,18090210.0
Cattle,Mixed systems,Cattle milk,kg_protein/year,Cambodia,633157.35
Cattle,Mixed systems,Cattle milk,kg_co2e/kg_protein,Cambodia,318.2047760150532
Cattle,Mixed systems,Cattle meat,kg_co2e/kg_protein,Cambodia,504.0333059125593
Cattle,Feedlots,All items,system_kg_co2e_total,Cambodia,0.0
Cattle,Feedlots,All items,system_kg_co2_luc_feed_soy,Cambodia,0.0
Cattle,Feedlots,All items,system_kg_co2_luc_feed_palm,Cambodia,0.0
Cattle,Feedlots,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Cattle,Feedlots,Cattle meat,kg_primary/year,Cambodia,0.0
Cattle,Feedlots,Cattle meat,kg_protein/year,Cambodia,0.0
Cattle,Feedlots,Cattle milk,kg_primary/year,Cambodia,0.0
Cattle,Feedlots,Cattle milk,kg_protein/year,Cambodia,0.0
Cattle,Feedlots,Cattle milk,kg_co2e/kg_protein,Cambodia,0.0
Cattle,Feedlots,Cattle meat,kg_co2e/kg_protein,Cambodia,0.0
Buffaloes,All systems,All items,system_kg_co2e_total,Cambodia,1430877792.4408877
Buffaloes,All systems,All items,system_kg_co2_luc_feed_soy,Cambodia,0.0
Buffaloes,All systems,All items,system_kg_co2_luc_feed_palm,Cambodia,0.0
Buffaloes,All systems,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Buffaloes,All systems,Buffalo meat,kg_primary/year,Cambodia,11790206.030622266
Buffaloes,All systems,Buffalo meat,kg_protein/year,Cambodia,1146928.9626394864
Buffaloes,All systems,Buffalo milk,kg_primary/year,Cambodia,0.0
Buffaloes,All systems,Buffalo milk,kg_protein/year,Cambodia,0.0
Buffaloes,All systems,Buffalo milk,kg_co2e/kg_protein,Cambodia,0.0
Buffaloes,All systems,Buffalo meat,kg_co2e/kg_protein,Cambodia,742.6201010997669
Buffaloes,Grassland systems,All items,system_kg_co2e_total,Cambodia,460831745.5524882
Buffaloes,Grassland systems,All items,system_kg_co2_luc_feed_soy,Cambodia,0.0
Buffaloes,Grassland systems,All items,system_kg_co2_luc_feed_palm,Cambodia,0.0
Buffaloes,Grassland systems,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Buffaloes,Grassland systems,Buffalo meat,kg_primary/year,Cambodia,3554928.0835614456
Buffaloes,Grassland systems,Buffalo meat,kg_protein/year,Cambodia,345817.8642814543
Buffaloes,Grassland systems,Buffalo milk,kg_primary/year,Cambodia,0.0
Buffaloes,Grassland systems,Buffalo milk,kg_protein/year,Cambodia,0.0
Buffaloes,Grassland systems,Buffalo milk,kg_co2e/kg_protein,Cambodia,0.0
Buffaloes,Grassland systems,Buffalo meat,kg_co2e/kg_protein,Cambodia,785.8432818213504
Buffaloes,Mixed systems,All items,system_kg_co2e_total,Cambodia,970046046.8883992
Buffaloes,Mixed systems,All items,system_kg_co2_luc_feed_soy,Cambodia,0.0
Buffaloes,Mixed systems,All items,system_kg_co2_luc_feed_palm,Cambodia,0.0
Buffaloes,Mixed systems,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Buffaloes,Mixed systems,Buffalo meat,kg_primary/year,Cambodia,8235277.94706082
Buffaloes,Mixed systems,Buffalo meat,kg_protein/year,Cambodia,801111.0983580321
Buffaloes,Mixed systems,Buffalo milk,kg_primary/year,Cambodia,0.0
Buffaloes,Mixed systems,Buffalo milk,kg_protein/year,Cambodia,0.0
Buffaloes,Mixed systems,Buffalo milk,kg_co2e/kg_protein,Cambodia,0.0
Buffaloes,Mixed systems,Buffalo meat,kg_co2e/kg_protein,Cambodia,723.961830011992
Sheep,All systems,All items,system_kg_co2e_total,Cambodia,1555284.4665524606
Sheep,All systems,All items,system_kg_co2_luc_feed_soy,Cambodia,0.0
Sheep,All systems,All items,system_kg_co2_luc_feed_palm,Cambodia,0.0
Sheep,All systems,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Sheep,All systems,Sheep meat,kg_primary/year,Cambodia,38052.44950364871
Sheep,All systems,Sheep meat,kg_protein/year,Cambodia,5361.970659559138
Sheep,All systems,Sheep milk,kg_primary/year,Cambodia,0.0
Sheep,All systems,Sheep milk,kg_protein/year,Cambodia,0.0
Sheep,All systems,Sheep milk,kg_co2e/kg_protein,Cambodia,0.0
Sheep,All systems,Sheep meat,kg_co2e/kg_protein,Cambodia,230.309263861778
Sheep,Grassland systems,All items,system_kg_co2e_total,Cambodia,0.0
Sheep,Grassland systems,All items,system_kg_co2_luc_feed_soy,Cambodia,0.0
Sheep,Grassland systems,All items,system_kg_co2_luc_feed_palm,Cambodia,0.0
Sheep,Grassland systems,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Sheep,Grassland systems,Sheep meat,kg_primary/year,Cambodia,0.0
Sheep,Grassland systems,Sheep meat,kg_protein/year,Cambodia,0.0
Sheep,Grassland systems,Sheep milk,kg_primary/year,Cambodia,0.0
Sheep,Grassland systems,Sheep milk,kg_protein/year,Cambodia,0.0
Sheep,Grassland systems,Sheep milk,kg_co2e/kg_protein,Cambodia,0.0
Sheep,Grassland systems,Sheep meat,kg_co2e/kg_protein,Cambodia,0.0
Sheep,Mixed systems,All items,system_kg_co2e_total,Cambodia,1555284.4665524606
Sheep,Mixed systems,All items,system_kg_co2_luc_feed_soy,Cambodia,0.0
Sheep,Mixed systems,All items,system_kg_co2_luc_feed_palm,Cambodia,0.0
Sheep,Mixed systems,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Sheep,Mixed systems,Sheep meat,kg_primary/year,Cambodia,38052.44950364871
Sheep,Mixed systems,Sheep meat,kg_protein/year,Cambodia,5361.970659559138
Sheep,Mixed systems,Sheep milk,kg_primary/year,Cambodia,0.0
Sheep,Mixed systems,Sheep milk,kg_protein/year,Cambodia,0.0
Sheep,Mixed systems,Sheep milk,kg_co2e/kg_protein,Cambodia,0.0
Sheep,Mixed systems,Sheep meat,kg_co2e/kg_protein,Cambodia,230.309263861778
Goats,All systems,All items,system_kg_co2e_total,Cambodia,0.0
Goats,All systems,All items,system_kg_co2_luc_feed_soy,Cambodia,0.0
Goats,All systems,All items,system_kg_co2_luc_feed_palm,Cambodia,0.0
Goats,All systems,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Goats,All systems,Goat meat,kg_primary/year,Cambodia,0.0
Goats,All systems,Goat meat,kg_protein/year,Cambodia,0.0
Goats,All systems,Goat milk,kg_primary/year,Cambodia,0.0
Goats,All systems,Goat milk,kg_protein/year,Cambodia,0.0
Goats,All systems,Goat milk,kg_co2e/kg_protein,Cambodia,0.0
Goats,All systems,Goat meat,kg_co2e/kg_protein,Cambodia,0.0
Goats,Grassland systems,All items,system_kg_co2e_total,Cambodia,0.0
Goats,Grassland systems,All items,system_kg_co2_luc_feed_soy,Cambodia,0.0
Goats,Grassland systems,All items,system_kg_co2_luc_feed_palm,Cambodia,0.0
Goats,Grassland systems,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Goats,Grassland systems,Goat meat,kg_primary/year,Cambodia,0.0
Goats,Grassland systems,Goat meat,kg_protein/year,Cambodia,0.0
Goats,Grassland systems,Goat milk,kg_primary/year,Cambodia,0.0
Goats,Grassland systems,Goat milk,kg_protein/year,Cambodia,0.0
Goats,Grassland systems,Goat milk,kg_co2e/kg_protein,Cambodia,0.0
Goats,Grassland systems,Goat meat,kg_co2e/kg_protein,Cambodia,0.0
Goats,Mixed systems,All items,system_kg_co2e_total,Cambodia,0.0
Goats,Mixed systems,All items,system_kg_co2_luc_feed_soy,Cambodia,0.0
Goats,Mixed systems,All items,system_kg_co2_luc_feed_palm,Cambodia,0.0
Goats,Mixed systems,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Goats,Mixed systems,Goat meat,kg_primary/year,Cambodia,0.0
Goats,Mixed systems,Goat meat,kg_protein/year,Cambodia,0.0
Goats,Mixed systems,Goat milk,kg_primary/year,Cambodia,0.0
Goats,Mixed systems,Goat milk,kg_protein/year,Cambodia,0.0
Goats,Mixed systems,Goat milk,kg_co2e/kg_protein,Cambodia,0.0
Goats,Mixed systems,Goat meat,kg_co2e/kg_protein,Cambodia,0.0
Pigs,All systems,All items,system_kg_co2e_total,Cambodia,991269121.9279444
Pigs,All systems,All items,system_kg_co2_luc_feed_soy,Cambodia,75502394.56490351
Pigs,All systems,All items,system_kg_co2_luc_feed_palm,Cambodia,0.0
Pigs,All systems,All items,system_kg_co2_luc_pasture,Cambodia,0.0
Pigs,All systems,Pig meat,kg_primary/year,Cambodia,163007840.84673482
Pigs,All systems,Pig meat,kg_protein/year,Cambodia,21402929.50317628
Pigs,All systems,Pig meat,kg_co2e/kg_protein,Cambodia,46.31464687022568
Pigs,Backyard,All items,system_kg_co2e_total,Cambodia,684965836.507681
Pigs,Backyard,All items,system_kg_co2_luc_feed_soy,Cambodia,0.0
Pigs,Backyard,All items,system_kg_co2_luc_feed_palm,Cambodia,0.0
Pigs,Backyard,All items,system_kg_co2_luc_pasture,Cambodia,0.0
