country_iso_code,country,supply_side_kg_tiseo,supply_side_kg,diff,%_diff
PRK,Democratic People's Republic of Korea,0.0,5.1701217405482296e+16,5.1701217405482296e+16,inf
KOR,Republic of Korea,1e+18,5.123715795047952e+17,-4.876284204952048e+17,-0.4876284204952048
KWT,Kuwait,1.283805288e+16,2096906849485838.5,-1.0741146030514162e+16,-0.8366647287492838
LVA,Latvia,5873000000000000.0,2194017660780570.0,-3678982339219430.0,-0.6264230102536064
LAO,Lao People's Democratic Republic,3.7172157454e+16,2.6067165420924364e+16,-1.1104992033075636e+16,-0.29874488847783187
LBN,Lebanon,2.9240153931e+16,8386002644381008.0,-2.085415128661899e+16,-0.7132025137702751
LSO,Lesotho,8622435701000000.0,529688596622525.44,-8092747104377475.0,-0.9385685651954362
LBR,Liberia,1691491309000000.0,420446727412589.56,-1271044581587410.5,-0.7514342963658766
LBY,Libya,2.2000412391e+16,2628791174563345.5,-1.9371621216436656e+16,-0.8805117318783198
LTU,Lithuania,1.1592e+16,2891480465460162.0,-8700519534539838.0,-0.7505624167132365
MAC,"China, Macao SAR",0.0,3731168317053992.5,3731168317053992.5,inf
MDG,Madagascar,1.31e+17,1.0620146781643346e+16,-1.2037985321835666e+17,-0.9189301772393638
MWI,Malawi,2.8455215888e+16,7681960234443595.0,-2.0773255653556404e+16,-0.7300333174529455
MYS,Malaysia,3.32e+17,2.6228308688067734e+17,-6.971691311932266e+16,-0.2099907021666345
MDV,Maldives,0.0,0.0,0.0,
MLI,Mali,1.19e+17,7829993735460330.0,-1.1117000626453966e+17,-0.9342017333154594
MLT,Malta,1763000000000000.0,856157495821031.5,-906842504178968.5,-0.5143746478610145
MRT,Mauritania,2.0046872031e+16,1275218066563961.8,-1.877165396443604e+16,-0.9363881774377572
MUS,Mauritius,8610513731000000.0,780812770755215.8,-7829700960244784.0,-0.9093186777062912
MEX,Mexico,1.61e+18,6.618885164635878e+17,-9.481114835364122e+17,-0.5888891202089517
MNG,Mongolia,3.4988025227e+16,2.4389848355930668e+16,-1.0598176871069332e+16,-0.3029086895390368
MAR,Morocco,1.68e+17,1.860552350788261e+16,-1.4939447649211738e+17,-0.8892528362626034
MOZ,Mozambique,3.5749187592e+16,3285110629801926.5,-3.246407696219807e+16,-0.9081067053244848
MDA,Republic of Moldova,2.0854709532e+16,1.9346259618493348e+16,-1508449913506652.0,-0.07233137969109797
NAM,Namibia,6.2406237853e+16,1710214956925547.8,-6.0696022896074456e+16,-0.9725954485358657
NPL,Nepal,5.5618180995e+16,6.3723626571407624e+16,8105445576407624.0,0.1457337408631953
NLD,Netherlands,1.88e+17,8.727909529865586e+16,-1.0072090470134414e+17,-0.5357494930922561
NCL,New Caledonia,1436434197000000.0,1836656826050907.0,400222629050907.0,0.27862232038667273
MKD,North Macedonia,0.0,3101340929154485.0,3101340929154485.0,inf
VUT,Vanuatu,3683380286000000.0,1362649777714854.2,-2320730508285146.0,-0.6300545499214159
NZL,New Zealand,7.0406e+16,8983972129852303.0,-6.14220278701477e+16,-0.8723976347207297
NIC,Nicaragua,9.7504297044e+16,2.2306977291168356e+16,-7.519731975283165e+16,-0.7712205721446096
NER,Niger,2.2e+17,2683385648654340.5,-2.1731661435134566e+17,-0.9878027925061167
NGA,Nigeria,3.31e+17,2.140412184696758e+16,-3.0959587815303245e+17,-0.9353349793142974
NOR,Norway,5900000000000000.0,2139175967482375.5,-3760824032517624.5,-0.6374278021216313
PAK,Pakistan,7.94e+17,5.3637015905678176e+17,-2.5762984094321824e+17,-0.3244708324221892
PAN,Panama,6.7193781946e+16,2.8553618766074556e+16,-3.864016317992544e+16,-0.5750556384961103
CZE,Czechia,4.4227e+16,1.947557169209722e+16,-2.475142830790278e+16,-0.5596452010740675
PNG,Papua New Guinea,1.7782613915e+16,9420797408818498.0,-8361816506181502.0,-0.4702242620882714
PRY,Paraguay,3.02e+17,6.188894199422826e+16,-2.4011105800577174e+17,-0.7950697284959329
PER,Peru,3.39e+17,1.0297530493947712e+17,-2.3602469506052288e+17,-0.6962380385266161
PHL,Philippines,5.37e+17,4.9414790496263494e+17,-4.285209503736506e+16,-0.07979905965989768
POL,Poland,7.49e+17,5.351757507190138e+17,-2.1382424928098618e+17,-0.28547963855939407
PRT,Portugal,1.3e+17,1.0405866589749298e+17,-2.5941334102507024e+16,-0.19954872386543865
GNB,Guinea-Bissau,8475595827000000.0,651953663116203.2,-7823642163883797.0,-0.9230787219655604
TLS,Timor-Leste,6148775844000000.0,22888317693316.06,-6125887526306684.0,-0.9962775813797716
ZWE,Zimbabwe,1.07e+17,5924910231179466.0,-1.0107508976882053e+17,-0.9446270071852386
ROU,Romania,2.63e+17,6.1140096735043816e+16,-2.018599032649562e+17,-0.7675281492964113
RWA,Rwanda,1.4737988873e+16,1720699343053143.0,-1.3017289529946856e+16,-0.883247344133536
RUS,Russian Federation,1.71e+18,9.127992175617225e+17,-7.972007824382775e+17,-0.4661992879756009
KNA,Saint Kitts and Nevis,144023074900000.0,0.0,-144023074900000.0,-1.0
LCA,Saint Lucia,1144794543000000.0,701020991707430.5,-443773551292569.5,-0.3876447123250914
VCT,Saint Vincent and the Grenadines,304766675500000.0,0.0,-304766675500000.0,-1.0
STP,Sao Tome and Principe,595177137300000.0,26912505495623.383,-568264631804376.6,-0.9547823600588708
SAU,Saudi Arabia,8.5983722179e+16,2.7338650154082e+16,-5.8645072024918e+16,-0.6820485382434516
SEN,Senegal,7.0155534467e+16,4268282179090299.5,-6.5887252287909704e+16,-0.9391597225861343
SYC,Seychelles,162666813300000.0,12152070951095.965,-150514742348904.03,-0.9252947131343602
SLE,Sierra Leone,8337572652000000.0,610555251581724.2,-7727017400418276.0,-0.9267706229300124
SVN,Slovenia,6712000000000000.0,2389818312904069.5,-4322181687095930.5,-0.6439484039177489
SVK,Slovakia,1.3913e+16,4599128728550605.0,-9313871271449396.0,-0.6694365896247679
ZAF,South Africa,7.93e+17,8.547759194887533e+16,-7.075224080511247e+17,-0.8922098462183162
ESP,Spain,1.76e+18,7.018379217706061e+17,-1.0581620782293939e+18,-0.6012284535394283
SUR,Suriname,3453712782000000.0,1448949600312226.2,-2004763181687773.8,-0.5804660978574024
TJK,Tajikistan,3.3429960443e+16,3.2889969942256016e+16,-539990500743984.0,-0.016152890807774024
SWZ,Eswatini,0.0,773190979740409.2,773190979740409.2,inf
SWE,Sweden,1.0311e+16,4817514395527701.0,-5493485604472299.0,-0.5327791295191833
CHE,Switzerland,3.2021e+16,1.5746144829123562e+16,-1.6274855170876438e+16,-0.5082556812990362
SYR,Syrian Arab Republic,1.5436277053e+16,9747837474688608.0,-5688439578311392.0,-0.36851110917355934
TKM,Turkmenistan,4.3925762446e+16,2.1164756476521996e+16,-2.2761005969478004e+16,-0.5181698552747759
TWN,"China, Taiwan Province of",2407630456000000.0,3.596141659369137e+17,3.572065354809137e+17,148.3643532547645
TZA,United Republic of Tanzania,2.21e+17,1.9166527513133156e+16,-2.0183347248686685e+17,-0.9132736311622934
THA,Thailand,3.69e+18,1.4149372639348012e+18,-2.2750627360651988e+18,-0.6165481669553384
TGO,Togo,9121383085000000.0,1041330555938577.6,-8080052529061422.0,-0.8858363313727023
TTO,Trinidad and Tobago,1.5631886458e+16,4168498014451067.0,-1.1463388443548932e+16,-0.7333336558162027
OMN,Oman,5251336537000000.0,1758538214054673.0,-3492798322945327.0,-0.665125591996567
TUN,Tunisia,4.4603682915e+16,3569952561433751.0,-4.103373035356625e+16,-0.9199628297906047
TUR,Turkey,6.22e+17,2.5090633316081104e+17,-3.71093666839189e+17,-0.5966136122816543
ARE,United Arab Emirates,1.0720783423e+16,4383204726118085.0,-6337578696881915.0,-0.5911488411644891
UGA,Uganda,1.77e+17,1.0814673469289206e+16,-1.661853265307108e+17,-0.9389001498910213
GBR,United Kingdom of Great Britain and Northern Ireland,2.48e+17,4.627368575176204e+16,-2.0172631424823795e+17,-0.8134125574525723
UKR,Ukraine,5.84e+17,1.443103901278875e+17,-4.396896098721125e+17,-0.7528931675892337
USA,United States of America,6.54e+18,2.6992972754082606e+18,-3.8407027245917394e+18,-0.5872634135461375
BFA,Burkina Faso,7.686244198e+16,5558809283978561.0,-7.130363269602144e+16,-0.9276784715553925
URY,Uruguay,2.71e+17,6.49660050109371e+16,-2.060339949890629e+17,-0.7602730442400846
UZB,Uzbekistan,1.74e+17,1.3278842376669242e+17,-4.121157623330758e+16,-0.23684813927188267
VEN,Venezuela (Bolivarian Republic of),4.76e+17,9.657444233870869e+16,-3.794255576612913e+17,-0.7971125160951499
VNM,Viet Nam,8.92e+17,7.481034974951766e+17,-1.4389650250482342e+17,-0.1613189489964388
ETH,Ethiopia,4.86e+17,1.5708297854214208e+16,-4.702917021457858e+17,-0.9676783994769255
WSM,Samoa,1952686867000000.0,618240902630446.8,-1334445964369553.2,-0.6833896345191905
YEM,Yemen,3.6940380704e+16,1.3151977084326016e+16,-2.3788403619673984e+16,-0.6439674731640791
COD,Democratic Republic of the Congo,1.7240543557e+16,1753732715268104.0,-1.5486810841731896e+16,-0.8982785717010614
ZMB,Zambia,7.3707967893e+16,9564421558772378.0,-6.4143546334227624e+16,-0.8702389737204964
BEL,Belgium,2.21e+17,1.139253702409443e+17,-1.070746297590557e+17,-0.4845005871450484
LUX,Luxembourg,1872000000000000.0,576290280630666.8,-1295709719369333.2,-0.6921526278682336
SRB,Serbia,0.0,3.734518151012599e+16,3.734518151012599e+16,inf
MNE,Montenegro,3000187022000000.0,1098789951057642.0,-1901397070942358.0,-0.6337595146568026
SDN,Sudan,0.0,1.6759195751270998e+16,1.6759195751270998e+16,inf
