output_group,food_group
Grains,Plant foods
Sheep and goat meat,Sheep & goat
Fruits,Plant foods
Pig meat,Pig meat
Nuts and seeds,Plant foods
Vegetable oils,Plant foods
Starchy roots,Plant foods
Bovine meat,Bovine meat
Aquatic animals,Aquatic animals
Sugars,Plant foods
Eggs,Dairy & eggs
Dairy,Dairy & eggs
Poultry,Poultry meat
Pulses and soy,Plant foods
Vegetables,Plant foods
Offals,Pig meat
