gleam_crop,item_code,item,gleam_country,mt_co2/ha,source,note
Soy,236,Soybeans,Uganda,8.53,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Ukraine,0.8,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,United Republic of Tanzania,2.6,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,United States of America,0.03,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Uruguay,5.84,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Venezuela,8.16,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.","Manually edited GLEAM country name to match GLEAM-i country name, for consistency and ease of matching"
Soy,236,Soybeans,Viet Nam,0.06,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Zambia,8.65,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Soy,236,Soybeans,Zimbabwe,0.03,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Angola,0.27,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Benin,0.54,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Burundi,2.94,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Cameroon,6.93,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Congo,5.93,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Ghana,2.8,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Guatemala,2.8,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Guinea,1.46,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Honduras,4.87,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Indonesia,11.35,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Liberia,5.75,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Malaysia,5.31,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,Togo,1.47,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
Palm,254,Oil palm fruit,United Republic of Tanzania,0.29,"FAO, 2017. Global Livestock Environmental Assessment Model, Version 2.0, Model Description Revision 4. Tables 6.7 and 6.8.",
