FishstatJ commodity metadata for trade matrix,,
FAO. 2021. Fishery and Aquaculture Statistics. Global fish trade - By partner country. 2019 (FishstatJ). In: FAO Fisheries and Aquaculture Division [online]. Rome. Updated 2021. www.fao.org/fishery/statistics/software/fishstatj/en,,
FAO_CODE,NAME.EN,EBXID
034.1.5.6.20,"Skipjack tuna, fresh or chilled",112
034.1.5.6.30,"Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, fresh or chilled",113
034.1.5.6.40,"Albacore (=Longfin tuna), fresh or chilled",114
034.1.5.6.50,"Yellowfin tuna, fresh or chilled",115
034.1.5.6.60,"Bigeye tuna, fresh or chilled",116
034.1.5.6.80,"Swordfish, fresh or chilled",117
034.1.5.6.90,"Tunas, fresh or chilled, nei",118
034.1.5.4.13,"Hairtails, fresh or chilled",119
034.1.5.7.61,"Chub mackerel, fresh or chilled",120
034.1.5.7.69,"Mackerels, nei, fresh or chilled",121
034.1.5.8.70,"Sharks nei, fresh or chilled",122
034.1.5.8.90,"Sharks, rays, skates, fresh or chilled, nei",123
034.1.5.9.90,"Marine fish, fresh or chilled, nei",124
034.1.9.1.10,"Fish livers, fresh or chilled",125
034.1.9.1.20,"Fish roes, fresh or chilled",126
034.1.9.1.90,"Livers, roes, milt, fresh or chilled, nei",127
034.2.3.1.10,"Carps, frozen",128
034.2.3.9.30,"Catfish, frozen",129
034.4.4.1.3.9.30,"Catfish steaks, frozen",130
034.2.3.9.90,"Freshwater fish nei, frozen",131
034.2.4.2.10,"Eels, frozen",132
034.2.4.3.10,"Whitefishes, frozen",133
034.2.4.3.20,"Atlantic salmon and Danube salmon, frozen",134
034.2.4.3.39,"Salmons nei, frozen",136
034.1.5.6,"Tunas, bonitos, billfishes, fresh or chilled",137
034.1.5.7,"Miscellaneous pelagic fish, fresh or chilled",138
034.1.5.8,"Sharks, rays, chimaeras, fresh or chilled",139
034.1.5.9,"Miscellaneous marine fish, fresh or chilled",140
034.1.9.1,"Fish livers, roes, etc., fresh or chilled",141
034.2.3.1,"Carps, barbels and other cyprinids, frozen",142
034.2.3.9,"Miscellaneous freshwater fish, frozen",143
034.2.4.2,"River eels, frozen",144
034.2.4.3,"Salmons, trouts, smelts, frozen",145
034.1.9,"Miscellaneous fish products, fresh or chilled",146
34.2,"Fish, frozen (excluding fillets)",147
034.2.3,"Freshwater fish, frozen",148
034.2.4,"Diadromous fish, frozen",149
034.2.4.3.50,"Trouts and chars, frozen",150
034.2.4.3.60,"Smelts, frozen",151
034.2.4.3.90,"Salmonoids, frozen",152
034.2.5.1.11,"Atlantic halibut, frozen",153
034.2.5.1.12,"Pacific halibut, frozen",154
034.2.5.1.13,"Greenland halibut, frozen",155
034.2.5.1.19,"Halibuts nei, frozen",156
034.2.5.1.39,"Plaices, frozen, nei",157
034.2.5.1.49,"Soles (Solea spp), frozen, nei",158
034.2.5.1.90,"Flatfish nei, frozen",159
035.03.4.3.90,"Salmonoids nei, smoked",160
034.2.5.2.11,"Atlantic cod, frozen",161
034.2.5.2.12,"Pacific cod, frozen",162
034.2.5.2.19,"Cods nei, frozen",163
034.2.5.2.30,"Haddock, frozen",164
034.2.5.2.40,"Saithe (=Pollock), frozen",165
034.2.5.2.45,"Alaska pollock, frozen",166
034.2.5.2.53,"Whiting, frozen",167
034.2.5.2.90,"Gadiformes nei, frozen",169
034.2.5.3.22,"Seabass, frozen",170
034.2.5.3.24,"Snappers, frozen",171
034.2.5.3.36,"Croakers, frozen",172
034.2.5.3.46,"Seabreams, frozen",173
034.2.5.4.09,"Wolffishes (=Catfishes), frozen",174
034.2.5.4.11,"Cusk-eel (=kingklip), frozen",175
034.2.5.1,"Flounders, halibuts, soles, frozen",176
034.2.5.2,"Cods, hakes, haddocks, frozen",177
034.2.5.3,"Miscellaneous coastal fish, frozen",178
034.2.5,"Marine fishes, frozen",179
034.2.5.4.41,"Atlantic redfishes, frozen",180
034.2.5.3.74,"Puffers, frozen",181
034.2.5.3.90,"Miscellaneous coastal fish, nei, frozen",182
034.2.5.7.01,"Capelin, frozen",183
034.2.5.7.02,"Saury, frozen",184
034.2.5.7.03,"Bluefish, frozen",185
034.2.5.7.70,"Jack and horse mackerel, frozen",186
034.2.5.7.75,"Amberjacks, frozen",187
034.2.5.4.90,"Miscellaneous demersal fish, nei, frozen",188
034.2.5.5.11,"Atlantic herring, frozen",189
034.2.5.5.12,"Pacific herring, frozen",190
034.2.5.5.19,"Herrings nei, frozen",191
034.2.5.5.29,"Pilchards(Sardinops spp.) and Sardinellas, frozen",192
034.2.5.5.40,"European sardine, frozen",193
034.2.5.5.50,"Brisling or sprats, frozen",194
034.2.5.5.60,"Anchovies, frozen",195
034.2.5.5.90,"Clupeoids nei, frozen",196
034.2.5.6.29,"Skipjack tuna, frozen",197
034.2.5.6.30,"Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, frozen",198
034.2.5.6.49,"Albacore (=Longfin tuna), frozen, nei",199
034.2.5.6.41,"Albacore (=Longfin tuna), gilled, gutted, frozen",200
034.2.5.6.42,"Albacore (=Longfin tuna), heads-off, etc., frozen",201
034.2.5.6.59,"Yellowfin tuna, frozen, nei",202
034.2.5.6.51,"Yellowfin tuna, gilled, gutted, frozen",203
034.2.5.6.52,"Yellowfin tuna, heads-off, etc., frozen",204
034.2.5.6.69,"Bigeye tuna, frozen, nei",205
034.2.5.6.71,"Marlins, frozen",206
034.2.5.6.80,"Swordfish, frozen",207
034.2.5.6.909,"Tunas nei, frozen",208
034.2.5.6.901,"Tunas, gilled, gutted, frozen, nei",209
034.2.5.6.902,"Tunas, heads-off, etc., frozen, nei",210
034.2.5.4,"Miscellaneous demersal fish, frozen",211
034.2.5.5,"Herrings, sardines, anchovies, frozen",212
034.2.5.6,"Tunas, bonitos, billfishes, frozen",213
034.2.5.4.13,"Hairtails, frozen",214
034.2.5.7.61,"Chub mackerel, frozen",215
034.2.5.7.69,"Mackerels nei, frozen",216
034.2.5.8.70,"Dogfish and other sharks nei (excl. Squalus acanthias, Scyliorhinus spp., Lamna nasus, Prionace glauca), frozen",217
034.2.5.8.80,"Rays and skates (Rajidae), frozen",218
034.2.5.8.90,"Sharks, rays, chimaeras nei, frozen",219
034.2.5.9.90,"Marine fish, frozen, nei",220
034.2.9.1.10,"Fish livers, frozen",221
034.2.9.1.29,"Fish roes, frozen, nei",222
034.2.9.1.90,"Livers, roes, milt, frozen",223
034.3.1.3.1.10,"Carp fillets, fresh or chilled",224
034.3.1.3.9.40,"Perch fillets, fresh or chilled",225
034.3.1.3.9.90,"Freshwater fish fillets, fresh or chilled, nei",226
034.3.1.5.1.31,"European plaice fillets, fresh or chilled",227
034.3.1.5.1.50,"Flounder fillets, fresh or chilled",228
034.3.1.5.1.45,"Common sole fillets, fresh or chilled",229
034.3.1.5.1.90,"Flatfish nei, fillets, fresh or chilled",230
034.3.1.5.2.11,"Atlantic cod, fillets, fresh or chilled",231
034.3.1.5.2.12,"Pacific cod fillets, fresh or chilled",232
034.3.1.5.2.19,"Cods nei, fillets, fresh or chilled",233
034.3.1.5.2.30,"Haddock fillets, fresh or chilled",234
034.3.1.5.2.40,"Saithe (=Pollock) fillets, fresh or chilled",235
034.3.1.5.2.53,"Whiting fillets, fresh or chilled",236
034.3.1.5.2.90,"Gadiformes fillets, fresh or chilled, nei",238
034.2.5.7,"Miscellaneous pelagic fish, frozen",239
034.2.5.8,"Sharks, rays, chimaeras, frozen",240
034.2.5.9,"Miscellaneous marine fish, frozen",241
034.2.9.1,"Fish livers, roes, milt, frozen",242
034.3.1.3.1,"Carps, barbels and other cyprinids fillets, fresh or chilled",243
034.3.1.3.9,"Miscellaneous freshwater fish fillets, fresh or chilled",244
034.3.1.5.1,"Flounders, halibuts, soles fillets, fresh or chilled",245
