FishstatJ commodity metadata for trade matrix,,
FAO. 2021. Fishery and Aquaculture Statistics. Global fish trade - By partner country. 2019 (FishstatJ). In: FAO Fisheries and Aquaculture Division [online]. Rome. Updated 2021. www.fao.org/fishery/statistics/software/fishstatj/en,,
FAO_CODE,NAME.EN,EBXID
036.0.1.3.3,"Lobsters, spiny-rock lobsters, etc., live, fresh or chilled",478
036.0.1.3.4,"Squat-lobsters, etc., fresh or chilled",479
036.0.1.3.5,"Shrimps, prawns, etc., live, fresh or chilled",480
036.0.1.3.9,"Miscellaneous marine crustaceans, live, fresh or chilled",481
036.0.1.3.1.10,"Crayfish (freshwater), live, fresh or chilled",485
036.0.1.3.1.90,"Freshwater crustaceans nei, live, fresh or chilled",486
036.0.1.3.2.90,"Crabs, peeled or not, live, fresh or chilled, nei",487
036.0.1.3.3.11,"Spiny lobsters (Panulirus spp.), whole, fresh or chilled",488
036.0.1.3.3.12,"Spiny lobsters (Panulirus spp.), meat or tails, fresh or chilled",489
036.0.1.3.3.21,"Rock lobsters (Jasus spp.), whole, fresh or chilled",490
036.0.1.3.3.22,"Rock lobsters (Jasus spp.), meat or tails, fresh or chilled",491
036.0.1.3.3.91,"Lobsters nei, whole, fresh or chilled",492
036.0.1.3.3.31,"Norway lobsters (Nephrops spp.), whole, fresh or chilled",493
036.0.1.3.5.20,"Cold-water shrimps and prawns Pandalus spp, in shell or not, live, fresh or chilled",494
036.0.1.3.5.30,"Shrimps Crangon crangon, in shell or not, live, fresh or chilled",495
036.0.1.3.5.99,"Shrimps and prawns, live, fresh or chilled, nei",496
036.0.1.3.5.91,"Shrimp tails, fresh or chilled",497
036.0.1.3.9.90,"Crustaceans, live, fresh, chilled or boiled in water, nei",498
036.0.1.4,"Crustaceans, frozen",499
036.0.1.4.2,"Crabs and crab meat, frozen",500
036.0.1.4.3,"Lobsters and lobster meat, frozen",501
036.0.1.4.5,"Shrimps, prawns etc., frozen",502
036.0.1.4.2.19,"King crab, nei, frozen",503
036.0.1.4.2.11,"King crab meat, frozen",504
036.0.1.4.2.29,"Tanner crab, nei, frozen",505
036.0.1.4.2.21,"Tanner crab meat, frozen",506
036.0.1.4.2.22,"Tanner crab sections, frozen",507
036.0.1.4.2.99,"Crabs nei, frozen",508
036.0.1.4.2.91,"Crab meat, frozen",509
036.0.1.4.3.11,"Spiny lobsters (Panulirus spp.), whole, frozen",510
036.0.1.4.3.12,"Spiny lobsters (Panulirus spp.), meat or tails, frozen",511
036.0.1.4.3.21,"Rock lobsters (Jasus spp.), whole, frozen",512
036.0.1.4.3.22,"Rock lobsters (Jasus spp.), meat or tails, frozen",513
036.0.1.4.3.91,"Lobsters nei, whole, frozen",514
036.0.1.4.5.99,"Shrimps and prawns, frozen, nei",515
036.0.1.4.5.91,"Shrimps and prawns, not cooked, frozen",516
036.0.1.4.5.92,"Shrimps and prawns, cooked, frozen",517
036.0.1.4.5.93,"Shrimps and prawns, tails, shell on, frozen",518
036.0.1.4.5.94,"Shrimps and prawns, peeled, frozen",519
036.0.1.4.5.95,"Shrimps and prawns peeled, deveined, breaded, frozen",520
036.0.1.4.5.96,"Shrimps and prawns, fan tails, frozen",521
036.0.1.5,"Crustaceans, dried, salted or in brine, smoked",522
036.0.2.1,"Molluscs live, not for human consumption",523
036.0.2.3,"Molluscs, live, fresh or chilled",525
036.0.1.4.6,"Krill, frozen",526
036.0.1.4.9,"Miscellaneous marine crustaceans, frozen",527
036.0.1.5.2,"Crabs, dried, salted or in brine, smoked",528
036.0.1.5.5,"Shrimps, prawns, etc., dried, salted or in brine, smoked",529
036.0.1.5.9,"Miscellaneous crustaceans, dried, salted or in brine, smoked",530
036.0.2.1.9,"Miscellaneous molluscs live, not for human consumption",531
036.0.2.3.2,"Univalves, live, fresh or chilled",533
036.0.2.3.3,"Oysters, live, fresh or chilled",534
036.0.2.3.4,"Mussels, live, fresh or chilled",535
036.0.2.3.5,"Scallops, pectens, etc., live, fresh or chilled",536
036.0.2.3.6,"Clams, cockles, arkshells, etc., live, fresh or chilled",537
036.0.2.3.7,"Cephalopods live, fresh or chilled",538
036.0.1.4.6.10,"Krill, etc. frozen",539
036.0.1.4.9.90,"Crustaceans nei, even smoked, frozen",540
036.0.1.5.2.90,"Crabs, dried, salted or in brine, smoked, nei",541
036.0.1.5.5.90,"Shrimps and prawns, dried, salted or in brine, smoked nei",542
036.0.1.5.9.90,"Crustaceans nei, dried, salted or in brine, smoked",543
036.0.2.1.9.90,"Molluscs live, spat, for breeding and other purposes, nei",544
036.0.2,"Molluscs & oth. aq.inv., live, fresh, chilled, frozen, salted, in brine or dried",545
036.0.2.3.2.10,"Abalones, shucked or not, live,fresh or chilled",546
036.0.2.3.2.90,"Univalves, live, fresh or chilled, nei",547
036.0.2.3.3.10,"Flat oysters, shucked or not, live, fresh or chilled",548
036.0.2.3.3.21,"Oysters, in shell, live fresh or chilled",549
036.0.2.3.3.22,"Oysters, shucked, fresh or chilled",550
036.0.2.3.3.29,"Oysters, live fresh or chilled, nei",551
036.0.2.3.4.90,"Mussels, live, fresh or chilled, nei",552
036.0.2.3.5.90,"Scallops, shucked, fresh or chilled, nei",553
036.0.2.3.6.10,"Clams, shucked or not, live, fresh or chilled",554
036.0.2.3.6.90,"Bivalves, live, fresh or chilled, nei",555
036.0.2.3.7.10,"Cuttlefishes (Sepia off., Rossia macrosoma, Sepiola rondeleti), live, fresh or chilled",556
036.0.2.3.7.19,"Cuttlefishes, live, fresh or chilled, nei",557
036.0.2.3.7.30,"Squids (Ommastrephes sagittatus, Loligo spp.), live, fresh or chilled",558
036.0.2.3.7.35,"Squids (Illex spp.), live, fresh or chilled",559
036.0.2.3.7.39,"Squids, live,fresh or chilled, nei",560
036.0.2.3.7.50,"Octopus, live, fresh or chilled",561
036.0.2.3.7.90,"Cephalopods, live, fresh or chilled, nei",562
036.0.2.4,"Molluscs, frozen",563
036.0.2.5,"Molluscs, dried, salted or in brine, smoked",564
036.0.2.3.9,"Miscellaneous molluscs and invertebrates, live, fresh or chilled",565
036.0.2.4.2,"Univalves, frozen",566
036.0.2.4.3,"Oysters, frozen",567
036.0.2.4.4,"Mussels, frozen",568
036.0.2.4.5,"Scallops, pectens, etc., frozen",569
036.0.2.4.6,"Clams, cockles, arkshells, etc., frozen",570
036.0.2.4.7,"Cephalopods, frozen",571
036.0.2.4.9,"Miscellaneous molluscs and aq. invertebrates, frozen",572
036.0.2.5.3.21,"Oysters, dried, salted or in brine, smoked",573
036.0.2.5.7,"Cephalopods, dried, salted, in brine or smoked",574
036.0.2.5.9,"Miscellaneous molluscs & aq.invertebrates, dried, salted or in brine, smoked",575
036.0.3.1,"Crustaceans and molluscs, live, for breeding and other purposes",576
036.0.3.2,"Crustaceans and molluscs, live, for human food",577
036.0.3.3,"Crustaceans and molluscs, fresh or chilled",578
036.0.2.3.9.91,"Molluscs nei, live, fresh or chilled",579
036.0.2.4.2.10,"Abalone (Haliotis spp.), frozen",580
036.0.2.4.2.90,"Univalves nei, frozen",581
036.0.2.4.3.10,"Flat oysters, frozen",582
036.0.2.4.3.20,"Oysters, frozen",583
036.0.2.4.4.90,"Mussels nei, frozen",584
036.0.2.4.5.10,"Scallops, including queen scallop, frozen",585
036.0.2.4.6.10,"Clam meat, frozen",586
036.0.2.4.6.90,"Bivalves nei, frozen",587
036.0.2.4.7.10,"Cuttlefishes (Sepia off., Rossia macrosoma, Sepiola rondeleti), frozen",588
036.0.2.4.7.19,"Cuttlefishes, frozen",589
036.0.2.4.7.321,"Squids (Ommastrephes sagittatus, Loligo spp.), frozen",590
036.0.2.4.7.35,"Squids (Illex spp.), frozen",591
036.0.2.4.7.391,"Squid rings, frozen",592
036.0.2.4.7.39,"Squids nei, frozen",593
036.0.2.4.7.50,"Octopus, frozen",594
036.0.2.4.7.90,"Cephalopods nei, frozen",595
036.0.2.4.9.91,"Molluscs nei, frozen",596
036.0.2.5.3.22,"Oysters, dried",597
036.0.2.5.7.30,"Squids, dried, salted or in brine, smoked",599
036.0.2.5.7.35,"Squids, salted or pickled",600
036.0.2.5.7.90,"Cephalopods nei, dried, salted or in brine, smoked",601
036.0.2.5.9.91,"Molluscs nei, dried, salted, pickled, smoked etc.",602
036.0.3.1.90,"Crustaceans and molluscs, live, for breeding and other purposes, nei",603
036.0.3.2.90,"Crustaceans and molluscs, live, for human food nei",604
036.0.3.3.90,"Crustaceans and molluscs, nei, fresh or chilled",605
037.1.1.3,"Freshwater fish prepared or preserved, not minced",606
036.0.3.4,"Crustaceans and molluscs, frozen",607
036.0.3.5,"Crustaceans and molluscs, dried, salted or in brine",608
036.0.3.4.90,"Crustaceans and molluscs, nei, frozen",609
036.0.3.5.90,"Crustaceans and molluscs, dried, salted or in brine, nei",610
37.1,Fish prepared or preserved,611
037.1.1,"Fish prepared or preserved, whole or in pieces, not minced",612
037.1.1.3.9,"Miscellaneous freshwater fish, prepared or preserved, not minced",613
037.1.1.4.3,"Salmons, trouts, smelts, prepared or preserved, not minced",614
037.1.1.5.2,"Cods, hakes, haddocks, etc., prep. or pres.,  not minced",615
037.1.1.5.5,"Herrings, sardines, anchovies, etc., prep. or pres., not minced",616
037.1.1.3.9.90,"Miscellaneous freshwater fish, prepared or preserved, not minced, nei",617
037.1.1.4.3.20,"Atlantic salmon, not minced, prepared or preserved",618
037.1.1.4.3.259,"Pink salmon, not minced, prepared or preserved, nei",619
037.1.1.4.3.26,"Chum salmon, not minced, prepared or preserved",620
037.1.1.4.3.279,"Sockeye salmon, not minced, prepared or preserved, nei",621
037.1.1.4.3.28,"Chinook salmon, not minced, prepared or preserved",622
037.1.1.4.3.29,"Coho salmon, not minced, prepared or preserved",623
037.1.1.4.3.30,"Pacific salmons nei, not minced, prepared or preserved",624
037.1.1.4.3.399,"Salmon nei, not minced, prepared or preserved",625
037.1.1.5.2.40,"Saithe (=Pollock), not minced, prepared or preserved",626
037.1.1.5.2.69,"Hake, not minced, prepared or preserved",627
037.1.1.5.5.119,"Atlantic herring, not minced, prep. or pres., nei",628
037.1.1.5.5.111,"Atlantic herring, not minced, in oil, prep. or pres.",629
037.1.1.5.5.112,"Atlantic herring, not minced, marinated, prep. or pres.",630
037.1.1.5.5.113,"Atlantic herring, not minced, smoked in oil, prep. or pres.",631
037.1.1.5.5.114,"Atlantic herring, not minced, smoked in tomato sauce, prep. or pres.",632
037.1.1.5.5.194,"Herring kippers, prepared or preserved",633
037.1.1.5.5.199,"Herrings prepared or preserved, not minced, nei",634
037.1.1.5.5.25,"South African pilchard, prep. or pres., not minced",635
037.1.1.5.5.201,"Pilchards (Sardinops spp.), prep. or pres., not minced, nei",636
037.1.1.5.5.409,"European sardine, prepared or preserved, not minced, nei",637
037.1.1.5.5.401,"European sardine, prepared or preserved, not minced, in oil",638
037.1.1.5.5.402,"European sardine, prepared or preserved, not minced, in tomato sauce",639
037.1.1.5.5.403,"European sardine, prepared or preserved, not minced, smoked",640
037.1.1.5.5.50,"Sprat, prepared or preserved, not minced",641
037.1.1.5.5.609,"Anchovies, prepared or preserved, not minced",642
037.1.1.5.5.909,"Clupeoids, prepared or preserved, not minced, nei",643
037.1.2,Fish products prepared or preserved,644
037.1.1.5.6,"Tunas, bonitos, billfishes, etc., prepared or preserved, not minced",645
037.1.1.5.7,"Miscellaneous pelagic fish, prepared or preserved, not minced",646
037.1.1.5.9,"Miscellaneous marine fish prepared or preserved, whole or in pieces, not minced",647
037.1.2.1,"Caviar and caviar substitutes, roes, etc.",648
037.1.1.5.6.101,"Bonito (Sarda spp.), prepared or preserved, not minced, in oil",649
037.1.1.5.6.109,"Bonito (Sarda spp.), not minced, prepared or preserved, nei",652
037.1.1.5.6.201,"Skipjack, prepared or preserved, whole or in pieces, not minced, in oil",653
037.1.1.5.6.209,"Skipjack prepared or preserved, not minced, nei",655
037.1.1.5.6.401,"Albacore (=Longfin tuna), prepared or preserved, not minced, in oil",656
037.1.1.5.6.409,"Albacore (=Longfin tuna), prep. or pres., not minced, nei",658
037.1.1.5.6.911,"Tunas prepared or preserved, not minced, nei",659
037.1.1.5.6.902,"Tuna loins, prepared or preserved",661
037.1.1.5.6.903,"Tunas prepared or preserved, not minced, in airtight containers",662
037.1.1.5.6.905,"Tunas prepared or preserved, not minced, not in airtight containers",664
037.1.1.5.6.909,"Tunas, flakes and grated, prepared or preserved",668
037.1.1.5.7.612,"Chub mackerel prepared or preserved, not minced, in oil",669
037.1.1.5.7.613,"Chub mackerel prepared or preserved, not minced, in tomato sauce",670
037.1.1.5.7.611,"Chub mackerel prepared or preserved, not minced",671
037.1.1.5.7.62,"Atlantic mackerel prepared or preserved, not minced",672
037.1.1.5.7.691,"Mackerel prepared or preserved, not minced, nei",673
037.1.1.5.7.692,"Mackerels, fillets, prepared or preserved",674
037.1.1.5.7.693,"Mackerels nei, prep. or pres., not minced, in oil or in brine",675
037.1.1.5.9.90,"Marine fish nei, prepared or preserved, not minced",676
037.1.2.1.10,Caviar,678
037.1.2.1.20,Caviar substitutes,679
037.1.2.1.29,Caviar and caviar substitutes,680
037.1.3.5.5.19,"Herrings minced, prepared or preserved",681
037.1.2.1.30,"Cod roe, prepared",682
037.1.2.1.40,"Herring roe, prepared",683
037.1.2.1.90,"Fish roes, prepared, nei",684
037.1.3,"Fish minced, products and preparations",685
037.1.3.4.3.39,"Salmon minced, prepared or preserved",690
037.1.3.4.3.90,"Salmonoids nei, minced, prepared or preserved",691
037.1.1.5.5.198,"Herrings, not minced, prep. or pres., not in airtight containers",692
037.1.1.5.5.193,"Herrings, not minced, smoked, in oil or in tomato sauce, prep. or pres.",693
037.1.1.5.5.195,"Herring fillets, incl. coated in batter, cooked or not",694
037.1.1.5.5.602,"Anchovies, semi-preserved",695
037.1.1.6.91,"Fish fillets, prep. or pres, incl. raw, coated in batter or breadcrum, cooked or not, frozen",698
037.1.1.6.92,"Fish spiced, marinated, etc., not minced, prep. or pres.",699
037.1.3.5.9.98,"Fish, sauce",700
037.1.3.5.9.911,"Balls, cakes, sausages, etc.prepared from minced fish",701
037.1.3.5.9.99,"Marine fish nei, minced, prepared or preserved",703
37.2,"Crustaceans, molluscs, other aq. inv., prepared or preserved",704
037.2.1,"Crustaceans, prepared or preserved",705
037.2.1.1,"Crustaceans, prep. or pres., whether or not in airtight containers",706
037.2.2,"Molluscs and other aq. inv., prepared or preserved",708
037.2.2.1,"Molluscs, prep. or pres., whether or not in airtight containers",709
037.2.1.1.2,"Crabs, prepared or preserved",710
037.2.1.1.5,"Shrimps, prawns, etc., prepared or preserved",712
037.2.1.1.9,"Miscellaneous marine crustaceans, prepared or preserved",713
037.2.2.1.2,"Univalves meat, prepared or preserved",716
037.2.2.1.3,"Oyster meat, prepared or preserved",717
037.2.2.1.4,"Mussels, prepared or preserved",718
037.2.2.1.5,"Scallops, pectens, etc., prepared or preserved",719
037.2.1.1.2.10,"King crab meat, prepared or preserved",720
037.2.1.1.2.909,"Crab meat nei, prepared or preserved",721
037.2.1.1.3.20,"Lobster tails or meat, prep. or pres.",722
037.2.1.1.5.901,"Shrimps, peeled, cooked, prep. or pres.",723
037.2.1.1.5.902,"Shrimps, breaded, raw and cooked, prep. or pres.",724
037.2.1.1.5.909,"Shrimps, prawns, prepared or preserved, nei",725
037.2.1.1.9.99,"Crustaceans nei, prepared or preserved",726
037.2.1.1.5.904,"Shrimps and prawns, prep. or pres., not in airtight containers",727
037.2.1.1.9.91,Crustacean preparations incl. paste,728
037.2.2.1.2.10,"Abalone meat, prepared or preserved",729
037.2.2.1.2.90,"Univalves meat, prepared or preserved, nei",730
037.2.2.1.3.20,"Oyster meat, prepared or preserved, nei",731
037.2.2.1.4.99,"Mussel meat, prepared or preserved, nei",733
037.2.2.1.5.90,"Scallop meat, prepared or preserved",734
037.2.3,"Crustaceans and molluscs, canned or preparations",737
037.2.2.1.6,"Clams, cockles, arkshells, etc., prep. or pres.",738
037.2.2.1.7,"Cephalopods, prepared or preserved",739
037.2.2.1.9,"Miscellaneous molluscs and aq. invertebrates, prep. or pres.",740
037.2.3.9,"Crustaceans and molluscs, prepared or preserved",743
037.2.2.1.6.109,"Clams, prep. or pres., whether or not in airtight containers",745
037.2.2.1.6.102,"Clam chowder, canned",747
037.2.2.1.6.90,"Clams, cockles, arkshells, etc., prep. or pres., nei",748
037.2.2.1.7.99,"Cephalopods, prepared or preserved, nei",749
037.2.2.1.9.91,"Molluscs nei, prepared or preserved",750
037.2.2.1.7.91,"Cephalopods, preparations, not in airtight containers",751
037.2.2.1.9.94,"Mollusc preparations, not in airtight containers",752
037.2.3.9.99,"Crustaceans and molluscs, prepared or preserved, nei",753
037.2.3.9.91,"Crustacean and mollusc preparations, not in airtight containers",754
411,"Aquatic animals, oils and fats",755
411.11,Fish liver oils,756
411.12,Fish oils and fats (other than fish liver oil),757
411.13,Oils and fats of marine mammals,758
411.14,"Oils and fats, crude or refined, of aquatic animal origin",759
411.11.5.2,"Cods, hakes, haddocks, liver oils",760
411.11.5.9,Miscellaneous fish liver oils,761
411.12.5.3,"Miscellaneous coastal fish, oils",762
411.12.5.4,"Miscellaneous demersal fish, oils",763
411.12.5.5,"Herrings, sardines, anchovies, body oils",764
411.12.5.9,Miscellaneous fish body oils,765
411.13.1,Oils and fats etc. of marine mammals,766
411.14.1,Oils and fats of aquatic animals,767
411.11.5.2.19,Cod liver oil,768
411.11.5.2.45,"Alaska pollock, liver oil",769
411.11.5.2.60,Hake liver oil,770
411.11.5.8.70,Shark liver oil,771
411.11.5.9.90,"Fish liver oils, nei",772
411.12.5.3.67,Sandeel oil,773
411.12.5.4.49,Redfish oil,774
411.12.5.7.01,Capelin oil,775
411.12.5.7.70,Jack mackerel oil,776
411.12.5.5.19,Herring oil,777
411.12.5.5.20,Pilchard oil,778
411.12.5.5.30,Menhaden oil,779
411.12.5.5.40,Sardine oil,780
411.12.5.5.60,Anchovy oil,781
411.12.5.5.65,Anchoveta oil,782
411.12.5.5.90,"Clupeoid oils, nei",783
411.12.5.9.90,"Fish body oils, nei",784
411.13.1.10,Whale oil,785
411.13.1.20,Sperm oil,786
411.13.1.30,Seal oil,787
411.13.1.90,"Marine mammal oils, nei",788
411.14.1.70,Squid oil,789
411.14.1.90,"Oils and fats of aquatic animals, nei",790
081.42.1,Fishmeal,791
081.42.1.3,Freshwater fish meal,792
081.42.1.5.2,"Cods, hakes, haddocks, fish meal",793
081.42.2,Crustacean meals,796
081.42.3,Marine mammals meal,797
81.99,"Fish solubles, silages, etc.",798
081.99.1,Solubles from fish and marine mammals,799
081.99.2,Fish solubles and silages,800
081.42.1.3.9,Miscellaneous freshwater fish meal,801
081.42.1.5.3,Meal from miscellaneous coastal fishes,804
081.42.1.5.4,Meal from miscellaneous demersal fishes,805
081.42.1.5.5,"Herrings, sardines, anchovies, meal",806
081.42.1.5.6,"Meal from tunas, bonitos, billfishes, etc.",807
081.42.1.5.7,Meal from miscellaneous pelagic fishes,808
081.42.1.5.9,Miscellaneous marine fish meal,809
081.42.2.2,"Crabs, etc. meal",811
081.42.2.3,"Meal from lobsters, spiny-rock lobsters, etc.",812
081.42.2.5,"Meal from shrimps, prawns, etc.",813
081.42.2.9,Miscellaneous crustaceans meal,814
081.42.3.1,"Meat meals, liver meals from marine mammals",815
081.99.1.1,Solubles from fish and marine mammals etc.,816
081.99.2.1,"Fish silages, etc",817
081.42.1.3.9.90,"Freshwater fish meal, nei",818
081.42.1.5.2.19,Cod meal,819
081.42.1.5.2.51,Blue whiting meal,820
081.42.1.5.2.60,Hake meal,821
081.42.1.5.4.49,Redfish meal,822
081.42.1.5.2.96,"White-fish meal, nei",823
081.42.1.5.4.19,Lanternfish meal,824
081.42.1.5.3.67,Sandeel meal,825
081.42.1.5.7.01,Capelin meal,826
081.42.1.5.7.70,Jack mackerel meal,827
081.42.1.5.5.19,Herring meal,828
081.42.1.5.5.20,Pilchard meal,829
081.42.1.5.5.30,Menhaden meal,830
081.42.1.5.5.40,Sardine meal,831
081.42.1.5.5.60,Anchovy meal,832
081.42.1.5.5.65,Anchoveta meal,833
081.42.1.5.5.90,"Clupeoid fish meal, nei",834
081.42.1.5.6.90,Tuna meal,835
081.42.1.5.7.69,Mackerel meal,836
081.42.1.5.9.90,"Fishmeals, nei",837
081.42.2.2.90,Crab meal,839
081.42.2.3.90,Lobster meal,840
081.42.2.5.90,Shrimp meal,841
081.42.2.9.90,"Crustacean meal, nei",842
081.42.3.1.10,Meat meal from whales,843
081.42.3.1.30,Seal meat meal,844
081.42.3.1.90,Liver meal from aquatic mammals,845
081.99.1.1.80,Solubles from fish,846
081.99.1.1.90,Solubles from marine mammals,847
081.99.2.1.90,"Fish silages, nei",848
036.0.1.4.5.30,"Common shrimp (Crangon crangon), even smoked, frozen",849
036.0.2.3.2.20,"Top shell, live, fresh or chilled",850
037.1.1.4.3.90,"Salmonoids, not minced, prepared or preserved",852
034.1.5.7.62,"Atlantic mackerel, fresh or chilled",853
037.1.1.5.2.90,"Gadiformes, not minced, prepared or preserved",854
35.01,Fishmeal fit for human consumption,855
036.0.2.5.7.50,"Octopus, dried, salted or in brine, smoked",857
035.02.1.5.9,"Miscellaneous marine fish, dried, whether or not salted",859
035.02.3,"Fish fillets, dried, salted or in brine",860
035.02.3.3,"Freshwater fish, fillets, dried, salted or in brine",861
035.02.3.4,"Diadromous fish, fillets, dried, salted or in brine",862
035.02.3.5,"Marine fishes, fillets, dried, salted or in brine",863
81.42,"Flours and meals of fish, crustaceans or molluscs, unfit for human consumption",871
037.1.1.5.4,"Miscellaneous demersal fish, prepared or preserved, not minced",872
037.1.1.5.4.90,"Miscellaneous demersal fish, not minced, prep. or pres., nei",873
037.1.1.5.7.70,"Jack and horse mackerel prepared or preserved, not minced",874
3,"Fish, crustaceans, molluscs and preparations",875
037.2.1.1.5.903,Shrimp paste,877
037.1.3.5.9.94,Fish paste,881
037.1.3.5.9.95,Preparations of surimi,882
037.1.2.1.50,"Lumpfish roes, prepared",883
034.2.9.2.10,"Fish heads, tails, maws, tongues, nei frozen",884
035.02.3.9.2.10,"Fish heads, tail, maws etc., smoked, dried, salted, or in brine",885
034.4.4.2.5.2.18,"Cod, minced, frozen",886
034.4.4.2.5.2.30,"Haddock, minced, frozen",887
034.4.4.2.5.2.40,"Saithe (=Pollock), minced, frozen",888
034.4.4.2.5.2.70,"Ling meat, whether or not minced, frozen",889
034.4.4.2.5.4.41,"Atlantic redfish, minced, frozen",890
034.4.4.2.5.3.01,"Sea catfish, minced, frozen",892
036.0.2.5.4.90,"Mussels, dried, salted or in brine, smoked",893
036.0.2.3.6.30,"Arkshell, fresh or chilled",894
036.0.2.4.6.30,"Arkshells, frozen",895
411.12.5.2,"Cods, hakes, haddocks, oils",896
411.12.5.2.45,"Alaska pollock, oil, nei",897
411.12.5.8.70,Shark oil,898
034.3.1.3.9.30,"Catfish fillets, fresh or chilled",899
034.1.4.5.10,"Milkfish, fresh or chilled",900
034.2.5.1.902,"Flatfish, dressed, frozen, nei",901
037.1.2.1.95,"Fish livers, roes, etc., prepared or preserved, nei",902
035.03.5.2.90,"Gadiformes, smoked",904
81,"Meals, solubles and similar animal feedingstuffs, of aquatic animal origin",905
036.0.2.5.7.80,"Cephalopods, smoked",909
037.1.1.5,"Marine fish, prepared or preserved, not minced,",910
34.5,"Fish, fresh, chilled or frozen",911
35.05,"Fish, dried, salted or smoked",912
036.0.4,"Crustaceans and molluscs, fresh, frozen, dried, salted, etc.",913
037.1.3.6.90,"Fish minced nei, prepared or preserved",914
037.1.1.4,"Diadromous fish prepared or preserved, not minced",915
411.15,"Aquatic animals, oils and fats, nei",918
035.03.5.5.90,"Clupeoids nei, smoked",919
036.0.1.3.5.92,"Shrimps and prawns, peeled, fresh or chilled",920
036.0.2.3.9.92,"Molluscs nei, shucked, fresh or chilled",921
036.0.2.3.9.95,"Molluscs and other aqu. invertebrates, live, fresh or chilled, nei",922
036.0.2.4.9.95,"Molluscs and other aq.invertebrates, frozen",923
036.0.2.5.9.95,"Molluscs and other aq. invertebrates, dried, salted, smoked etc.",924
291.1.5,Corals and shells,925
291.1.5.10,Coral and the like,926
291.1.5.21,Mother of pearl shells,928
291.1.5.22,Abalone shells,929
291.1.5.23,Oyster shells,930
291.1.5.24,Sea snail shells,931
291.1.5.25,Trochus shells,932
291.1.5.29,Shells nei,933
291.1.5.30,Powder and waste of shells,934
291.9.6.10,"Fish waste, nei",935
291.9.7,Natural sponges,936
291.9.7.10,Natural sponges raw,937
291.9.7.20,Natural sponges other than raw,938
291.9.9,"Fish crustacean and mollusc products, unfit for human consumption",939
291.9.9.10,Fish unfit for human consumption,940
291.9.9.20,Crustaceans & molluscs unfit for human consumption,941
291.9.9.30,Cuttlefish bones,942
291.9.9.90,"Fish, crustacean and mollusc products, unfit for human consumption nei",943
292.9.1,Seaweeds and aquatic plants and products thereof,944
292.9.1.11,Agar agar in strips,946
292.9.1.12,Agar agar in blocks,947
292.9.1.13,Agar agar in powder,948
037.1.1.5.5.901,"Clupeoids, prep. or pres., not minced, not in airtight containers",949
037.1.1.5.7.614,"Chub mackerel prepared or preserved, not minced, in brine",950
036.0.2.5.7.801,"Cuttlefish and squids, smoked",951
037.1.1.4.2,"River eels, prepared or preserved, not minced",952
037.1.1.4.2.10,"River eels, prepared or preserved, not minced, nei",953
037.1.1.5.2.19,"Cods, not minced, prepared or preserved",954
037.1.1.5.3,"Miscellaneous coastal fish, prepared or preserved, not minced",955
037.1.1.5.3.90,"Miscellaneous coastal fish, not minced, prep. or pres., nei",956
037.2.1.1.3.10,"Spiny-rock lobster, prepared or preserved",957
037.2.2.1.7.31,"Squids, seasoned",958
35,"Fish, dried, salted or in brine; smoked fish",960
035.02.1.5.2.45,"Alaska pollock, dried, unsalted",961
035.02.2.5.5.61,"Anchovies, boiled in saltwater",962
034.3.2.1.4.2.39,"Salmon steaks, fresh or chilled",963
034.3.2.1.5.90,"Fish steaks, fresh or chilled, nei",964
034.3.1.4,"Diadromous fish fillets, fresh or chilled",965
034.3.1.4.3,"Salmons, trouts, smelts fillets, fresh or chilled",966
034.3.1.4.3.39,"Salmon fillets, fresh or chilled",967
034.3.1.4.3.90,"Salmonoids fillets, fresh or chilled, nei",968
035.02.3.4.3.90,"Salmonoids fillets, dried, salted or in brine, but not smoked",969
035.02.2.5.5.11,"Herring, salted or in brine",970
035.02.2.5.5.65,"European anchovy, salted",971
035.02.1.5.5.90,"Clupeoids nei, dried, unsalted",972
035.02.1.5.5.191,"Herrings, dried, unsalted",973
035.02.1.5.5.20,"Pilchards, dried, unsalted",974
035.02.1.5.5,"Herrings, sardines, anchovies, etc., dried, whether or not salted",975
035.02.1.5.3.67,"Sandeels, dried, unsalted",976
037.1.3.5.9.92,Kamaboko,977
037.1.3.5.9.93,Tsukudani,978
037.1.3.5.9.912,Fish cakes,979
035.02.1.5.6.90,"Tunas nei, dried, unsalted",981
035.02.1.5.3,"Miscellaneous coastal fish, dried, whether or not salted",982
035.02.1.5.6,"Tunas, bonitos, billfishes, etc., dried, whether or not salted",983
292.9.1.19,Agar agar nei,984
292.9.1.21,Rock laver,986
292.9.1.22,Green laver,987
292.9.1.23,"Laver, smoked",988
292.9.1.24,"Laver, dry",989
292.9.1.29,"Laver, nei",990
292.9.1.30,Hizikia fusiforme (brown algae),991
292.9.1.40,Undaria pinnafitida (brown algae),992
292.9.1.50,Kelp,993
292.9.1.51,Kelp meal,994
292.9.1.60,Carrageen (Chondrus crispus),995
292.9.1.71,"Other green algae (ulva, enteromorpha)",997
292.9.1.72,"Other brown algae (laminaria, eisenia/ecklonia)",998
292.9.1.73,Other red algae,999
292.9.1.78,"Seaweeds and other algae, fit for human consumption, nei",1000
292.9.1.79,"Seaweeds and other algae, unfit for human consumption, nei",1001
