item,footprint_type,attribute,n,mean,std,min,5%,25%,50%,75%,95%,max
Aquatic animals,kg_co2e,footprint,74.0,6.070487607793887,7.876911572104629,0.2666666666666666,0.5710833333333334,2.370833333333333,3.791666666666667,8.1360875,12.098333333333333,58.333333333333336
Aquatic animals,mg_abx,footprint,6.0,166.6666666666667,117.49231653365445,45.00000000000001,52.91666666666667,82.08333333333334,135.0,239.16666666666674,325.4166666666667,346.6666666666667
Bovine meat,kg_co2e,footprint,173.0,64.03358806544762,45.329459727637,15.327337083115196,20.7445337567718,30.07525937700099,53.12231586315577,92.79229792804166,133.73738703760614,302.40835571325647
Bovine meat,mg_abx,footprint,226.0,156.9703220400514,111.88797557312454,3.4025119043275835,38.03813498802817,59.346345710040005,144.39356256218278,190.90073253442188,313.974272739744,821.1555483006578
Crops,kg_co2e,footprint,448.0,0.5263058021490812,0.6540000337660395,0.015,0.04246,0.18,0.32,0.57375,1.914699999999999,5.0
Crops,mg_abx,footprint,8.0,0.44643362871322584,1.0018102157007989,0.0,0.0,0.0,0.0004766284368211,0.18290716643032362,2.1022455977010104,2.8460786677228143
Pig meat,kg_co2e,footprint,146.0,9.8133805947229,8.555968755597762,0.0138595425258341,5.075973157471582,6.595941597941976,8.008003244225554,9.787619947619458,16.105245637913548,64.94229847714324
Pig meat,mg_abx,footprint,191.0,230.31261538088938,208.93301758246966,1.8730515738233504,25.1014116008282,56.28227915171439,188.6767323251814,339.3081070932839,637.5161321949511,1409.619076034689
Poultry meat,kg_co2e,footprint,199.0,3.9825315191720954,2.821168551222447,0.1992510470671908,1.44081964803302,2.2449378326999807,3.081097384394057,4.76906445912704,10.261479543218554,21.282654290105675
Poultry meat,mg_abx,footprint,189.0,39.83875631691097,32.042931959280686,0.7236757910502115,4.3016597376292545,11.951841912506971,39.7238250758907,54.20558361043452,94.33226502471986,222.61935890168525
Sheep & goat,kg_co2e,footprint,176.0,37.65301487191343,20.905881838938434,9.493667799404314,13.180833200406743,24.684805443543862,35.46472316692549,47.236872512238904,61.3916656553822,201.78491507632248
Sheep & goat,mg_abx,footprint,226.0,629.4362549567977,645.7750955293116,4.952265819824609,137.8403627936487,137.8517380334839,484.2695171751262,959.956979444592,1094.9164067605634,6685.304134281158
