income_class,origin,footprint
High income,Domestic,6.996534781324634
Low income / unclassified,Domestic,0.580425831732026
Lower middle income,Domestic,9.152737288504184
Upper middle income,Domestic,39.75595369811113
High income,Exported,3.384814738269861
Low income / unclassified,Exported,0.0065979478516001765
Lower middle income,Exported,0.7183409249120795
Upper middle income,Exported,1.8113029605726143
