country_code,country,origin,diet,type,output_group,fbs_item_code,fbs_item,footprint_type,region,income_class,oecd,diet_footprint,population,diet_footprint_whole_pop
9,Argentina,domestic,baseline,t_animal,Pig meat,2733,Pigmeat,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,3.744592229597396,44146750.0,0.16531157701197885
9,Argentina,domestic,baseline,t_animal,Poultry,2734,Poultry Meat,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,2.118170878084583,44146750.0,0.09351036021208056
9,Argentina,domestic,baseline,t_animal,Sheep and goat meat,2732,Mutton & Goat Meat,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,1.01060784344,44146750.0,0.04461505181238482
9,Argentina,imported,baseline,a_animal,Aquatic animals,2761,Freshwater Fish,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.01738560915248197,44146750.0,0.0007675181408523335
9,Argentina,imported,baseline,a_animal,Aquatic animals,2762,Demersal Fish,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.00033238149100190637,44146750.0,1.467356258788841e-05
9,Argentina,imported,baseline,a_animal,Aquatic animals,2763,Pelagic Fish,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.002909464159299337,44146750.0,0.000128443386874548
9,Argentina,imported,baseline,a_animal,Aquatic animals,2765,Crustaceans,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0011051573837675844,44146750.0,4.87891067318416e-05
9,Argentina,imported,baseline,plant,Fruits,2611,"Oranges, Mandarines",mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0001145101575861118,44146750.0,5.055251299414681e-06
9,Argentina,imported,baseline,plant,Fruits,2612,"Lemons, Limes and products",mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0001764611585211008,44146750.0,7.790186649941408e-06
9,Argentina,imported,baseline,plant,Fruits,2613,Grapefruit and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0006463243259425999,44146750.0,2.8533118436306477e-05
9,Argentina,imported,baseline,plant,Fruits,2617,Apples and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,0.0002407798715000374,44146750.0,1.0629648792144276e-05
9,Argentina,imported,baseline,plant,Fruits,2618,Pineapples and products,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,5.514949244697e-07,44146750.0,2.4346708556836957e-08
9,Argentina,imported,baseline,plant,Fruits,2619,Dates,mg_abx_total,Latin America and the Caribbean,Upper middle income,no,2.8358306405945e-05,44146750.0,1.251927063326654e-06
9,Argentina,imported,baseline,plant,Fruits,2620,Grapes and products (excl wine),mg_abx_total,Latin America and the Caribbean,Upper middle income,no,7.2603965535629005e-06,44146750.0,3.205229115510042e-07
