country_code,country,origin,diet,type,output_group,fbs_item_code,fbs_item,footprint_type,region,income_class,oecd,diet_footprint,population,diet_footprint_whole_pop
1,Armenia,imported,baseline,plant,Fruits,2625,"Fruits, Other",mg_abx_total,Near East and North Africa,Upper middle income,no,5.072889831506201e-06,2947750.0,1.4953611000822407e-08
1,Armenia,imported,baseline,plant,Grains,2511,Wheat and products,mg_abx_total,Near East and North Africa,Upper middle income,no,0.0,2947750.0,0.0
1,Armenia,imported,baseline,plant,Grains,2513,Barley and products,mg_abx_total,Near East and North Africa,Upper middle income,no,1.8676059126576e-06,2947750.0,5.505235329036614e-09
1,Armenia,imported,baseline,plant,Grains,2514,Maize and products,mg_abx_total,Near East and North Africa,Upper middle income,no,0.0,2947750.0,0.0
1,Armenia,imported,baseline,plant,Grains,2516,Oats,mg_abx_total,Near East and North Africa,Upper middle income,no,2.919999475983e-07,2947750.0,8.607428455331275e-10
1,Armenia,imported,baseline,plant,Grains,2805,Rice (Milled Equivalent),mg_abx_total,Near East and North Africa,Upper middle income,no,0.002305229965513135,2947750.0,6.795241630841344e-06
1,Armenia,imported,baseline,plant,Nuts and seeds,2551,Nuts and products,mg_abx_total,Near East and North Africa,Upper middle income,no,0.002291545271497542,2947750.0,6.7549025740568805e-06
1,Armenia,imported,baseline,plant,Nuts and seeds,2556,Groundnuts (Shelled Eq),mg_abx_total,Near East and North Africa,Upper middle income,no,1.7874144814988e-06,2947750.0,5.268851037838196e-09
1,Armenia,imported,baseline,plant,Nuts and seeds,2561,Sesame seed,mg_abx_total,Near East and North Africa,Upper middle income,no,0.0,2947750.0,0.0
1,Armenia,imported,baseline,plant,Pulses and soy,2546,Beans,mg_abx_total,Near East and North Africa,Upper middle income,no,1.5782911335670002e-07,2947750.0,4.6524076889742713e-10
1,Armenia,imported,baseline,plant,Pulses and soy,2549,"Pulses, Other and products",mg_abx_total,Near East and North Africa,Upper middle income,no,7.656171255105e-07,2947750.0,2.256847881723834e-09
1,Armenia,imported,baseline,plant,Pulses and soy,2555,Soyabeans,mg_abx_total,Near East and North Africa,Upper middle income,no,0.0,2947750.0,0.0
1,Armenia,imported,baseline,plant,Starchy roots,2531,Potatoes and products,mg_abx_total,Near East and North Africa,Upper middle income,no,2.402713064743e-07,2947750.0,7.082597436597191e-10
1,Armenia,imported,baseline,plant,Vegetables,2563,Olives (including preserved),mg_abx_total,Near East and North Africa,Upper middle income,no,0.0008792354747049776,2947750.0,2.5917663705615978e-06
1,Armenia,imported,baseline,plant,Vegetables,2601,Tomatoes and products,mg_abx_total,Near East and North Africa,Upper middle income,no,2.0649466638762e-06,2947750.0,6.086946528441304e-09
1,Armenia,imported,baseline,plant,Vegetables,2602,Onions,mg_abx_total,Near East and North Africa,Upper middle income,no,1.5090033667093998e-06,2947750.0,4.448164674217655e-09
1,Armenia,imported,baseline,plant,Vegetables,2605,"Vegetables, Other",mg_abx_total,Near East and North Africa,Upper middle income,no,3.4996487821329e-06,2947750.0,1.0316089697532292e-08
1,Armenia,imported,baseline,t_animal,Bovine meat,2731,Bovine Meat,mg_abx_total,Near East and North Africa,Upper middle income,no,0.230259134236586,2947750.0,0.0006787463629458964
1,Armenia,imported,baseline,t_animal,Pig meat,2733,Pigmeat,mg_abx_total,Near East and North Africa,Upper middle income,no,0.6290779230023634,2947750.0,0.0018543644475302167
1,Armenia,imported,baseline,t_animal,Poultry,2734,Poultry Meat,mg_abx_total,Near East and North Africa,Upper middle income,no,0.27838006251735353,2947750.0,0.0008205948292855288
2,Afghanistan,domestic,baseline,a_animal,Aquatic animals,2761,Freshwater Fish,mg_abx_total,South Asia,Low income,no,0.012356435643564357,36723250.0,0.0004537684752475248
2,Afghanistan,domestic,baseline,plant,Fruits,2611,"Oranges, Mandarines",mg_abx_total,South Asia,Low income,no,0.0003481469765375109,36723250.0,1.2785088456131148e-05
